i(170197),	-- Swarthy Warning Sign
i(211591),	-- Pattern: Draconic Combatant's Resilient Chestpiece
i(211592),	-- Pattern: Draconic Combatant's Resilient Trousers
i(211593),	-- Pattern: Draconic Combatant's Resilient Shoulderpads
i(211594),	-- Pattern: Draconic Combatant's Resilient Boots
i(211595),	-- Pattern: Draconic Combatant's Resilient Gloves
i(211596),	-- Pattern: Draconic Combatant's Resilient Wristwraps
i(211597),	-- Pattern: Draconic Combatant's Resilient Belt
i(211598),	-- Pattern: Draconic Combatant's Adamant Cowl
i(211599),	-- Pattern: Draconic Combatant's Adamant Chainmail
i(211600),	-- Pattern: Draconic Combatant's Adamant Leggings
i(211601),	-- Pattern: Draconic Combatant's Adamant Epaulets
i(211602),	-- Pattern: Draconic Combatant's Adamant Treads
i(211603),	-- Pattern: Draconic Combatant's Adamant Gauntlets
i(211604),	-- Pattern: Draconic Combatant's Adamant Cuffs
i(211605),	-- Pattern: Draconic Combatant's Adamant Girdle
i(211606),	-- Draconic Combatant's Medallion
i(211607),	-- Draconic Combatant's Insignia of Alacrity
i(211608),	-- Draconic Combatant's Emblem
i(211609),	-- Technique: Draconic Combatant's Medallion
i(211610),	-- Technique: Draconic Combatant's Insignia of Alacrity
i(211611),	-- Technique: Draconic Combatant's Emblem
i(211612),	-- Draconic Combatant's Cloth Goggles
i(211613),	-- Draconic Combatant's Leather Goggles
i(211614),	-- Draconic Combatant's Mail Goggles
i(211615),	-- Draconic Combatant's Plate Goggles
i(211616),	-- Schematic: Draconic Combatant's Cloth Goggles
i(211617),	-- Schematic: Draconic Combatant's Leather Goggles
i(211618),	-- Schematic: Draconic Combatant's Mail Goggles
i(211619),	-- Schematic: Draconic Combatant's Plate Goggles
i(211684),	-- Lesser Draconic Trophy of Conquest
i(211685),	-- Draconic Trophy of Conquest
i(211686),	-- Greater Draconic Trophy of Conquest
i(211687),	-- Lesser Draconic Crest of Honor
i(211688),	-- Draconic Crest of Honor
i(211689),	-- Greater Draconic Crest of Honor
i(211690),	-- Artisan's Consortium Brochure
i(211770),	-- Medal of Honor
i(211771),	-- Medal of Honor
i(211772),	-- Glorious Medal of Honor
i(211773),	-- Medal of Conquest
i(211862),	-- Bestowed Ottuk Vanguard
i(211869),	-- Draconic Legend's Pennant
i(211950),	-- Lively Clutch of Wyrm's Awakened Crests
i(211951),	-- Pouch of Whelpling's Awakened Crests
i(211952),	-- Satchel of Drake's Awakened Crests
i(212096),	-- [DNT] Starter Pirate Gear
i(212097),	-- [DNT] Starter Pirate Gear - Health Potion
i(212175),	-- Draconic Commendation
i(212180),	-- Dreadlord's Shadowsbane Wings
i(212189),	-- Dreadlord's Venombane Wings
i(212367),	-- Clutch of Wyrm's Awakened Crests
i(212383),	-- Yawning Basket of Aspect's Awakened Crests
i(212384),	-- Restless Satchel of Drake's Awakened Crests
i(212458),	-- Awakened Flightstone
i(212517),	-- Barrel
i(212655),	-- Mana Sphere
i(212656),	-- Searing Axe
i(212657),	-- Rime Arrow
i(212658),	-- Fire Whirl
i(212659),	-- Fade to Shadow
i(212660),	-- Steel Traps
i(212661),	-- Faeform
i(212662),	-- Explosive Caltrops
i(212663),	-- Quaking Leap
i(212682),	-- Water's Beating Heart
i(212683),	-- Globe of Jagged Ice
i(212684),	-- Umbrelskul's Fractured Heart
i(212685),	-- Tome of Unstable Power
i(212686),	-- Azure Riders of Azeroth Tabard
i(212756),	-- Inexorable Resonator
i(212757),	-- Granyth's Enduring Scale
i(212869),	-- Slicing Winds
i(212873),	-- Earthbreaker
i(212874),	-- Drake Racer's Azure Jersey
i(212875),	-- Drake Racer's Azure Handwraps
i(212876),	-- Drake Racer's Azure Belt
i(212877),	-- Drake Racer's Azure Leggings
i(212878),	-- Drake Racer's Azure Boots
i(212879),	-- Drake Racer's Azure Scarf
i(212880),	-- Drake Racer's Azure Shoulderpads
i(212881),	-- Drake Racer's Azure Helmet
i(212917),	-- Windstorm
i(212975),	-- Snowdrift
i(212998),	-- Holy Shield
i(213089),	-- Antique Bronze Bullion
i(213160),	-- Kaldorei Moon Bow
i(213164),	-- Gnomish Gravity Launcher
i(213217),	-- Mechano-Hog
i(213232),	-- Bottled Time
i(213393),	-- Guise of the Golden Masquerade
i(213394),	-- Ebony Crown of the Red Rose
i(213395),	-- Gloves of the Midnight Soiree
i(213396),	-- Classic Midnight Tabard
i(213397),	-- Parrot Snacks
i(213400),	-- Strange Snowman
i(213428),	-- Loot-Stuffed Basket
i(213430),	-- Duelist's Midnight Doublet
i(213431),	-- Duelist's Navy Doublet
i(213432),	-- Duelist's Cedar Doublet
i(213433),	-- Duelist's Ivy Doublet
i(213434),	-- Duelist's Royal Doublet
i(213435),	-- Duelist's Crimson Doublet
i(213436),	-- Fine Crimson Doublet
i(213437),	-- Duelist's Marble Doublet
i(213438),	-- Infinite Armoredon
i(213439),	-- Vicious Dreamtalon
i(213440),	-- Vicious Dreamtalon
i(213441),	-- Earth Mother's Sepia Gloves
i(213518),	-- Classic Sepia Tabard
i(213577),	-- Star Bomb
i(213585),	-- Icy Drake Racer's Scarf
i(213586),	-- Icy Drake Racer's Boots
i(213587),	-- Icy Drake Racer's Leggings
i(213588),	-- Icy Drake Racer's Belt
i(213589),	-- Icy Drake Racer's Handwraps
i(213590),	-- Icy Drake Racer's Jersey
i(213591),	-- Icy Drake Racer's Shoulderpads
i(213592),	-- Icy Drake Racer's Helmet
i(213593),	-- Frosted Riders of Azeroth Tabard
i(213635),	-- Checkered Pennant
i(214242),	-- Repel
i(215361),	-- Quaking Leap
i(215362),	-- Cache of Storms
i(215363),	-- Cache of Embers
i(215364),	-- Cache of Dreams
i(215455),	-- Hunter's Chains
i(216026),	-- Draconic Gladiator's Silk Tunic
i(216027),	-- Draconic Gladiator's Silk Blouse
i(216028),	-- Draconic Gladiator's Silk Slippers
i(216029),	-- Draconic Gladiator's Silk Treads
i(216030),	-- Draconic Gladiator's Silk Gloves
i(216031),	-- Draconic Gladiator's Silk Handwraps
i(216032),	-- Draconic Gladiator's Silk Hat
i(216033),	-- Draconic Gladiator's Silk Cap
i(216034),	-- Draconic Gladiator's Silk Leggings
i(216035),	-- Draconic Gladiator's Silk Trousers
i(216036),	-- Draconic Gladiator's Silk Mantle
i(216037),	-- Draconic Gladiator's Silk Amice
i(216038),	-- Draconic Gladiator's Silk Cord
i(216039),	-- Draconic Gladiator's Silk Belt
i(216040),	-- Draconic Gladiator's Silk Wristwraps
i(216041),	-- Draconic Gladiator's Silk Armbands
i(216042),	-- Draconic Gladiator's Cloak
i(216043),	-- Draconic Gladiator's Drape
i(216044),	-- Draconic Gladiator's Shawl
i(216045),	-- Draconic Gladiator's Silk Tunic
i(216046),	-- Draconic Gladiator's Silk Blouse
i(216047),	-- Draconic Gladiator's Silk Slippers
i(216048),	-- Draconic Gladiator's Silk Treads
i(216049),	-- Draconic Gladiator's Silk Gloves
i(216050),	-- Draconic Gladiator's Silk Handwraps
i(216051),	-- Draconic Gladiator's Silk Hood
i(216052),	-- Draconic Gladiator's Silk Guise
i(216053),	-- Draconic Gladiator's Silk Leggings
i(216054),	-- Draconic Gladiator's Silk Trousers
i(216055),	-- Draconic Gladiator's Silk Mantle
i(216056),	-- Draconic Gladiator's Silk Amice
i(216057),	-- Draconic Gladiator's Silk Cord
i(216058),	-- Draconic Gladiator's Silk Belt
i(216059),	-- Draconic Gladiator's Silk Wristwraps
i(216060),	-- Draconic Gladiator's Silk Armbands
i(216061),	-- Draconic Gladiator's Cloak
i(216062),	-- Draconic Gladiator's Drape
i(216063),	-- Draconic Gladiator's Shawl
i(216064),	-- Draconic Gladiator's Silk Robe
i(216065),	-- Draconic Gladiator's Silk Vestments
i(216066),	-- Draconic Gladiator's Silk Slippers
i(216067),	-- Draconic Gladiator's Silk Treads
i(216068),	-- Draconic Gladiator's Silk Gloves
i(216069),	-- Draconic Gladiator's Silk Handwraps
i(216070),	-- Draconic Gladiator's Silk Hood
i(216071),	-- Draconic Gladiator's Silk Guise
i(216072),	-- Draconic Gladiator's Silk Leggings
i(216073),	-- Draconic Gladiator's Silk Trousers
i(216074),	-- Draconic Gladiator's Silk Mantle
i(216075),	-- Draconic Gladiator's Silk Amice
i(216076),	-- Draconic Gladiator's Silk Cord
i(216077),	-- Draconic Gladiator's Silk Belt
i(216078),	-- Draconic Gladiator's Silk Wristwraps
i(216079),	-- Draconic Gladiator's Silk Armbands
i(216080),	-- Draconic Gladiator's Cloak
i(216081),	-- Draconic Gladiator's Drape
i(216082),	-- Draconic Gladiator's Shawl
i(216083),	-- Draconic Gladiator's Leather Robe
i(216084),	-- Draconic Gladiator's Leather Vestments
i(216085),	-- Draconic Gladiator's Leather Boots
i(216086),	-- Draconic Gladiator's Leather Treads
i(216087),	-- Draconic Gladiator's Leather Gloves
i(216088),	-- Draconic Gladiator's Leather Grips
i(216089),	-- Draconic Gladiator's Leather Helm
i(216090),	-- Draconic Gladiator's Leather Mask
i(216091),	-- Draconic Gladiator's Leather Breeches
i(216092),	-- Draconic Gladiator's Leather Legwraps
i(216093),	-- Draconic Gladiator's Leather Spaulders
i(216094),	-- Draconic Gladiator's Leather Shoulderpads
i(216095),	-- Draconic Gladiator's Leather Belt
i(216096),	-- Draconic Gladiator's Leather Strap
i(216097),	-- Draconic Gladiator's Leather Wristwraps
i(216098),	-- Draconic Gladiator's Leather Wristguards
i(216099),	-- Draconic Gladiator's Cloak
i(216100),	-- Draconic Gladiator's Drape
i(216101),	-- Draconic Gladiator's Shawl
i(216102),	-- Draconic Gladiator's Leather Vest
i(216103),	-- Draconic Gladiator's Leather Jerkin
i(216104),	-- Draconic Gladiator's Leather Boots
i(216105),	-- Draconic Gladiator's Leather Treads
i(216106),	-- Draconic Gladiator's Leather Gloves
i(216107),	-- Draconic Gladiator's Leather Grips
i(216108),	-- Draconic Gladiator's Leather Helm
i(216109),	-- Draconic Gladiator's Leather Mask
i(216110),	-- Draconic Gladiator's Leather Breeches
i(216111),	-- Draconic Gladiator's Leather Legwraps
i(216112),	-- Draconic Gladiator's Leather Spaulders
i(216113),	-- Draconic Gladiator's Leather Shoulderpads
i(216114),	-- Draconic Gladiator's Leather Belt
i(216115),	-- Draconic Gladiator's Leather Strap
i(216116),	-- Draconic Gladiator's Leather Wristwraps
i(216117),	-- Draconic Gladiator's Leather Wristguards
i(216118),	-- Draconic Gladiator's Cloak
i(216119),	-- Draconic Gladiator's Drape
i(216120),	-- Draconic Gladiator's Shawl
i(216121),	-- Draconic Gladiator's Leather Vest
i(216122),	-- Draconic Gladiator's Leather Jerkin
i(216123),	-- Draconic Gladiator's Leather Boots
i(216124),	-- Draconic Gladiator's Leather Treads
i(216125),	-- Draconic Gladiator's Leather Gloves
i(216126),	-- Draconic Gladiator's Leather Grips
i(216127),	-- Draconic Gladiator's Leather Helm
i(216128),	-- Draconic Gladiator's Leather Mask
i(216129),	-- Draconic Gladiator's Leather Breeches
i(216130),	-- Draconic Gladiator's Leather Legwraps
i(216131),	-- Draconic Gladiator's Leather Spaulders
i(216132),	-- Draconic Gladiator's Leather Shoulderpads
i(216133),	-- Draconic Gladiator's Leather Belt
i(216134),	-- Draconic Gladiator's Leather Strap
i(216135),	-- Draconic Gladiator's Leather Wristwraps
i(216136),	-- Draconic Gladiator's Leather Wristguards
i(216137),	-- Draconic Gladiator's Cloak
i(216138),	-- Draconic Gladiator's Drape
i(216139),	-- Draconic Gladiator's Shawl
i(216140),	-- Draconic Gladiator's Leather Vest
i(216141),	-- Draconic Gladiator's Leather Jerkin
i(216142),	-- Draconic Gladiator's Leather Boots
i(216143),	-- Draconic Gladiator's Leather Treads
i(216144),	-- Draconic Gladiator's Leather Gloves
i(216145),	-- Draconic Gladiator's Leather Grips
i(216146),	-- Draconic Gladiator's Leather Helm
i(216147),	-- Draconic Gladiator's Leather Mask
i(216148),	-- Draconic Gladiator's Leather Breeches
i(216149),	-- Draconic Gladiator's Leather Legwraps
i(216150),	-- Draconic Gladiator's Leather Spaulders
i(216151),	-- Draconic Gladiator's Leather Shoulderpads
i(216152),	-- Draconic Gladiator's Leather Belt
i(216153),	-- Draconic Gladiator's Leather Strap
i(216154),	-- Draconic Gladiator's Leather Wristwraps
i(216155),	-- Draconic Gladiator's Leather Wristguards
i(216156),	-- Draconic Gladiator's Cloak
i(216157),	-- Draconic Gladiator's Drape
i(216158),	-- Draconic Gladiator's Shawl
i(216159),	-- Draconic Gladiator's Chain Robe
i(216160),	-- Draconic Gladiator's Chain Vestments
i(216161),	-- Draconic Gladiator's Chain Sabatons
i(216162),	-- Draconic Gladiator's Chain Boots
i(216163),	-- Draconic Gladiator's Chain Gauntlets
i(216164),	-- Draconic Gladiator's Chain Handguards
i(216165),	-- Draconic Gladiator's Chain Helm
i(216166),	-- Draconic Gladiator's Chain Faceguard
i(216167),	-- Draconic Gladiator's Chain Leggings
i(216168),	-- Draconic Gladiator's Chain Breeches
i(216169),	-- Draconic Gladiator's Chain Monnion
i(216170),	-- Draconic Gladiator's Chain Shoulderguard
i(216171),	-- Draconic Gladiator's Chain Belt
i(216172),	-- Draconic Gladiator's Chain Girdle
i(216173),	-- Draconic Gladiator's Chain Wristguards
i(216174),	-- Draconic Gladiator's Chain Bracers
i(216175),	-- Draconic Gladiator's Cloak
i(216176),	-- Draconic Gladiator's Drape
i(216177),	-- Draconic Gladiator's Shawl
i(216178),	-- Draconic Gladiator's Chain Vest
i(216179),	-- Draconic Gladiator's Chain Tunic
i(216180),	-- Draconic Gladiator's Chain Sabatons
i(216181),	-- Draconic Gladiator's Chain Boots
i(216182),	-- Draconic Gladiator's Chain Gauntlets
i(216183),	-- Draconic Gladiator's Chain Handguards
i(216184),	-- Draconic Gladiator's Chain Helm
i(216185),	-- Draconic Gladiator's Chain Faceguard
i(216186),	-- Draconic Gladiator's Chain Leggings
i(216187),	-- Draconic Gladiator's Chain Breeches
i(216188),	-- Draconic Gladiator's Chain Monnion
i(216189),	-- Draconic Gladiator's Chain Shoulderguard
i(216190),	-- Draconic Gladiator's Chain Belt
i(216191),	-- Draconic Gladiator's Chain Girdle
i(216192),	-- Draconic Gladiator's Chain Wristguards
i(216193),	-- Draconic Gladiator's Chain Bracers
i(216194),	-- Draconic Gladiator's Cloak
i(216195),	-- Draconic Gladiator's Drape
i(216196),	-- Draconic Gladiator's Shawl
i(216197),	-- Draconic Gladiator's Chain Vest
i(216198),	-- Draconic Gladiator's Chain Tunic
i(216199),	-- Draconic Gladiator's Chain Sabatons
i(216200),	-- Draconic Gladiator's Chain Boots
i(216201),	-- Draconic Gladiator's Chain Gauntlets
i(216202),	-- Draconic Gladiator's Chain Handguards
i(216203),	-- Draconic Gladiator's Chain Helm
i(216204),	-- Draconic Gladiator's Chain Faceguard
i(216205),	-- Draconic Gladiator's Chain Leggings
i(216206),	-- Draconic Gladiator's Chain Breeches
i(216207),	-- Draconic Gladiator's Chain Monnion
i(216208),	-- Draconic Gladiator's Chain Shoulderguard
i(216209),	-- Draconic Gladiator's Chain Belt
i(216210),	-- Draconic Gladiator's Chain Girdle
i(216211),	-- Draconic Gladiator's Chain Wristguards
i(216212),	-- Draconic Gladiator's Chain Bracers
i(216213),	-- Draconic Gladiator's Cloak
i(216214),	-- Draconic Gladiator's Drape
i(216215),	-- Draconic Gladiator's Shawl
i(216216),	-- Draconic Gladiator's Plate Chestguard
i(216217),	-- Draconic Gladiator's Plate Chestplate
i(216218),	-- Draconic Gladiator's Plate Warboots
i(216219),	-- Draconic Gladiator's Plate Stompers
i(216220),	-- Draconic Gladiator's Plate Gauntlets
i(216221),	-- Draconic Gladiator's Plate Handguards
i(216222),	-- Draconic Gladiator's Plate Helm
i(216223),	-- Draconic Gladiator's Plate Helmet
i(216224),	-- Draconic Gladiator's Plate Legguards
i(216225),	-- Draconic Gladiator's Plate Wargreaves
i(216226),	-- Draconic Gladiator's Plate Shoulders
i(216227),	-- Draconic Gladiator's Plate Pauldrons
i(216228),	-- Draconic Gladiator's Plate Girdle
i(216229),	-- Draconic Gladiator's Plate Greatbelt
i(216230),	-- Draconic Gladiator's Plate Wristguards
i(216231),	-- Draconic Gladiator's Plate Vambraces
i(216232),	-- Draconic Gladiator's Cloak
i(216233),	-- Draconic Gladiator's Drape
i(216234),	-- Draconic Gladiator's Shawl
i(216235),	-- Draconic Gladiator's Plate Chestguard
i(216236),	-- Draconic Gladiator's Plate Chestplate
i(216237),	-- Draconic Gladiator's Plate Warboots
i(216238),	-- Draconic Gladiator's Plate Stompers
i(216239),	-- Draconic Gladiator's Plate Gauntlets
i(216240),	-- Draconic Gladiator's Plate Handguards
i(216241),	-- Draconic Gladiator's Plate Helm
i(216242),	-- Draconic Gladiator's Plate Helmet
i(216243),	-- Draconic Gladiator's Plate Legguards
i(216244),	-- Draconic Gladiator's Plate Tasses
i(216245),	-- Draconic Gladiator's Plate Shoulders
i(216246),	-- Draconic Gladiator's Plate Pauldrons
i(216247),	-- Draconic Gladiator's Plate Girdle
i(216248),	-- Draconic Gladiator's Plate Greatbelt
i(216249),	-- Draconic Gladiator's Plate Wristguards
i(216250),	-- Draconic Gladiator's Plate Vambraces
i(216251),	-- Draconic Gladiator's Cloak
i(216252),	-- Draconic Gladiator's Drape
i(216253),	-- Draconic Gladiator's Shawl
i(216254),	-- Draconic Gladiator's Plate Chestguard
i(216255),	-- Draconic Gladiator's Plate Chestplate
i(216256),	-- Draconic Gladiator's Plate Warboots
i(216257),	-- Draconic Gladiator's Plate Stompers
i(216258),	-- Draconic Gladiator's Plate Gauntlets
i(216259),	-- Draconic Gladiator's Plate Handguards
i(216260),	-- Draconic Gladiator's Plate Helm
i(216261),	-- Draconic Gladiator's Plate Helmet
i(216262),	-- Draconic Gladiator's Plate Legguards
i(216263),	-- Draconic Gladiator's Plate Wargreaves
i(216264),	-- Draconic Gladiator's Plate Shoulders
i(216265),	-- Draconic Gladiator's Plate Pauldrons
i(216266),	-- Draconic Gladiator's Plate Girdle
i(216267),	-- Draconic Gladiator's Plate Greatbelt
i(216268),	-- Draconic Gladiator's Plate Wristguards
i(216269),	-- Draconic Gladiator's Plate Vambraces
i(216270),	-- Draconic Gladiator's Cloak
i(216271),	-- Draconic Gladiator's Drape
i(216272),	-- Draconic Gladiator's Shawl
i(216273),	-- Draconic Gladiator's Ring
i(216274),	-- Draconic Gladiator's Band
i(216275),	-- Draconic Gladiator's Signet
i(216276),	-- Draconic Gladiator's Necklace
i(216277),	-- Draconic Gladiator's Pendant
i(216278),	-- Draconic Gladiator's Amulet
i(216279),	-- Draconic Gladiator's Badge of Ferocity
i(216280),	-- Draconic Gladiator's Insignia of Alacrity
i(216281),	-- Draconic Gladiator's Emblem
i(216282),	-- Draconic Gladiator's Medallion
i(216283),	-- Draconic Gladiator's Sigil of Adaptation
i(216284),	-- Draconic Gladiator's Splitter
i(216285),	-- Draconic Gladiator's Dagger
i(216286),	-- Draconic Gladiator's Warglaive
i(216287),	-- Draconic Gladiator's Scythe
i(216288),	-- Draconic Gladiator's Staff
i(216289),	-- Draconic Gladiator's Rifle
i(216290),	-- Draconic Gladiator's Scepter
i(216291),	-- Draconic Gladiator's Censer
i(216292),	-- Draconic Gladiator's Shield
i(216293),	-- Draconic Gladiator's Axe
i(216294),	-- Draconic Gladiator's Sickle
i(216295),	-- Draconic Gladiator's Claws
i(216296),	-- Draconic Gladiator's Bow
i(216297),	-- Draconic Gladiator's Greatstaff
i(216298),	-- Draconic Gladiator's Bulwark
i(216299),	-- Draconic Gladiator's Greatsword
i(216300),	-- Draconic Gladiator's Pulverizer
i(216301),	-- Draconic Gladiator's Sword
i(216302),	-- Draconic Gladiator's Shotel
i(216303),	-- Draconic Gladiator's Axestaff
i(216304),	-- Draconic Aspirant's Plate Helm
i(216305),	-- Draconic Aspirant's Silk Robe
i(216306),	-- Draconic Aspirant's Plate Chestplate
i(216307),	-- Draconic Aspirant's Chain Vest
i(216308),	-- Draconic Aspirant's Leather Vest
i(216309),	-- Draconic Aspirant's Plate Warboots
i(216310),	-- Draconic Aspirant's Silk Treads
i(216311),	-- Draconic Aspirant's Chain Sabatons
i(216312),	-- Draconic Aspirant's Leather Boots
i(216313),	-- Draconic Aspirant's Leather Gloves
i(216314),	-- Draconic Aspirant's Plate Gauntlets
i(216315),	-- Draconic Aspirant's Silk Gloves
i(216316),	-- Draconic Aspirant's Chain Gauntlets
i(216317),	-- Draconic Aspirant's Silk Hood
i(216318),	-- Draconic Aspirant's Chain Helm
i(216319),	-- Draconic Aspirant's Leather Helm
i(216320),	-- Draconic Aspirant's Plate Legguards
i(216321),	-- Draconic Aspirant's Silk Leggings
i(216322),	-- Draconic Aspirant's Chain Leggings
i(216323),	-- Draconic Aspirant's Leather Breeches
i(216324),	-- Draconic Aspirant's Leather Spaulders
i(216325),	-- Draconic Aspirant's Plate Shoulders
i(216326),	-- Draconic Aspirant's Silk Mantle
i(216327),	-- Draconic Aspirant's Chain Spaulders
i(216328),	-- Draconic Aspirant's Plate Girdle
i(216329),	-- Draconic Aspirant's Silk Cord
i(216330),	-- Draconic Aspirant's Chain Belt
i(216331),	-- Draconic Aspirant's Leather Belt
i(216332),	-- Draconic Aspirant's Silk Wristwraps
i(216333),	-- Draconic Aspirant's Plate Cuffs
i(216334),	-- Draconic Aspirant's Chain Wristwraps
i(216335),	-- Draconic Aspirant's Leather Wristwraps
i(216336),	-- Draconic Aspirant's Plate Headguard
i(216337),	-- Draconic Aspirant's Silk Vestments
i(216338),	-- Draconic Aspirant's Plate Armor
i(216339),	-- Draconic Aspirant's Chain Tunic
i(216340),	-- Draconic Aspirant's Leather Tunic
i(216341),	-- Draconic Aspirant's Plate Stompers
i(216342),	-- Draconic Aspirant's Silk Footwraps
i(216343),	-- Draconic Aspirant's Chain Stompers
i(216344),	-- Draconic Aspirant's Leather Footpads
i(216345),	-- Draconic Aspirant's Leather Grips
i(216346),	-- Draconic Aspirant's Plate Handguards
i(216347),	-- Draconic Aspirant's Silk Handwraps
i(216348),	-- Draconic Aspirant's Chain Handguards
i(216349),	-- Draconic Aspirant's Silk Cover
i(216350),	-- Draconic Aspirant's Chain Headguard
i(216351),	-- Draconic Aspirant's Leather Mask
i(216352),	-- Draconic Aspirant's Plate Wargreaves
i(216353),	-- Draconic Aspirant's Silk Legwraps
i(216354),	-- Draconic Aspirant's Chain Wargreaves
i(216355),	-- Draconic Aspirant's Leather Leggings
i(216356),	-- Draconic Aspirant's Leather Mantle
i(216357),	-- Draconic Aspirant's Plate Pauldrons
i(216358),	-- Draconic Aspirant's Silk Shawl
i(216359),	-- Draconic Aspirant's Chain Shoulderguards
i(216360),	-- Draconic Aspirant's Plate Greatbelt
i(216361),	-- Draconic Aspirant's Silk Belt
i(216362),	-- Draconic Aspirant's Chain Clasp
i(216363),	-- Draconic Aspirant's Leather Cord
i(216364),	-- Draconic Aspirant's Silk Bindings
i(216365),	-- Draconic Aspirant's Plate Armguards
i(216366),	-- Draconic Aspirant's Chain Bracer
i(216367),	-- Draconic Aspirant's Leather Armguards
i(216368),	-- Draconic Aspirant's Badge of Ferocity
i(216369),	-- Draconic Aspirant's Medallion
i(216370),	-- Draconic Aspirant's Insignia of Alacrity
i(216371),	-- Draconic Aspirant's Emblem
i(216372),	-- Draconic Aspirant's Sigil of Adaptation
i(216373),	-- Draconic Aspirant's Ring
i(216374),	-- Draconic Aspirant's Band
