ID,Name_lang,Name1_lang,Mask_ID,Flags
481,Shadowblade %s,Shadowblade %s,338,0
482,High Priest %s,High Priest %s,339,0
483,Field Medic %s,Field Medic %s,340,0
484,%s the Dreamer,%s the Dreamer,341,0
485,"%s, Vengeance Incarnate","%s, Vengeance Incarnate",342,0
486,%s the Gullible,%s the Gullible,343,0
489,"%s, Talon's Vengeance","%s, Talon's Vengeance",346,4
493,%s the Chosen,%s the Chosen,347,0
494,Headmaster %s,Headmistress %s,348,2
502,Vindictive Gladiator %s,Vindictive Gladiator %s,353,0
503,%s the Unstoppable Force,%s the Unstoppable Force,354,0
504,Fearless Gladiator %s,Fearless Gladiator %s,355,0
505,Stylist %s,Stylist %s,356,0
506,%s the Darkener,%s the Darkener,357,0
507,"%s, Adventuring Instructor","%s, Adventuring Instructor",358,4
508,Cruel Gladiator %s,Cruel Gladiator %s,359,0
509,Ferocious Gladiator %s,Ferocious Gladiator %s,360,0
510,Timelord %s,Timelord %s,361,0
511,"%s, the Tomb Raider","%s, the Tomb Raider",362,0
512,Fierce Gladiator %s,Fierce Gladiator %s,363,0
513,Titanslayer %s,Titanslayer %s,364,0
514,%s the Collector,%s the Collector,365,4
515,"%s, the Lightbringer","%s, the Lightbringer",366,0
516,Demonslayer %s,Demonslayer %s,367,0
517,Dominant Gladiator %s,Dominant Gladiator %s,368,0
518,%s the Tactician,%s the Tactician,369,0
519,Demonic Gladiator %s,Demonic Gladiator %s,370,0
520,"%s, No Good, Dirty, Rotten, Candy Stealer!","%s, No Good, Dirty, Rotten, Candy Stealer!",371,0
521,Postmaster %s,Postmaster %s,372,0
522,Prospector %s,Prospector %s,373,0
524,"%s, Famed Slayer of G'huun","%s, Famed Slayer of G'huun",374,0
625,"%s, the Horde Slayer","%s, the Horde Slayer",375,0
626,"%s, the Alliance Slayer","%s, the Alliance Slayer",376,0
627,"%s, Conqueror of Azeroth","%s, Conqueror of Azeroth",377,0
628,Inquisitor %s,Inquisitor %s,378,0
629,Esteemed %s,Esteemed %s,379,0
630,%s the Admired,%s the Admired,380,0
631,%s the Purifier,%s the Purifier,381,0
632,Expedition Leader %s,Expedition Leader %s,382,0
633,Contender %s,Contender %s,383,0
634,"%s, Famed Conqueror of Dazar'alor","%s, Famed Conqueror of Dazar'alor",384,0
635,"%s, Famed Defender of Dazar'alor","%s, Famed Defender of Dazar'alor",385,0
636,"%s, Hero of Dazar'alor","%s, Hero of Dazar'alor",386,0
637,%s the Elite Death Knight,%s the Elite Death Knight,387,0
638,%s the Elite Demon Hunter,%s the Elite Demon Hunter,388,0
639,%s the Elite Druid,%s the Elite Druid,389,0
640,%s the Elite Hunter,%s the Elite Hunter,390,0
641,%s the Elite Mage,%s the Elite Mage,391,0
642,%s the Elite Monk,%s the Elite Monk,392,0
643,%s the Elite Paladin,%s the Elite Paladin,393,0
644,%s the Elite Priest,%s the Elite Priest,394,0
645,%s the Elite Rogue,%s the Elite Rogue,395,0
646,%s the Elite Shaman,%s the Elite Shaman,396,0
647,%s the Elite Warlock,%s the Elite Warlock,397,0
648,%s the Elite Warrior,%s the Elite Warrior,398,0
649,%s the T-Shirt Enthusiast,%s the T-Shirt Enthusiast,399,0
650,Trashmaster %s,Trashmaster %s,324,0
651,"%s, Famed Slayer of the Harbinger","%s, Famed Slayer of the Harbinger",400,0
654,Notorious Gladiator %s,Notorious Gladiator %s,402,0
655,Junkyard %s,Junkyard %s,403,0
656,%s the Eternal,%s the Eternal,404,0
657,%s of the Deeps,%s of the Deeps,405,0
658,Sparking %s,Sparking %s,406,0
659,"%s, Azeroth's Champion","%s, Azeroth's Champion",407,0
660,Pilgrim %s the Mallet Bearer,Pilgrim %s the Mallet Bearer,408,0
661,"%s, Famed Slayer of Azshara","%s, Famed Slayer of Azshara",409,0
662,Renowned Explorer %s,Renowned Explorer %s,410,0
664,"%s, Veteran of the Fourth War","%s, Veteran of the Fourth War",412,0
665,Corrupted Gladiator %s,Corrupted Gladiator %s,411,0
666,"%s, As Themselves","%s, As Themselves",413,0
667,"%s, Servant of N'Zoth","%s, Servant of N'Zoth",414,0
668,"%s, Minion of Mayhem","%s, Minion of Mayhem",415,0
669,"%s, Famed Slayer of N'Zoth","%s, Famed Slayer of N'Zoth",416,0
670,%s the Uncorrupted,%s the Uncorrupted,417,0
671,%s the Awakened,%s the Awakened,418,0
672,%s the Faceless One,%s the Faceless One,419,0
676,Cryptkeeper %s,Cryptkeeper %s,423,0
678,"%s, Hand of the Archon","%s, Hand of the Archon",425,0
679,Baron %s,Baron %s,426,0
680,Baroness %s,Baroness %s,427,0
681,"%s, Winter's Envoy","%s, Winter's Envoy",428,0
682,Count %s,Count %s,429,0
683,Countess %s,Countess %s,430,0
684,Deathbringer %s,Deathbringer %s,424,0
685,%s the Proud,%s the Proud,431,0
686,Sinbreaker %s,Sinbreaker %s,432,0
687,"%s, the Party Herald","%s, the Party Herald",433,0
688,Sinful Gladiator %s,Sinful Gladiator %s,434,0
689,Fun Guy %s,Fun Gal %s,435,0
690,%s the Avowed,%s the Avowed,436,0
691,Abominable %s,Abominable %s,437,0
692,Spirestalker %s,Spirestalker %s,438,0
693,%s the Ascended,%s the Ascended,439,0
694,"%s, Famed Slayer of Denathrius","%s, Famed Slayer of Denathrius",440,0
698,Unchained Gladiator %s,Unchained Gladiator %s,441,0
699,"%s, Protector of the Weald","%s, Protector of the Weald",442,0
700,"%s, Sword of the Primus","%s, Sword of the Primus",443,0
701,Sin Eater %s,Sin Eater %s,444,0
702,"%s, Disciple of Devotion","%s, Disciple of Devotion",445,0
703,%s the Tormented,%s the Tormented,446,0
704,"%s, Breaker of Chains","%s, Breaker of Chains",447,0
705,"%s, Famed Bane of the Banshee Queen","%s, Famed Bane of the Banshee Queen",448,0
708,Gauntlet Runner %s,Gauntlet Runner %s,449,0
709,"%s, Tower Ranger","%s, Tower Ranger",450,0
710,"%s, the Tormented Hero","%s, the Tormented Hero",451,0
712,Cosmic Gladiator %s,Cosmic Gladiator %s,452,0
713,%s the [PH] TBD Title,%s the [PH] TBD Title,453,0
714,"%s, Famed Slayer of The Banished One","%s, Famed Slayer of The Banished One",454,0
715,"%s, Guardian of the Pattern","%s, Guardian of the Pattern",455,0
716,Soloist %s,Soloist %s,456,0
717,%s the Cryptic,%s the Cryptic,457,0
718,"%s, the Cryptic Hero","%s, the Cryptic Hero",458,0
719,Fearless Spectator %s,Fearless Spectator %s,459,0
720,%s of Lordaeron,%s of Lordaeron,460,0
721,Eternal Gladiator %s,Eternal Gladiator %s,461,0
722,"%s, Maw Walker","%s, Maw Walker",462,0
723,Veilstrider %s,Veilstrider %s,463,0
724,"%s, Hero of Fate","%s, Hero of Fate",464,0
725,%s the Shrouded,%s the Shrouded,465,0
727,"%s, the Shrouded Hero","%s, the Shrouded Hero",466,0
728,"%s, Honorary Dryad","%s, Honorary Dryad",467,0
729,Crimson Gladiator %s,Crimson Gladiator %s,468,0
730,"%s, the Worldbreaker","%s, the Worldbreaker",469,0
731,%s the Thundering Hero,%s the Thundering Hero,470,0
732,Soupervisor %s,Soupervisor %s,471,0
733,Birdwatcher %s,Birdwatcher %s,472,0
734,Khansguard %s,Khansguard %s,473,0
735,"%s, Ally of Dragons","%s, Ally of Dragons",474,0
736,Intrepid Explorer %s,Intrepid Explorer %s,475,0
737,%s of Iskaara,%s of Iskaara,476,0
738,%s the Thundering,%s the Thundering,477,0
739,Isles Racer %s,Isles Racer %s,478,0
740,Malicious %s,Malicious %s,479,0
741,"%s, Knight of Feathersworth","%s, Knight of Feathersworth",480,0
742,%s the Elite Evoker,%s the Elite Evoker,481,0
743,Crimson Legend %s,Crimson Legend %s,482,0
744,"%s, Paragon of the Obsidian Brood","%s, Paragon of the Obsidian Brood",483,0
745,"%s, Agent of the Black Prince","%s, Agent of the Black Prince",484,0
746,Merchant Artisan %s,Merchant Artisan %s,485,0
747,Personal Crafter %s,Personal Crafter %s,486,0
748,"%s, Famed Slayer of Raszageth","%s, Famed Slayer of Raszageth",487,0
749,%s the Storm-Eater,%s the Storm-Eater,488,0
750,Forbidden Reach Racer %s,Forbidden Reach Racer %s,489,0
751,Reverse Racer %s,Reverse Racer %s,490,0
752,Legend %s,Legend %s,491,0
753,Skyscourge %s,Skyscourge %s,492,0
760,Lionguard %s,Lionguard %s,493,0
761,%s the Key Master,%s the Key Master,494,0
762,%s the Forbidden,%s the Forbidden,495,0
765,%s the Reconciler,%s the Reconciler,498,0
766,Obsidian Gladiator %s,Obsidian Gladiator %s,499,0
767,Obsidian Legend %s,Obsidian Legend %s,500,0
768,Smelly %s,Smelly %s,501,0
769,"%s, Barter Boss","%s, Barter Boss",502,0
770,%s the Smoldering,%s the Smoldering,503,0
771,%s the Smoldering Hero,%s the Smoldering Hero,504,0
772,"%s, Heir to the Void","%s, Heir to the Void",505,0
773,"%s, Famed Slayer of Sarkareth","%s, Famed Slayer of Sarkareth",506,0
774,"%s, Sniffenseeker","%s, Sniffenseeker",507,0
775,Field Researcher %s,Field Researcher %s,508,0
776,Zaralek Cavern Racer %s,Zaralek Cavern Racer %s,509,0
