1.13.0.28211
q(73),	-- <TXT> No Reward	 CLASSIC:<TXT> No Reward	 TBC:<TXT> No Reward	 WOTLK:<TXT> No Reward	
q(820),	-- <UNUSED>	 CLASSIC:<UNUSED>	 WOTLK:<UNUSED>	
q(839),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(856),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(934),	-- Crown of the Earth	 CLASSIC:Crown of the Earth	 TBC:Crown of the Earth	 WOTLK:Crown of the Earth	
q(946),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(988),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(989),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(1155),	-- <NYI> <TXT> bug crystal side quest	 CLASSIC:<NYI> <TXT> bug crystal side quest	 TBC:<NYI> <TXT> bug crystal side quest	 WOTLK:<NYI> <TXT> bug crystal side quest	
q(1156),	-- <NYI> <TXT> speak to alchemist pestlezugg	 CLASSIC:<NYI> <TXT> speak to alchemist pestlezugg	 TBC:<NYI> <TXT> speak to alchemist pestlezugg	 WOTLK:<NYI> <TXT> speak to alchemist pestlezugg	
q(1157),	-- <NYI> <TXT> pestlezugg needs items	 CLASSIC:<NYI> <TXT> pestlezugg needs items	 TBC:<NYI> <TXT> pestlezugg needs items	 WOTLK:<NYI> <TXT> pestlezugg needs items	
q(1158),	-- <NYI> <TXT> speak to rabine saturna	 CLASSIC:<NYI> <TXT> speak to rabine saturna	 TBC:<NYI> <TXT> speak to rabine saturna	 WOTLK:<NYI> <TXT> speak to rabine saturna	
q(1161),	-- <NYI> <TXT> gossip shade of ambermoon	 CLASSIC:<NYI> <TXT> gossip shade of ambermoon	 TBC:<NYI> <TXT> gossip shade of ambermoon	 WOTLK:<NYI> <TXT> gossip shade of ambermoon	
q(1162),	-- <NYI> <TXT> speak to hamuul runetotem	 CLASSIC:<NYI> <TXT> speak to hamuul runetotem	 TBC:<NYI> <TXT> speak to hamuul runetotem	 WOTLK:<NYI> <TXT> speak to hamuul runetotem	
q(1163),	-- <NYI> <TXT> speak to tyrande whisperwind	 CLASSIC:<NYI> <TXT> speak to tyrande whisperwind	 TBC:<NYI> <TXT> speak to tyrande whisperwind	 WOTLK:<NYI> <TXT> speak to tyrande whisperwind	
q(1277),	-- <nyi> <TXT> The Centaur Hoofprints	 CLASSIC:<nyi> <TXT> The Centaur Hoofprints	 TBC:<nyi> <TXT> The Centaur Hoofprints	 WOTLK:<nyi> <TXT> The Centaur Hoofprints	
q(1278),	-- <nyi> <TXT> The Grim Totem Clan	 CLASSIC:<nyi> <TXT> The Grim Totem Clan	 TBC:<nyi> <TXT> The Grim Totem Clan	 WOTLK:<nyi> <TXT> The Grim Totem Clan	
q(1279),	-- <nyi> <TXT>The Centaur Hoofprints	 CLASSIC:<nyi> <TXT>The Centaur Hoofprints	 TBC:<nyi> <TXT>The Centaur Hoofprints	 WOTLK:<nyi> <TXT>The Centaur Hoofprints	
q(1280),	-- <nyi> <TXT>The Centaur Hoofprints	 CLASSIC:<nyi> <TXT>The Centaur Hoofprints	 TBC:<nyi> <TXT>The Centaur Hoofprints	 WOTLK:<nyi> <TXT>The Centaur Hoofprints	
q(1288),	-- Vimes's Report	 CLASSIC:Vimes's Report	 TBC:Vimes's Report	 WOTLK:Vimes's Report	
q(1289),	-- <nyi> Vimes's Report	 CLASSIC:<nyi> Vimes's Report	
q(1290),	-- <nyi> Investigating Mosarn	 CLASSIC:<nyi> Investigating Mosarn	 WOTLK:<nyi> Investigating Mosarn	
q(1291),	-- <nyi> <TXT> Centaur Hoofprints	 CLASSIC:<nyi> <TXT> Centaur Hoofprints	
q(1292),	-- <nyi><TXT> Centaur Hoofprints	 CLASSIC:<nyi><TXT> Centaur Hoofprints	
q(1293),	-- <nyi> <TXT> Centaur Hoofprints	 CLASSIC:<nyi> <TXT> Centaur Hoofprints	 TBC:<nyi> <TXT> Centaur Hoofprints	 WOTLK:<nyi> <TXT> Centaur Hoofprints	
q(1294),	-- <nyi> <TXT>Centaur Sympathies	 CLASSIC:<nyi> <TXT>Centaur Sympathies	 TBC:<nyi> <TXT>Centaur Sympathies	 WOTLK:<nyi> <TXT>Centaur Sympathies	
q(1295),	-- <nyi> <TXT> Course of Action	 CLASSIC:<nyi> <TXT> Course of Action	 TBC:<nyi> <TXT> Course of Action	 WOTLK:<nyi> <TXT> Course of Action	
q(1296),	-- <nyi> <TXT> Course of Action	 CLASSIC:<nyi> <TXT> Course of Action	 TBC:<nyi> <TXT> Course of Action	 WOTLK:<nyi> <TXT> Course of Action	
q(1297),	-- <nyi> <TXT> Course of Action	 CLASSIC:<nyi> <TXT> Course of Action	 TBC:<nyi> <TXT> Course of Action	 WOTLK:<nyi> <TXT> Course of Action	
q(1298),	-- <nyi> <TXT> Thrall's Dirty Work	 CLASSIC:<nyi> <TXT> Thrall's Dirty Work	
q(1299),	-- <nyi> <TXT> Thrall's Dirty Work	 CLASSIC:<nyi> <TXT> Thrall's Dirty Work	 TBC:<nyi> <TXT> Thrall's Dirty Work	 WOTLK:<nyi> <TXT> Thrall's Dirty Work	
q(1300),	-- <nyi> <TXT> Lorn Grim Totem	 CLASSIC:<nyi> <TXT> Lorn Grim Totem	 TBC:<nyi> <TXT> Lorn Grim Totem	 WOTLK:<nyi> <TXT> Lorn Grim Totem	
q(1390),	-- <nyi> Oops, We Killed Them Again.	 CLASSIC:<nyi> Oops, We Killed Them Again.	
q(1397),	-- <nyi> Saved!	 CLASSIC:<nyi> Saved!	
q(1441),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1443),	-- <nyi> The Shakedown	 CLASSIC:<nyi> The Shakedown	
q(1460),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1461),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1531),	-- Call of Air	 CLASSIC:Call of Air	 TBC:Call of Air	 WOTLK:Call of Air	
q(1532),	-- Call of Air	 CLASSIC:Call of Air	 TBC:Call of Air	 WOTLK:Call of Air	
q(1533),	-- <NYI> Call of Air	 CLASSIC:<NYI> Call of Air	
q(1537),	-- <NYI> Call of Air	 CLASSIC:<NYI> Call of Air	 TBC:<NYI> Call of Air	 WOTLK:<NYI> Call of Air	
q(1538),	-- <NYI> Call of Air	 CLASSIC:<NYI> Call of Air	
q(1659),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1660),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1662),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1663),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(1664),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(2000),	-- Rokar Bladeshadow	 CLASSIC:Rokar Bladeshadow	 TBC:Rokar Bladeshadow	 WOTLK:Rokar Bladeshadow	
q(2018),	-- Rokar's Test	 CLASSIC:Rokar's Test	
q(2019),	-- Tools of the Trade	 CLASSIC:Tools of the Trade	
q(2020),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(2058),	-- <UNUSED>	 CLASSIC:<UNUSED>	 WOTLK:<UNUSED>	
q(2059),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(2358),	-- Horns of Nez'ra	 CLASSIC:Horns of Nez'ra	 WOTLK:Horns of Nez'ra	
q(2868),	-- <TXT> The Shriveled Heart	 CLASSIC:<TXT> The Shriveled Heart	 TBC:<TXT> The Shriveled Heart	 WOTLK:<TXT> The Shriveled Heart	
q(2971),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(2997),	-- Tome of Divinity	 CLASSIC:Tome of Divinity	 TBC:Tome of Divinity	 WOTLK:Tome of Divinity	
q(2999),	-- Tome of Divinity	 CLASSIC:Tome of Divinity	 TBC:Tome of Divinity	 WOTLK:Tome of Divinity	
q(3000),	-- Tome of Divinity	 CLASSIC:Tome of Divinity	 TBC:Tome of Divinity	 WOTLK:Tome of Divinity	
q(3023),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3111),	-- <UNUSED> [DEPRECATED]	 CLASSIC:<UNUSED> [DEPRECATED]	
q(3241),	-- <NYI> <TXT><redux> Dreadmist Peak	 CLASSIC:<NYI> <TXT><redux> Dreadmist Peak	 TBC:<NYI> <TXT><redux> Dreadmist Peak	 WOTLK:<NYI> <TXT><redux> Dreadmist Peak	
q(3383),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3384),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3401),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3403),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3404),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3405),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3422),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3423),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3424),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3425),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3482),	-- <NYI> <TXT> The Pocked Black Box	 CLASSIC:<NYI> <TXT> The Pocked Black Box	 TBC:<NYI> <TXT> The Pocked Black Box	 WOTLK:<NYI> <TXT> The Pocked Black Box	
q(3515),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3516),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(3529),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3530),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(3531),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(3622),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(3623),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(3624),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(3885),	-- <NYI> <TXT> The Gadgetzan Run	 CLASSIC:<NYI> <TXT> The Gadgetzan Run	 TBC:<NYI> <TXT> The Gadgetzan Run	 WOTLK:<NYI> <TXT> The Gadgetzan Run	
q(3910),	-- <NYI> <TXT> The Un'Goro Run	 CLASSIC:<NYI> <TXT> The Un'Goro Run	
q(4299),	-- <NYI> <TXT>The Tomb of the Seven	 CLASSIC:<NYI> <TXT>The Tomb of the Seven	 TBC:<NYI> <TXT>The Tomb of the Seven	 WOTLK:<NYI> <TXT>The Tomb of the Seven	
q(4323),	-- <NYI> <TXT> Get those Hyenas!!!	 CLASSIC:<NYI> <TXT> Get those Hyenas!!!	 TBC:<NYI> <TXT> Get those Hyenas!!!	 WOTLK:<NYI> <TXT> Get those Hyenas!!!	
q(4541),	-- <NYI> <TXT>	 CLASSIC:<NYI> <TXT>	
q(4905),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5101),	-- Lee's Ultimate Test Quest... of Doom!	 CLASSIC:Lee's Ultimate Test Quest... of Doom!	 TBC:Lee's Ultimate Test Quest... of Doom!	 WOTLK:Lee's Ultimate Test Quest... of Doom!	
q(5205),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5207),	-- <NYI> <TXT> The True Summoner	 CLASSIC:<NYI> <TXT> The True Summoner	 TBC:<NYI> <TXT> The True Summoner	 WOTLK:<NYI> <TXT> The True Summoner	
q(5208),	-- <NYI> <TXT> The Blessing of Evil	 CLASSIC:<NYI> <TXT> The Blessing of Evil	 TBC:<NYI> <TXT> The Blessing of Evil	 WOTLK:<NYI> <TXT> The Blessing of Evil	
q(5209),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5303),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5304),	-- <UNUSED>	 CLASSIC:<UNUSED>	 WOTLK:<UNUSED>	
q(5506),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5512),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5516),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5520),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5523),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(5530),	-- <NYI> <TXT> Necklace of the Dawn	 CLASSIC:<NYI> <TXT> Necklace of the Dawn	 WOTLK:<NYI> <TXT> Necklace of the Dawn	
q(5532),	-- <NYI> <TXT> Ring of the Dawn	 CLASSIC:<NYI> <TXT> Ring of the Dawn	 TBC:<NYI> <TXT> Ring of the Dawn	 WOTLK:<NYI> <TXT> Ring of the Dawn	
q(5628),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5629),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5630),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5631),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5632),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5633),	-- Returning Home	 CLASSIC:Returning Home	 TBC:Returning Home	 WOTLK:Returning Home	
q(5635),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5636),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5637),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5638),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5639),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5640),	-- Desperate Prayer	 CLASSIC:Desperate Prayer	 TBC:Desperate Prayer	 WOTLK:Desperate Prayer	
q(5641),	-- A Lack of Fear	 CLASSIC:A Lack of Fear	 TBC:A Lack of Fear	 WOTLK:A Lack of Fear	
q(5642),	-- Shadowguard	 CLASSIC:Shadowguard	 TBC:Shadowguard	 WOTLK:Shadowguard	
q(5643),	-- Shadowguard	 CLASSIC:Shadowguard	 TBC:Shadowguard	 WOTLK:Shadowguard	
q(5644),	-- Devouring Plague	 CLASSIC:Devouring Plague	 TBC:Devouring Plague	 WOTLK:Devouring Plague	
q(5645),	-- A Lack of Fear	 CLASSIC:A Lack of Fear	 TBC:A Lack of Fear	 WOTLK:A Lack of Fear	
q(5646),	-- Devouring Plague	 CLASSIC:Devouring Plague	 TBC:Devouring Plague	 WOTLK:Devouring Plague	
q(5647),	-- A Lack of Fear	 CLASSIC:A Lack of Fear	 TBC:A Lack of Fear	 WOTLK:A Lack of Fear	
q(5653),	-- <NYI> Hex of Weakness	 CLASSIC:<NYI> Hex of Weakness	
q(5654),	-- Hex of Weakness	 CLASSIC:Hex of Weakness	 TBC:Hex of Weakness	 WOTLK:Hex of Weakness	
q(5655),	-- Hex of Weakness	 CLASSIC:Hex of Weakness	 TBC:Hex of Weakness	 WOTLK:Hex of Weakness	
q(5656),	-- Hex of Weakness	 CLASSIC:Hex of Weakness	 TBC:Hex of Weakness	 WOTLK:Hex of Weakness	
q(5657),	-- Hex of Weakness	 CLASSIC:Hex of Weakness	 TBC:Hex of Weakness	 WOTLK:Hex of Weakness	
q(5658),	-- Touch of Weakness	 CLASSIC:Touch of Weakness	 TBC:Touch of Weakness	 WOTLK:Touch of Weakness	
q(5659),	-- <NYI> Touch of Weakness	 CLASSIC:<NYI> Touch of Weakness	 WOTLK:<NYI> Touch of Weakness	
q(5660),	-- Touch of Weakness	 CLASSIC:Touch of Weakness	 TBC:Touch of Weakness	 WOTLK:Touch of Weakness	
q(5661),	-- Touch of Weakness	 CLASSIC:Touch of Weakness	 TBC:Touch of Weakness	 WOTLK:Touch of Weakness	
q(5662),	-- Touch of Weakness	 CLASSIC:Touch of Weakness	 TBC:Touch of Weakness	 WOTLK:Touch of Weakness	
q(5663),	-- Touch of Weakness	 CLASSIC:Touch of Weakness	 TBC:Touch of Weakness	 WOTLK:Touch of Weakness	
q(5664),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5665),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5666),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5667),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5668),	-- <NYI> A Blessing of Light	 CLASSIC:<NYI> A Blessing of Light	
q(5669),	-- <NYI> A Blessing of Light	 CLASSIC:<NYI> A Blessing of Light	
q(5670),	-- <NYI> A Blessing of Light	 CLASSIC:<NYI> A Blessing of Light	
q(5671),	-- <NYI> A Blessing of Light	 CLASSIC:<NYI> A Blessing of Light	
q(5673),	-- Elune's Grace	 CLASSIC:Elune's Grace	 TBC:Elune's Grace	 WOTLK:Elune's Grace	
q(5674),	-- Elune's Grace	 CLASSIC:Elune's Grace	 TBC:Elune's Grace	 WOTLK:Elune's Grace	
q(5675),	-- Elune's Grace	 CLASSIC:Elune's Grace	 TBC:Elune's Grace	 WOTLK:Elune's Grace	
q(5677),	-- Arcane Feedback	 CLASSIC:Arcane Feedback	 TBC:Arcane Feedback	 WOTLK:Arcane Feedback	
q(5678),	-- Arcane Feedback	 CLASSIC:Arcane Feedback	 TBC:Arcane Feedback	 WOTLK:Arcane Feedback	
q(5681),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5682),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5683),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5684),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5685),	-- <NYI> <TXT> The Light Protects You	 CLASSIC:<NYI> <TXT> The Light Protects You	
q(5686),	-- <NYI> The Light Protects You	 CLASSIC:<NYI> The Light Protects You	
q(5687),	-- <NYI> The Light Protects You	 CLASSIC:<NYI> The Light Protects You	
q(5688),	-- <NYI> <TXT> A Touch of Voodoo	 CLASSIC:<NYI> <TXT> A Touch of Voodoo	
q(5689),	-- <NYI> A Touch of Voodoo	 CLASSIC:<NYI> A Touch of Voodoo	
q(5690),	-- <NYI> <TXT> A Touch of Voodoo	 CLASSIC:<NYI> <TXT> A Touch of Voodoo	
q(5691),	-- <NYI> <TXT> In the Dark it was Created	 CLASSIC:<NYI> <TXT> In the Dark it was Created	
q(5692),	-- <NYI> In the Dark It was Created	 CLASSIC:<NYI> In the Dark It was Created	
q(5693),	-- <NYI> In the Dark It was Created	 CLASSIC:<NYI> In the Dark It was Created	
q(5694),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5695),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5696),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5697),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(5698),	-- <NYI> <TXT> A Small Amount of Hope	 CLASSIC:<NYI> <TXT> A Small Amount of Hope	
q(5699),	-- <NYI> A Small Amount of Hope	 CLASSIC:<NYI> A Small Amount of Hope	
q(5700),	-- <NYI> A Small Amount of Hope	 CLASSIC:<NYI> A Small Amount of Hope	
q(5701),	-- <NYI> <TXT> The Rites of Old	 CLASSIC:<NYI> <TXT> The Rites of Old	
q(5702),	-- <NYI> The Rites of Old	 CLASSIC:<NYI> The Rites of Old	
q(5703),	-- <NYI> The Rites of Old	 CLASSIC:<NYI> The Rites of Old	
q(5704),	-- <NYI> <TXT> Undead Priest Robe	 CLASSIC:<NYI> <TXT> Undead Priest Robe	
q(5705),	-- <NYI> No Longer a Shadow	 CLASSIC:<NYI> No Longer a Shadow	
q(5706),	-- <NYI> No Longer a Shadow	 CLASSIC:<NYI> No Longer a Shadow	
q(5707),	-- <NYI> <TXT> Flirting With Darkness	 CLASSIC:<NYI> <TXT> Flirting With Darkness	
q(5708),	-- <NYI> Flirting With Darkness	 CLASSIC:<NYI> Flirting With Darkness	
q(5709),	-- <NYI> Flirting With Darkness	 CLASSIC:<NYI> Flirting With Darkness	
q(5710),	-- <NYI> <TXT> Troll Priest Robe	 CLASSIC:<NYI> <TXT> Troll Priest Robe	
q(5711),	-- <NYI> The Lost Ways	 CLASSIC:<NYI> The Lost Ways	
q(5712),	-- <NYI> The Lost Ways	 CLASSIC:<NYI> The Lost Ways	
q(6003),	-- <nyi> <txt> Green With Envy	 CLASSIC:<nyi> <txt> Green With Envy	
q(6165),	-- <NYI> <TXT> Archmage Timolain's Remains	 CLASSIC:<NYI> <TXT> Archmage Timolain's Remains	 TBC:<NYI> <TXT> Archmage Timolain's Remains	 WOTLK:<NYI> <TXT> Archmage Timolain's Remains	
q(6201),	-- <UNUSED> The Legacy of the Ashbringer	 CLASSIC:<UNUSED> The Legacy of the Ashbringer	 TBC:<UNUSED> The Legacy of the Ashbringer	 WOTLK:<UNUSED> The Legacy of the Ashbringer	
q(6202),	-- <UNUSED> Good and Evil	 CLASSIC:<UNUSED> Good and Evil	
q(6606),	-- A Little Luck	 CLASSIC:A Little Luck	 TBC:A Little Luck	 WOTLK:A Little Luck	
q(6702),	-- [DEPRECATED] <TXT> SF, RFK, GNOMER, BF	 CLASSIC:[DEPRECATED] <TXT> SF, RFK, GNOMER, BF	
q(6704),	-- [DEPRECATED] <TXT> SM, RFD, ULD	 CLASSIC:[DEPRECATED] <TXT> SM, RFD, ULD	
q(6706),	-- [DEPRECATED] <TXT> ZUL, ST, MAR	 CLASSIC:[DEPRECATED] <TXT> ZUL, ST, MAR	
q(6708),	-- [DEPRECATED] <TXT> BRD, DM, BRS	 CLASSIC:[DEPRECATED] <TXT> BRD, DM, BRS	
q(6710),	-- [DEPRECATED] <TXT> UBRS, STRATH, SCHOL	 CLASSIC:[DEPRECATED] <TXT> UBRS, STRATH, SCHOL	
q(6841),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(6843),	-- Da Foo	 CLASSIC:Da Foo	
q(7384),	-- <nyi> <txt> The Scale Crafters	 CLASSIC:<nyi> <txt> The Scale Crafters	
q(7487),	-- Attunement to the Core	 CLASSIC:Attunement to the Core	 TBC:Attunement to the Core	 WOTLK:Attunement to the Core	
q(7521),	-- Thunderaan the Windseeker	 CLASSIC:Thunderaan the Windseeker	
q(7522),	-- Examine the Vessel	 CLASSIC:Examine the Vessel	
q(7561),	-- Rise, Thunderfury!	 CLASSIC:Rise, Thunderfury!	
q(7637),	-- Emphasis on Sacrifice	 CLASSIC:Emphasis on Sacrifice	 TBC:Emphasis on Sacrifice	 WOTLK:Emphasis on Sacrifice	
q(7638),	-- Lord Grayson Shadowbreaker	 CLASSIC:Lord Grayson Shadowbreaker	 TBC:Lord Grayson Shadowbreaker	 WOTLK:Lord Grayson Shadowbreaker	
q(7639),	-- To Show Due Judgment	 CLASSIC:To Show Due Judgment	 TBC:To Show Due Judgment	 WOTLK:To Show Due Judgment	
q(7640),	-- Exorcising Terrordale	 CLASSIC:Exorcising Terrordale	 TBC:Exorcising Terrordale	 WOTLK:Exorcising Terrordale	
q(7641),	-- The Work of Grimand Elmore	 CLASSIC:The Work of Grimand Elmore	 TBC:The Work of Grimand Elmore	 WOTLK:The Work of Grimand Elmore	
q(7642),	-- Collection of Goods	 CLASSIC:Collection of Goods	 TBC:Collection of Goods	 WOTLK:Collection of Goods	
