Name_lang,Pos_0,Pos_1,Pos_2,MapOffset_0,MapOffset_1,FlightMapOffset_0,FlightMapOffset_1,ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID_0,MountCreatureID_1
"Kargath, Badlands",-6633.990234375,-2180.0500488281,244.13999938965,0,0,0,0,21,0,0,21,2,0,0,0,0,2224,0
"Thunder Bluff, Mulgore",-1197.2099609375,29.70999908447,176.94999694824,0,0,0,0,22,1,0,22,2,0,0,0,0,2224,0
"Orgrimmar, Durotar",1677.5899658203,-4315.7099609375,61.16999816895,0,0,0,0,23,1,0,23,2,0,0,0,0,2224,0
"Generic, World target for Zeppelin Paths",-6666,-2222.3000488281,278.60000610352,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0
"Crossroads, The Barrens",-441.79998779297,-2596.080078125,96.05999755859,0,0,0,0,25,1,0,25,2,0,0,0,0,2224,0
"Auberdine, Darkshore",6341.3798828125,557.67999267578,16.29000091553,0,0,0,0,26,1,0,26,1,0,0,0,0,0,3837
"Rut'theran Village, Teldrassil",8643.58984375,841.04998779297,23.29999923706,0,0,0,0,27,1,0,27,1,0,0,0,0,0,3837
"Astranaar, Ashenvale",2827.3400878906,-289.23999023438,107.16000366211,0,0,0,0,28,1,0,28,1,0,0,0,0,0,3837
"Sun Rock Retreat, Stonetalon Mountains",966.57000732422,1040.3199462891,104.26999664307,0,0,0,0,29,1,0,29,2,0,0,0,0,2224,0
"Freewind Post, Thousand Needles",-5407.7099609375,-2414.3000488281,90.31999969482,0,0,0,0,30,1,0,30,2,0,0,0,0,2224,0
"Thalanaar, Feralas",-4491.8798828125,-775.89001464844,-39.52000045776,0,0,0,0,31,1,0,31,1,0,0,0,0,0,3837
"Theramore, Dustwallow Marsh",-3825.3701171875,-4516.580078125,10.43999958038,0,0,0,0,32,1,0,32,1,0,0,0,0,0,541
"Stonetalon Peak, Stonetalon Mountains",2681.1298828125,1461.6800537109,232.88000488281,0,0,0,0,33,1,0,33,1,0,0,0,0,0,3837
"Transport, Booty Bay - Ratchet",-1965.1700439453,-5824.2900390625,-1.05999994278,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0
"Transport, Orgrimmar Zepplins",1320.0699462891,-4649.2001953125,21.56999969482,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0
"Generic, World target",-8644.6201171875,433.2799987793,59.45999908447,0,0,0,0,36,0,0,0,0,0,0,0,0,15665,0
"Nijel's Point, Desolace",139.24000549316,1325.8199462891,193.5,0,0,0,0,37,1,0,37,1,0,0,0,0,0,3837
"Shadowprey Village, Desolace",-1767.6400146484,3263.8898925781,4.94000005722,0,0,0,0,38,1,0,38,2,0,0,0,0,2224,0
"Gadgetzan, Tanaris",-7223.9702148438,-3734.5900878906,8.39000034332,0,0,0,0,39,1,0,39,1,0,0,0,0,0,541
"Gadgetzan, Tanaris",-7048.8901367188,-3780.3601074219,10.18999958038,0,0,0,0,40,1,0,40,2,0,0,0,0,2224,0
"Feathermoon, Feralas",-4373.7998046875,3338.6499023438,12.27000045776,0,0,0,0,41,1,0,41,1,0,0,0,0,0,3837
"Camp Mojache, Feralas",-4419.8598632812,199.30999755859,25.05999946594,0,0,0,0,42,1,0,42,2,0,0,0,0,2224,0
"Aerie Peak, The Hinterlands",283.73999023438,-2002.7600097656,194.74000549316,0,0,0,0,43,0,0,43,1,0,0,0,0,0,541
"Valormok, Azshara",3661.5200195312,-4390.3798828125,113.05000305176,0,0,0,0,44,1,0,44,2,0,0,0,0,2224,0
"Nethergarde Keep, Blasted Lands",-11112.25,-3435.7399902344,79.08999633789,0,0,0,0,45,0,0,45,1,0,0,0,0,0,541
"Southshore Ferry, Hillsbrad",-986.42999267578,-547.85998535156,-3.8599998951,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"Transport, Grom'gol - Orgrimmar",-12418.76953125,235.42999267578,1.12000000477,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
"Bloodvenom Post, Felwood",5068.3999023438,-337.2200012207,367.41000366211,0,0,0,0,48,1,0,48,2,0,0,0,0,2224,0
Moonglade,7458.4501953125,-2487.2099609375,462.32998657227,0,0,0,0,49,1,0,49,1,0,0,0,0,0,3837
"Transport, Menethil Ships",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
"Transport, Rut'theran - Auberdine",0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
"Everlook, Winterspring",6799.240234375,-4742.4399414062,701.5,0,0,0,0,52,1,0,52,1,0,0,0,0,0,3837
"Everlook, Winterspring",6813.0600585938,-4611.1201171875,710.66998291016,0,0,0,0,53,1,0,53,2,0,0,0,0,2224,0
"Transport, Feathermoon - Feralas",-4203.8701171875,3284,-12.85999965668,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0
"Brackenwall Village, Dustwallow Marsh",-3147.3898925781,-2842.1799316406,34.61000061035,0,0,0,0,55,1,0,55,2,0,0,0,0,2224,0
"Stonard, Swamp of Sorrows",-10456.969726562,-3279.25,21.35000038147,0,0,0,0,56,0,0,56,2,0,0,0,0,2224,0
"Fishing Village, Teldrassil",8701.509765625,991.36999511719,14.21000003815,0,0,0,0,57,1,0,0,0,0,0,0,0,0,3837
"Zoram'gar Outpost, Ashenvale",3374.7099609375,996.96997070313,5.19000005722,0,0,0,0,58,1,0,58,2,0,0,0,0,2224,0
"Dun Baldar, Alterac Valley",574.21002197266,-46.65000152588,37.61000061035,0,0,0,0,59,30,0,0,1,0,0,0,0,0,541
"Frostwolf Keep, Alterac Valley",-1335.4399414062,-319.69000244141,90.66000366211,0,0,0,0,60,30,0,0,2,0,0,0,0,3574,0
"Splintertree Post, Ashenvale",2302.3898925781,-2524.5500488281,104.40000152588,0,0,0,0,61,1,0,61,2,0,0,0,0,2224,0
"Nighthaven, Moonglade",7793.6098632812,-2403.4699707031,489.32000732422,0,0,0,0,62,1,0,0,1,0,0,0,0,0,3837
"Nighthaven, Moonglade",7787.7202148438,-2404.1000976562,489.55999755859,0,0,0,0,63,1,0,0,2,0,0,0,0,2224,0
"Talrendis Point, Azshara",2721.9899902344,-3880.6398925781,100.87000274658,0,0,0,0,64,1,0,64,1,0,0,0,0,0,3837
"Talonbranch Glade, Felwood",6205.8798828125,-1949.6300048828,571.28997802734,0,0,0,0,65,1,0,65,1,0,0,0,0,0,3837
"Chillwind Camp, Western Plaguelands",931.32000732422,-1430.1099853516,64.66999816895,0,0,0,0,66,0,0,66,1,0,0,0,0,0,541
"Light's Hope Chapel, Eastern Plaguelands",2271.0900878906,-5340.7998046875,87.11000061035,0,0,0,0,67,0,0,67,1,0,0,0,0,0,541
"Light's Hope Chapel, Eastern Plaguelands",2327.4099121094,-5286.8901367188,81.7799987793,0,0,0,0,68,0,0,68,2,0,0,0,0,3574,0
Moonglade,7470.3901367188,-2123.3798828125,492.33999633789,0,0,0,0,69,1,0,69,2,0,0,0,0,2224,0
"Flame Crest, Burning Steppes",-7504.0297851562,-2187.5400390625,165.5299987793,0,0,0,0,70,0,0,70,2,0,0,0,0,2224,0
"Morgan's Vigil, Burning Steppes",-8364.6103515625,-2738.3500976562,185.46000671387,0,0,0,0,71,0,0,71,1,0,0,0,0,0,541
"Cenarion Hold, Silithus",-6811.3901367188,836.73999023438,49.81000137329,0,0,0,0,72,1,0,72,2,0,0,0,0,2224,0
"Cenarion Hold, Silithus",-6761.830078125,772.03002929688,88.91000366211,0,0,0,0,73,1,0,73,1,0,0,0,0,0,3837
"Thorium Point, Searing Gorge",-6552.58984375,-1168.2700195312,309.30999755859,0,0,0,0,74,0,0,74,1,0,0,0,0,0,541
"Thorium Point, Searing Gorge",-6554.9301757812,-1100.0500488281,309.57000732422,0,0,0,0,75,0,0,75,2,0,0,0,0,2224,0
"Revantusk Village, The Hinterlands",-635.26000976563,-4720.5,5.38000011444,0,0,0,0,76,0,0,76,2,0,0,0,0,2224,0
"Camp Taurajo, The Barrens",-2380.669921875,-1882.6700439453,95.84999847412,0,0,0,0,77,1,0,77,2,0,0,0,0,2224,0
Naxxramas,3133.3100585938,-3399.9299316406,139.5299987793,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
"Marshal's Refuge, Un'Goro Crater",-6113.8198242188,-1142.6999511719,-187.63000488281,0,0,0,0,79,1,0,79,3,0,0,0,0,2224,541
"Ratchet, The Barrens",-894.59002685547,-3773.0100097656,11.47999954224,0,0,0,0,80,1,0,80,3,0,0,0,0,2224,541
"Plaguewood Tower, Eastern Plaguelands",2998.7099609375,-3050.1000976562,117.19000244141,0,0,0,0,84,0,0,0,3,0,0,0,0,17660,17660
"Northpass Tower, Eastern Plaguelands",3109.3100585938,-4285.1298828125,109.44999694824,0,0,0,0,85,0,0,0,3,0,0,0,0,3574,541
"Eastwall Tower, Eastern Plaguelands",2499.2299804688,-4742.8500976562,93.5,0,0,0,0,86,0,0,0,3,0,0,0,0,3574,541
"Crown Guard Tower, Eastern Plaguelands",1857.5600585938,-3658.4699707031,143.72999572754,0,0,0,0,87,0,0,0,3,0,0,0,0,3574,541
"Quest Path 9571: S03 - Runecarving - Shaman - Level 40 Quest - 6 - KJA",-5167.2900390625,-2788.5100097656,89.67520141602,0,0,0,0,2913,1,0,0,0,0,0,0,0,2224,2224
"Quest Path 9574: S03 - Runecarving - Shaman - Level 40 Quest - 6 - Flight Back - KJA",-5459.7001953125,-2468.3100585938,89.27600097656,0,0,0,0,2914,1,0,0,0,0,0,0,0,2224,2224
"Quest Path 9620: S03 - Runecarving - Shaman - Level 40 Rune - Corrupted Fire Totem - Tal Taxi Path - KJA",7470.6899414062,-2126.7700195312,492.41500854492,0,0,0,0,2930,1,0,0,0,0,0,0,0,2224,2224
