ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
855,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2818,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2823
865,23,0,0,6,0,0,7000,1,1,0,0,0,0,0,0,8732,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2834
962,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2333,0,1,0.69999998808,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,3160
966,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3188,0,1,0.60000002384,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,3164
968,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3171,0,1,1,0,0,1,0,-1,0,3,0,0,0,0,0,0,0,1,0,3166
985,161,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3170,0,1,1,0,0,1,0,-8,0,0,0,0,0,0,0,0,0,1,0,3219
986,22,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3177,0,1,0.40999999642,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,3220
988,161,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3176,0,1,0.60000002384,0,0,1,0,-8,0,0,0,0,0,0,0,0,0,1,0,3222
989,161,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3451,0,1,0.69999998808,0,0,1,0,-8,0,0,0,0,0,0,0,0,0,1,0,3223
997,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3322,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3235
1023,23,0,1,6,0,0,8000,0,1,0,0,0,0,0,0,3271,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3269
1037,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3260,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3284
1039,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,368737,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,3286
1069,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3322,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3338
1104,42,0,0,6,1,0,0,0,1,0,0,0,0,0,0,3393,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3394
1113,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3409,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3408
1125,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3391,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3417
1126,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3419,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3418
1128,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,744,0,1,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,20,0,3424
1137,42,0,2,6,0,0,0,0,1,0,0,0,0,0,0,3439,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3439
1138,42,0,0,6,1,0,0,0,1,0,0,0,0,0,0,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3440
1180,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3510,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3509
1185,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3514,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3512
1231,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3602,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3582
1233,23,0,0,6,0,0,15000,0,1,0,0,0,0,0,0,3585,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3584
1235,23,0,0,6,0,0,15000,0,1,0,0,0,0,0,0,3587,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,3586
1243,34,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3450,0,1,0.09250000119,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,1,0,3593
1258,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,13298,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3616
1265,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3639,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3637
1345,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3826,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3825
1397,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,25730,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3921
1467,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,4045,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4044
1469,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,4049,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4048
1472,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,3617,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4050
1501,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,10342,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4070
1612,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,5545,0,1,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,25,0,4294
1623,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4150,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4317
1669,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4524,0,1,0,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4525
1672,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,38082,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4526
1699,42,0,1,6,0,0,0,0,1,0,0,0,0,0,0,4937,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4932
1716,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,4950,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4951
1729,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,5016,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4972
1761,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19705,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5004
1762,0,0,0,64,1,0,0,0,1,0,0,0,0,0,0,1291840,0,1,0.25,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,1,0,5005
1763,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19706,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5005
1765,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19708,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5006
1767,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19709,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5007
1789,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,0,924,0,0,0,0,0,0,0,1,0,5099
1802,23,0,1,6,0,0,3000,0,1,0,0,0,0,0,0,5113,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5111
1863,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,127802,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5227
1872,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,5251,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5250
1882,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5263,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5262
1897,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5301
1900,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,280849,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5308
2006,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,5607,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5608
2016,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,52042,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5672
2021,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5679,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5680
2044,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5760,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5761
2058,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5810,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5811
2165,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,8136,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6271
2171,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6275,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6276
2226,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,6411,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6410
2240,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6264,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6433
2264,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,3600,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6474
2276,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6497,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6498
2282,19,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3453,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,6512
2290,23,0,0,6,0,0,90000,0,1,0,0,0,0,0,0,3648,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6523
2320,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,6581,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6580
2341,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,33126,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6607
2356,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1086,0,0,0,0,0,0,0,1,0,6620
2365,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3409,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6645
2380,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,6669,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6664
2408,23,0,0,6,0,0,20000,0,1,0,0,0,0,0,0,6634,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6718
2431,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6749,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6750
2433,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6751,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6752
2466,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6817,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6820
2467,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6816,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6821
2468,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6819,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6822
2469,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,6818,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6823
2475,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6866,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6867
2478,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6870,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6871
2505,42,0,2,6,1,0,0,1,1,0,0,0,0,0,0,6922,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6921
2522,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6946,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6947
2532,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6961
2541,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,6955,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6974
2548,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,51284,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,6991
2559,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,7022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7023
2603,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7095
2612,42,0,2,6,0,0,0,0,1,0,0,0,0,0,0,7103,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,7103
2640,42,0,2,6,1,0,0,1,1,0,0,0,0,0,0,30023,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7137
2663,82,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7179,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7178
2669,0,0,1,16,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9051,0,0,0,0,0,0,0,1,0,7211
2720,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,13298,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7276
2775,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,30023,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7377
2822,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7423,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7445
2823,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7447,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7446
2945,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,16783,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7617
2946,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,16784,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7619
2963,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,7657,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7655
2964,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,7656,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7655
2971,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,7668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7667
2974,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,8320,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7669
3021,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7712,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7711
3031,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7721
3121,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7845,0,1,0.89999997616,0,0,1,0,-1,0,4,0,0,0,0,0,0,0,1,0,7844
3125,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7848,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7849
3190,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,7950,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7949
3231,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7999
3318,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,8146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8145
3342,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,8187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8188
3356,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,8240,0,1,1.60000002384,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,8212
3357,61,0,1,6,0,0,0,0,1,0,0,0,0,0,0,8240,0,1,0,0,0,1,30,0,0,0,2,0,0,0,0,0,0,1,0,8212
3374,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,8225,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8224
3375,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,8225,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8224
3388,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3436,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8247
3491,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,8377,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8378
3512,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,10368,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8397
3556,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,8553,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,8554
3581,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,8611,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8612
3616,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,8680,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8679
3626,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,8714,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8713
3632,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,5164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,8716
3678,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,8822,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8817
3683,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,8834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8833
3685,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3288,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8852
3697,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3391,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8876
3847,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,9159,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9160
3887,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,9057,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9233
3964,23,0,0,6,0,0,11000,1,1,0,0,0,0,0,0,24573,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,9347
4029,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,8822,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9458
4031,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,9459,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9460
4035,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,9462,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9463
4076,23,0,0,6,0,0,60000,0,1,0,0,0,0,0,0,9615,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,9614
4080,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,9633,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9632
4097,23,0,0,6,0,0,2000,0,1,0,0,0,0,0,0,9737,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9733
4123,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,9770,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9769
4126,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,9775,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,9771
4131,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,9776,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,9775
4134,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,9777,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9778
4155,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,9770,0,1,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,22,30,9798
4236,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3583,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10022
4257,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,10093,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10092
4346,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19710,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10256
4348,23,0,1,6,0,0,10000,1,1,0,0,0,0,0,0,19711,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10257
4402,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,0,2520,0,0,0,0,0,0,0,1,0,10459
4532,23,0,0,6,0,0,8000,0,1,0,0,0,0,0,0,26385,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,38,0,10727
4543,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,10734,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10737
4622,23,0,2,6,0,0,7000,0,1,0,0,0,0,0,0,10856,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,10855
4702,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,11088,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11087
