Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID,AdventureMapTextureKitID,MapArtZoneTextPosition
"Shadowthread Cave",58,57,0,0,5,0,0,0,0,0,0,0,0,0
"Fel Rock",59,57,0,0,5,0,0,0,0,0,0,0,0,0
"Ban'ethil Barrow Den",60,57,0,0,5,0,0,0,0,0,0,0,0,0
"Ban'ethil Barrow Den",61,57,0,0,5,0,0,0,0,0,0,0,0,0
Darkshore,62,12,6,0,3,10,1,0,1,0,0,5,0,0
Ashenvale,63,12,6,0,3,0,0,0,0,0,0,12,0,0
"Thousand Needles",64,12,6,0,3,0,0,0,0,0,0,21,0,0
"Stonetalon Mountains",65,12,6,0,3,0,0,0,0,0,0,14,0,0
Desolace,66,12,6,0,3,0,0,0,0,0,0,19,0,0
Maraudon,67,66,0,0,5,0,0,0,0,0,0,0,0,0
Maraudon,68,66,0,0,5,0,0,0,0,0,0,0,0,0
Feralas,69,12,6,0,3,0,0,0,0,0,0,22,0,0
"Dustwallow Marsh",70,12,6,0,3,0,0,0,0,0,0,23,0,0
Tanaris,71,12,6,0,3,0,0,0,0,0,0,28,0,0
"The Noxious Lair",72,71,0,0,5,0,0,0,0,0,0,0,0,0
"The Gaping Chasm",73,71,0,0,5,0,0,0,0,0,0,0,0,0
"Caverns of Time",74,71,0,0,5,0,0,0,0,0,0,0,0,0
"Caverns of Time",75,71,0,0,5,0,0,0,0,0,0,0,0,0
Azshara,76,12,6,0,3,0,0,0,0,0,0,2,0,0
Felwood,77,12,6,0,3,0,0,0,0,0,0,26,0,0
"Un'Goro Crater",78,12,6,0,3,0,0,0,0,0,0,32,0,0
"The Slithering Scar",79,78,0,0,5,0,0,0,0,0,0,0,0,0
Moonglade,80,12,6,0,3,0,0,0,0,0,0,884,0,0
Silithus,81,12,6,0,3,0,0,0,0,0,0,36,0,0
"Twilight's Run",82,81,0,0,5,0,0,0,0,0,0,0,0,0
Winterspring,83,12,6,0,3,0,0,0,0,0,0,33,0,0
"Stormwind City",84,13,7,0,3,0,0,0,0,0,0,0,0,0
Orgrimmar,85,12,7,0,3,0,0,0,0,0,0,0,0,0
Orgrimmar,86,85,512,0,6,0,0,0,0,0,0,0,0,0
Ironforge,87,13,6,0,3,0,0,0,0,0,0,0,0,0
"Thunder Bluff",88,12,6,0,3,0,0,0,0,0,0,0,0,0
Darnassus,89,12,7,0,3,0,0,68088,0,0,0,0,0,0
Undercity,90,13,6,0,3,0,0,62731,0,0,0,0,0,0
"Alterac Valley",91,25,0,0,6,0,0,0,0,0,0,0,0,0
"Warsong Gulch",92,10,0,0,6,0,0,0,0,0,0,0,0,0
"Arathi Basin",93,14,0,0,6,0,0,0,0,0,0,0,0,0
"Eversong Woods",94,13,6,0,3,0,0,145692,0,0,0,77,0,0
Ghostlands,95,13,6,0,3,0,0,145692,0,0,0,8,0,0
"Amani Catacombs",96,95,0,0,5,0,0,0,0,0,0,0,0,0
"Azuremyst Isle",97,12,6,0,3,0,0,0,0,0,0,76,0,0
"Tides' Hollow",98,97,0,0,5,0,0,0,0,0,0,0,0,0
"Stillpine Hold",99,97,0,0,5,0,0,0,0,0,0,0,0,0
"Hellfire Peninsula",100,101,6,0,3,0,0,0,0,0,0,37,0,0
Outland,101,946,0,0,2,0,0,0,0,0,0,777,0,0
Zangarmarsh,102,101,6,0,3,0,0,0,0,0,0,38,0,0
"The Exodar",103,12,6,0,3,0,0,0,0,0,0,0,0,0
"Shadowmoon Valley",104,101,6,0,3,0,0,0,0,0,0,43,0,0
"Blade's Edge Mountains",105,101,6,0,3,0,0,0,0,0,0,41,0,0
"Bloodmyst Isle",106,12,6,0,3,0,0,0,0,0,0,4,0,0
Nagrand,107,101,6,0,3,0,0,0,0,0,0,40,0,0
"Terokkar Forest",108,101,6,0,3,0,0,0,0,0,0,39,0,0
Netherstorm,109,101,6,0,3,0,0,0,0,0,0,42,0,0
"Silvermoon City",110,13,6,0,3,0,0,145692,0,0,0,0,0,0
"Shattrath City",111,101,6,0,3,0,0,0,0,0,0,0,0,0
"Eye of the Storm",112,109,0,0,6,0,0,0,0,0,0,0,0,0
Northrend,113,947,0,0,2,0,0,0,0,0,0,826,0,0
"Borean Tundra",114,113,6,0,3,0,0,0,0,0,0,44,0,0
Dragonblight,115,113,6,0,3,0,0,0,0,0,0,46,0,0
"Grizzly Hills",116,113,6,0,3,0,0,0,0,0,0,47,0,0
"Howling Fjord",117,113,6,0,3,0,0,0,0,0,0,45,0,0
Icecrown,118,113,6,0,3,0,0,0,0,0,0,51,0,0
"Sholazar Basin",119,113,6,0,3,0,0,0,0,0,0,49,0,0
"The Storm Peaks",120,113,6,0,3,0,0,0,0,0,0,50,0,0
Zul'Drak,121,113,6,0,3,0,0,0,0,0,0,48,0,0
"Isle of Quel'Danas",122,13,6,0,3,0,0,145692,0,0,0,161,0,0
Wintergrasp,123,113,6,0,3,0,0,0,0,0,0,1200,0,0
"Plaguelands: The Scarlet Enclave",124,23,0,0,6,0,0,0,0,0,0,0,0,0
Dalaran,125,127,0,0,4,0,0,0,0,0,0,0,0,0
Dalaran,126,127,0,0,4,0,0,0,0,0,0,0,0,0
"Crystalsong Forest",127,113,6,0,3,0,0,0,0,0,0,163,0,0
"Strand of the Ancients",128,115,0,0,6,0,0,0,0,0,0,0,0,0
"The Nexus",129,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Culling of Stratholme",130,71,0,0,4,0,0,0,0,0,0,0,0,0
"The Culling of Stratholme",131,130,0,0,4,0,0,0,0,0,0,0,0,0
"Ahn'kahet: The Old Kingdom",132,115,0,0,4,0,0,0,0,0,0,0,0,0
"Utgarde Keep",133,117,0,0,4,0,0,0,0,0,0,0,0,0
"Utgarde Keep",134,117,0,0,4,0,0,0,0,0,0,0,0,0
"Utgarde Keep",135,117,0,0,4,0,0,0,0,0,0,0,0,0
"Utgarde Pinnacle",136,117,0,0,4,0,0,0,0,0,0,0,0,0
"Utgarde Pinnacle",137,117,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Lightning",138,120,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Lightning",139,120,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Stone",140,120,0,0,4,0,0,0,0,0,0,0,0,0
"The Eye of Eternity",141,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Oculus",142,114,0,0,6,0,0,0,0,0,0,0,0,0
"The Oculus",143,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Oculus",144,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Oculus",145,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Oculus",146,114,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,147,120,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,148,147,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,149,147,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,150,147,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,151,147,0,0,4,0,0,0,0,0,0,0,0,0
Ulduar,152,147,0,0,4,0,0,0,0,0,0,0,0,0
Gundrak,153,121,0,0,6,0,0,0,0,0,0,0,0,0
Gundrak,154,121,0,0,4,0,0,0,0,0,0,0,0,0
"The Obsidian Sanctum",155,115,0,0,6,0,0,0,0,0,0,0,0,0
"Vault of Archavon",156,123,0,0,4,0,0,0,0,0,0,0,0,0
Azjol-Nerub,157,115,0,0,4,0,0,0,0,0,0,0,0,0
Azjol-Nerub,158,115,0,0,4,0,0,0,0,0,0,0,0,0
Azjol-Nerub,159,115,0,0,4,0,0,0,0,0,0,0,0,0
"Drak'Tharon Keep",160,121,0,0,4,0,0,0,0,0,0,0,0,0
"Drak'Tharon Keep",161,121,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,162,115,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,163,115,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,164,115,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,165,115,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,166,115,0,0,4,0,0,0,0,0,0,0,0,0
Naxxramas,167,115,0,0,4,0,0,0,0,0,0,0,0,0
"The Violet Hold",168,125,0,0,4,0,0,0,0,0,0,0,0,0
"Isle of Conquest",169,118,0,0,6,0,0,0,0,0,0,0,0,0
"Hrothgar's Landing",170,113,6,0,3,0,0,0,0,0,0,988,0,0
"Trial of the Champion",171,118,0,0,4,0,0,0,0,0,0,0,0,0
"Trial of the Crusader",172,118,0,0,4,0,0,0,0,0,0,0,0,0
"Trial of the Crusader",173,118,0,0,4,0,0,0,0,0,0,0,0,0
"The Lost Isles",174,948,6,0,3,0,0,0,0,0,0,159,0,0
"Kaja'mite Cavern",175,174,0,0,5,0,0,0,0,0,0,0,0,0
"Volcanoth's Lair",176,174,0,0,5,0,0,0,0,0,0,0,0,0
"Gallywix Labor Mine",177,174,0,0,5,0,0,0,0,0,0,0,0,0
"Gallywix Labor Mine",178,174,0,0,5,0,0,0,0,0,0,0,0,0
Gilneas,179,13,6,0,6,0,0,0,0,0,0,78,0,0
"Emberstone Mine",180,179,0,0,5,0,0,0,0,0,0,0,0,0
"Greymane Manor",181,179,0,0,5,0,0,0,0,0,0,0,0,0
"Greymane Manor",182,179,0,0,5,0,0,0,0,0,0,0,0,0
"The Forge of Souls",183,118,0,0,4,0,0,0,0,0,0,0,0,0
"Pit of Saron",184,118,0,0,6,0,0,0,0,0,0,0,0,0
"Halls of Reflection",185,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",186,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",187,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",188,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",189,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",190,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",191,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",192,118,0,0,4,0,0,0,0,0,0,0,0,0
"Icecrown Citadel",193,118,0,0,4,0,0,0,0,0,0,0,0,0
Kezan,194,948,6,0,3,0,0,0,0,0,0,79,0,0
Kaja'mine,195,194,0,0,5,0,0,0,0,0,0,0,0,0
Kaja'mine,196,194,0,0,5,0,0,0,0,0,0,0,0,0
Kaja'mine,197,194,0,0,5,0,0,0,0,0,0,0,0,0
"Mount Hyjal",198,12,6,0,3,0,0,0,0,0,0,52,0,0
"Southern Barrens",199,12,6,0,3,0,0,0,0,0,0,16,0,0
"The Ruby Sanctum",200,115,0,0,6,0,0,0,0,0,0,0,0,0
"Kelp'thar Forest",201,203,6,0,3,0,0,0,0,0,0,0,0,0
"Gilneas City",202,179,6,0,3,0,0,0,0,0,0,0,0,0
Vashj'ir,203,13,6,0,3,0,0,0,0,0,0,53,0,0
"Abyssal Depths",204,203,6,0,3,0,0,0,0,0,0,0,0,0
"Shimmering Expanse",205,203,6,0,3,0,0,0,0,0,0,0,0,0
"Twin Peaks",206,241,0,0,6,0,0,0,0,0,0,0,0,0
Deepholm,207,948,6,0,3,0,0,0,0,0,0,54,0,0
"Twilight Depths",208,207,0,0,5,0,0,0,0,0,0,0,0,0
"Twilight Depths",209,207,0,0,5,0,0,0,0,0,0,0,0,0
"The Cape of Stranglethorn",210,224,6,0,3,0,0,0,0,0,0,24,0,0
"Ragefire Chasm",213,85,0,0,4,0,0,0,0,0,0,0,0,0
"Ruins of Gilneas",217,13,6,0,3,0,0,0,0,0,0,78,0,0
"Ruins of Gilneas City",218,217,1,0,6,0,0,0,0,0,0,0,0,0
Zul'Farrak,219,71,0,0,6,0,0,0,0,0,0,0,0,0
"The Temple of Atal'Hakkar",220,51,0,0,4,0,0,0,0,0,0,0,0,0
"Blackfathom Deeps",221,63,0,0,4,0,0,0,0,0,0,0,0,0
"Blackfathom Deeps",222,63,0,0,4,0,0,0,0,0,0,0,0,0
"Blackfathom Deeps",223,63,0,0,4,0,0,0,0,0,0,0,0,0
"Stranglethorn Vale",224,13,6,0,3,0,0,0,0,0,0,18,0,0
"The Stockade",225,84,0,0,4,0,0,0,0,0,0,0,0,0
Gnomeregan,226,27,0,0,4,0,0,0,0,0,0,0,0,0
Gnomeregan,227,27,0,0,4,0,0,0,0,0,0,0,0,0
Gnomeregan,228,27,0,0,4,0,0,0,0,0,0,0,0,0
Gnomeregan,229,27,0,0,4,0,0,0,0,0,0,0,0,0
Uldaman,230,15,0,0,4,0,0,0,0,0,0,0,0,0
Uldaman,231,15,0,0,4,0,0,0,0,0,0,0,0,0
"Molten Core",232,36,0,0,4,0,0,0,0,0,0,0,0,0
Zul'Gurub,233,50,0,0,6,0,0,0,0,0,0,0,0,0
"Dire Maul",234,69,0,0,6,0,0,0,0,0,0,0,0,0
"Dire Maul",235,69,0,0,4,0,0,0,0,0,0,0,0,0
"Dire Maul",236,69,0,0,4,0,0,0,0,0,0,0,0,0
"Dire Maul",237,69,0,0,4,0,0,0,0,0,0,0,0,0
"Dire Maul",238,69,0,0,4,0,0,0,0,0,0,0,0,0
"Dire Maul",239,69,0,0,4,0,0,0,0,0,0,0,0,0
"Dire Maul",240,69,0,0,4,0,0,0,0,0,0,0,0,0
"Twilight Highlands",241,13,6,0,3,0,0,0,0,0,0,56,0,0
"Blackrock Depths",242,32,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Depths",243,32,0,0,4,0,0,0,0,0,0,0,0,0
"Tol Barad",244,13,0,0,3,0,0,0,0,0,0,656,0,0
"Tol Barad Peninsula",245,13,0,0,3,0,0,0,0,0,0,656,0,0
"The Shattered Halls",246,100,0,0,4,0,0,0,0,0,0,0,0,0
"Ruins of Ahn'Qiraj",247,81,0,0,6,0,0,0,0,0,0,0,0,0
"Onyxia's Lair",248,70,0,0,4,0,0,0,0,0,0,0,0,0
Uldum,249,12,6,0,3,0,0,75733,2,0,1,55,0,0
"Blackrock Spire",250,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Spire",251,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Spire",252,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Spire",253,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Spire",254,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Spire",255,36,0,0,4,0,0,0,0,0,0,0,0,0
"Auchenai Crypts",256,108,0,0,4,0,0,0,0,0,0,0,0,0
"Auchenai Crypts",257,108,0,0,4,0,0,0,0,0,0,0,0,0
"Sethekk Halls",258,108,0,0,4,0,0,0,0,0,0,0,0,0
"Sethekk Halls",259,108,0,0,4,0,0,0,0,0,0,0,0,0
"Shadow Labyrinth",260,108,0,0,4,0,0,0,0,0,0,0,0,0
"The Blood Furnace",261,100,0,0,4,0,0,0,0,0,0,0,0,0
"The Underbog",262,102,0,0,4,0,0,0,0,0,0,0,0,0
"The Steamvault",263,102,0,0,4,0,0,0,0,0,0,0,0,0
"The Steamvault",264,102,0,0,4,0,0,0,0,0,0,0,0,0
"The Slave Pens",265,102,0,0,4,0,0,0,0,0,0,0,0,0
"The Botanica",266,109,0,0,4,0,0,0,0,0,0,0,0,0
"The Mechanar",267,109,0,0,4,0,0,0,0,0,0,0,0,0
"The Mechanar",268,109,0,0,4,0,0,0,0,0,0,0,0,0
"The Arcatraz",269,109,0,0,4,0,0,0,0,0,0,0,0,0
"The Arcatraz",270,109,0,0,4,0,0,0,0,0,0,0,0,0
"The Arcatraz",271,109,0,0,4,0,0,0,0,0,0,0,0,0
Mana-Tombs,272,108,0,0,4,0,0,0,0,0,0,0,0,0
"The Black Morass",273,75,0,0,6,0,0,0,0,0,0,0,0,0
"Old Hillsbrad Foothills",274,75,0,0,6,0,0,0,0,0,0,0,0,0
"The Battle for Gilneas",275,179,0,0,6,0,0,0,0,0,0,0,0,0
"The Maelstrom",276,948,6,0,3,0,0,0,0,0,0,0,0,0
"Lost City of the Tol'vir",277,249,0,0,6,0,0,0,0,0,0,0,0,0
"Wailing Caverns",279,10,0,0,4,0,0,0,0,0,0,0,0,0
Maraudon,280,66,0,0,4,0,0,0,0,0,0,0,0,0
Maraudon,281,66,0,0,4,0,0,0,0,0,0,0,0,0
"Baradin Hold",282,244,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Caverns",283,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackrock Caverns",284,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Descent",285,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Descent",286,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Lair",287,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Lair",288,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Lair",289,36,0,0,4,0,0,0,0,0,0,0,0,0
"Blackwing Lair",290,36,0,0,4,0,0,0,0,0,0,0,0,0
"The Deadmines",291,52,0,0,4,0,0,0,0,0,0,0,0,0
"The Deadmines",292,52,0,0,4,0,0,0,0,0,0,0,0,0
"Grim Batol",293,241,0,0,4,0,0,0,0,0,0,0,0,0
"The Bastion of Twilight",294,241,0,0,4,0,0,0,0,0,0,0,0,0
"The Bastion of Twilight",295,241,0,0,4,0,0,0,0,0,0,0,0,0
"The Bastion of Twilight",296,241,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Origination",297,249,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Origination",298,249,0,0,4,0,0,0,0,0,0,0,0,0
"Halls of Origination",299,249,0,0,4,0,0,0,0,0,0,0,0,0
"Razorfen Downs",300,64,0,0,4,0,0,0,0,0,0,0,0,0
"Razorfen Kraul",301,199,0,0,4,0,0,0,0,0,0,0,0,0
"Scarlet Monastery",302,18,0,0,4,0,0,0,0,0,0,0,0,0
"Scarlet Monastery",303,18,0,0,4,0,0,0,0,0,0,0,0,0
"Scarlet Monastery",304,18,0,0,4,0,0,0,0,0,0,0,0,0
"Scarlet Monastery",305,18,0,0,4,0,0,0,0,0,0,0,0,0
"Legacy of Scholomance",306,22,0,0,4,0,0,0,0,0,0,0,0,0
"Legacy of Scholomance",307,22,0,0,4,0,0,0,0,0,0,0,0,0
"Legacy of Scholomance",308,22,0,0,4,0,0,0,0,0,0,0,0,0
"Legacy of Scholomance",309,22,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",310,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",311,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",312,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",313,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",314,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",315,21,0,0,4,0,0,0,0,0,0,0,0,0
"Shadowfang Keep",316,21,0,0,4,0,0,0,0,0,0,0,0,0
Stratholme,317,23,0,0,4,0,0,0,0,0,0,0,0,0
Stratholme,318,23,0,0,4,0,0,0,0,0,0,0,0,0
Ahn'Qiraj,319,81,0,0,4,0,0,0,0,0,0,0,0,0
Ahn'Qiraj,320,81,0,0,4,0,0,0,0,0,0,0,0,0
Ahn'Qiraj,321,81,0,0,4,0,0,0,0,0,0,0,0,0
"Throne of the Tides",322,204,0,0,4,0,0,0,0,0,0,0,0,0
"Throne of the Tides",323,204,0,0,4,0,0,0,0,0,0,0,0,0
"The Stonecore",324,207,0,0,4,0,0,0,0,0,0,0,0,0
"The Vortex Pinnacle",325,249,0,0,4,0,0,0,0,0,0,0,0,0
"Ahn'Qiraj: The Fallen Kingdom",327,12,2,0,6,0,0,0,0,0,0,0,0,0
"Throne of the Four Winds",328,249,0,0,4,0,0,0,0,0,0,0,0,0
"Hyjal Summit",329,75,0,0,6,0,0,0,0,0,0,0,0,0
"Gruul's Lair",330,105,0,0,4,0,0,0,0,0,0,0,0,0
"Magtheridon's Lair",331,100,0,0,4,0,0,0,0,0,0,0,0,0
"Serpentshrine Cavern",332,102,0,0,4,0,0,0,0,0,0,0,0,0
Zul'Aman,333,95,0,0,6,0,0,0,0,0,0,0,0,0
"Tempest Keep",334,109,0,0,4,0,0,0,0,0,0,0,0,0
"Sunwell Plateau",335,122,0,0,4,0,0,0,0,0,0,0,0,0
"Sunwell Plateau",336,335,0,0,4,0,0,0,0,0,0,0,0,0
Zul'Gurub,337,50,0,0,6,0,0,0,0,0,0,0,0,0
"Molten Front",338,198,0,0,6,0,0,0,0,0,0,0,0,0
"Black Temple",339,104,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",340,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",341,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",342,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",343,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",344,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",345,339,0,0,4,0,0,0,0,0,0,0,0,0
"Black Temple",346,339,0,0,4,0,0,0,0,0,0,0,0,0
"Hellfire Ramparts",347,100,0,0,4,0,0,0,0,0,0,0,0,0
"Magisters' Terrace",348,122,0,0,4,0,0,0,0,0,0,0,0,0
"Magisters' Terrace",349,122,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,350,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,351,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,352,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,353,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,354,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,355,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,356,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,357,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,358,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,359,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,360,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,361,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,362,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,363,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,364,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,365,42,0,0,4,0,0,0,0,0,0,0,0,0
Karazhan,366,42,0,0,4,0,0,0,0,0,0,0,0,0
Firelands,367,198,0,0,4,0,0,0,0,0,0,0,0,0
Firelands,368,367,0,0,4,0,0,0,0,0,0,0,0,0
Firelands,369,367,0,0,4,0,0,0,0,0,0,0,0,0
"The Nexus",370,114,0,0,4,0,0,0,0,0,0,0,0,0
"The Jade Forest",371,424,6,0,3,0,0,0,0,0,0,57,0,0
"Greenstone Quarry",372,371,0,0,5,0,0,0,0,0,0,0,0,0
"Greenstone Quarry",373,371,0,0,5,0,0,0,0,0,0,0,0,0
"The Widow's Wail",374,371,0,0,5,0,0,0,0,0,0,0,0,0
"Oona Kagu",375,371,0,0,5,0,0,0,0,0,0,0,0,0
