ID,SpellID,GlyphType,GlyphExclusiveCategoryID,SpellIconFileDataID
924,89758,0,26,237652
926,56805,0,0,237648
927,89003,0,0,0
928,89926,0,0,237651
929,91299,0,0,237652
930,93466,0,53,237636
931,94372,0,63,237648
932,94374,0,0,237638
933,114237,0,72,237643
934,94386,0,72,237643
935,114280,1,0,237643
936,47180,0,7,237643
937,125047,1,0,237634
945,96279,0,0,237650
948,98397,0,0,237652
950,101052,0,30,237641
956,0,2,0,237635
961,107906,1,88,237645
967,111546,2,0,237637
970,112104,1,0,0
986,115738,1,0,237646
987,115931,1,0,237652
988,115933,1,0,237652
989,127755,1,19,237652
990,115943,1,0,237646
991,115946,1,0,237646
996,119477,0,0,237633
997,146951,0,16,237642
998,123401,0,0,237642
999,120477,0,0,237642
1000,120479,0,0,237642
1001,120483,0,0,237642
1002,120482,0,0,237642
1003,120585,0,0,237638
1004,120581,1,0,237633
1005,120583,0,0,237640
1006,120584,0,0,237640
1007,120581,1,0,237651
1008,122013,0,0,237633
1009,122028,0,73,237650
1010,122136,0,0,237642
1011,123023,0,0,237642
1013,123334,0,52,237642
1014,123391,0,0,237642
1015,123394,0,0,237642
1016,123399,0,0,237642
1017,123403,1,0,237640
1018,123405,1,0,237642
1019,123763,0,0,237642
1020,123779,1,0,237640
1021,125967,0,0,237642
1022,125042,1,0,237649
1023,109263,0,12,237649
1024,58136,1,0,237649
1025,146953,0,0,237642
1026,124989,0,0,237642
1028,125151,1,0,237640
1029,125154,1,0,237640
1030,124997,0,0,237642
1031,146954,0,68,237642
1032,146952,0,0,237642
1033,125660,1,0,237640
1034,146950,0,51,237642
1035,125671,0,15,237642
1036,125673,0,0,237642
1037,125676,0,0,237642
1038,125678,0,0,237642
1039,125732,1,0,237642
1040,125755,0,0,237642
1041,125872,1,0,237640
1042,125893,1,0,237640
1044,125901,1,0,237640
1045,125931,1,84,237640
1046,126133,0,59,237651
1047,126152,1,0,237651
1048,126174,1,0,237651
1049,126094,1,0,237651
1050,126179,1,0,237642
1051,126193,1,78,237642
1052,126745,1,88,237645
1053,126746,1,0,237641
1054,131113,1,10,237634
1055,132005,1,0,237642
1056,134580,1,0,237647
1057,135032,0,0,237638
1058,135557,1,0,237650
1059,62080,1,0,237633
1060,145722,1,0,237647
1061,147707,1,0,237644
1062,145529,2,0,237642
1063,146645,0,0,237650
1064,146646,0,0,237650
1065,146648,0,4,237650
1066,146650,0,0,237650
1067,146956,0,0,237650
1068,146957,0,0,237650
1069,147762,0,62,237641
1070,147781,0,0,237641
1071,146962,0,0,237638
1072,146970,0,0,237633
1073,146971,0,0,237633
1074,146652,1,40,237652
1075,146653,1,0,237652
1076,146654,1,0,237633
1077,146656,1,0,237633
1079,146976,1,41,237647
1080,146662,1,41,237647
1081,147353,1,41,237647
1082,146958,1,73,237652
1083,146959,1,0,237652
1084,145722,1,0,237645
1085,147776,1,92,237645
1086,147779,1,0,237645
1087,147072,1,0,237645
1088,146960,1,0,237646
1089,146961,1,0,237646
1090,147783,1,0,237651
1091,147784,1,0,237651
1092,147770,1,0,237651
1093,147772,1,0,237651
1094,147785,1,0,237651
1095,147788,1,0,237651
1096,147787,1,0,237651
1097,147707,1,0,237651
1098,146968,1,0,237640
1099,146969,1,0,237640
1100,146973,1,0,237640
1101,146974,1,0,237640
1102,146657,0,49,237641
1103,148473,1,0,237641
1104,148475,0,45,237641
1109,159415,0,4,0
1110,159416,0,5,0
1111,159418,0,5,0
1112,159421,0,0,0
1113,159422,0,0,0
1114,159427,0,0,0
1115,159428,0,0,0
1116,159429,0,0,0
1117,159432,0,0,0
1118,159434,0,6,0
1119,159436,0,6,0
1120,159441,0,0,0
1121,159444,0,7,0
1122,159445,0,0,0
1123,159448,0,8,0
1124,159450,0,0,0
1125,159453,0,9,0
1126,159455,0,0,0
1127,159456,1,0,0
1128,159459,1,0,0
1129,159467,0,0,0
1130,159469,0,69,0
1131,159470,0,12,0
1132,159484,0,0,0
1133,159485,0,0,0
1134,159486,0,14,0
1135,159487,0,51,0
1136,159490,0,15,0
1137,159492,0,0,0
1138,159495,0,0,0
1139,159496,0,52,0
1140,159497,0,16,0
1141,0,0,16,0
1142,159536,0,0,0
1143,159545,0,0,0
1144,159548,0,0,0
1145,159557,0,17,0
1146,159572,0,43,0
1147,159573,0,18,0
1148,159579,0,18,0
1149,159592,0,19,0
1150,159596,0,20,0
1151,159598,0,20,0
1152,159599,0,0,0
1153,159606,0,22,0
1154,159608,0,60,0
1155,159624,0,0,0
1156,159626,0,0,0
1157,159627,0,23,0
1158,159628,0,24,0
1159,159634,0,0,0
1160,159635,0,25,0
1161,159636,0,25,0
1162,159638,0,26,0
1163,159640,0,27,0
1164,159642,1,28,0
1165,159643,0,29,0
1166,159644,0,70,0
1167,159647,0,30,0
1168,159648,0,31,0
1169,159649,0,0,0
1170,159650,0,32,0
1171,159651,0,32,0
1172,159653,0,0,0
1173,159665,0,0,0
1174,159667,0,0,0
1175,159669,0,33,0
1176,159680,1,0,0
1177,159688,0,0,0
1178,159691,0,0,0
1179,159693,0,0,0
1180,159697,0,34,0
1181,159701,0,35,0
1182,159703,0,36,0
1183,159708,0,37,0
1184,159738,0,0,0
1185,159740,0,0,0
1186,159754,0,0,0
1187,159759,0,0,0
1188,159761,0,36,0
1201,161654,0,0,0
1202,162532,0,44,237638
1203,162604,0,43,237633
1204,58669,1,0,237645
1205,171752,0,67,237632
1206,171803,1,0,237651
1207,171933,0,0,237651
1208,171929,0,0,237651
1209,171926,0,68,237651
1210,171924,0,0,237651
1211,171921,0,0,237651
1212,173182,0,15,237642
1213,164997,1,71,237645
1214,183318,0,0,237650
1215,186198,1,0,237651
1220,210333,1,0,237641
1221,233059,1,0,237651
1222,127756,1,19,237652
1223,211829,1,0,237640
1224,211899,1,0,237645
1225,211910,1,0,237645
1226,212312,1,75,237642
1227,212316,1,75,237642
1228,212318,1,75,237642
1229,212321,1,75,237642
1230,212339,1,76,237642
1231,212354,1,76,237642
1232,212358,1,0,237642
1233,212366,1,76,237642
1234,212407,1,77,237642
1235,212410,1,77,237642
1236,212429,1,0,237642
1237,212439,1,78,237642
1238,212451,1,79,237642
1239,212462,1,79,237642
1240,212524,1,80,237652
1241,212526,1,80,237652
1242,212631,1,0,237648
1243,212635,1,0,237647
1244,212636,1,0,237647
1245,212642,1,0,237652
1246,218979,1,4,237652
1247,218989,1,4,237652
1248,219000,1,81,237652
1249,219007,1,81,237652
1250,219011,1,81,237652
1251,219062,1,95,237634
1252,219093,1,0,237634
1253,219183,1,77,237642
1254,219213,1,82,237647
1255,219424,1,0,237645
1256,219436,1,90,237645
1257,219445,1,0,237645
1258,219450,1,0,237645
1259,219455,1,0,237645
1260,219459,1,0,237645
1261,219467,1,83,237638
1262,219471,1,0,237640
1263,219510,1,0,237640
1264,219513,1,84,237640
1265,219557,1,0,237640
1266,219573,1,0,237640
1267,219592,1,0,237640
1268,219619,1,0,237640
1269,219630,1,0,237640
1270,219669,1,0,237633
1271,219678,1,0,237635
1272,219693,1,0,237635
1273,219713,1,85,237635
1274,219744,1,85,237635
1275,219831,1,0,237635
1276,220083,1,87,237652
1277,220228,1,87,237652
1278,220226,1,87,237652
1279,220240,1,0,237635
1280,220244,1,0,237635
1281,220257,1,0,237640
1282,220262,1,0,237640
1283,220279,1,0,237640
1284,220831,1,0,0
1285,224122,1,10,237634
1286,228378,1,0,237640
1287,231996,1,93,237640
1288,233275,1,0,237651
1289,240246,1,89,237652
1290,240251,1,89,237652
1291,240264,1,90,237645
1292,240270,1,90,237645
1295,145722,1,0,237651
1296,246975,1,91,237638
1297,246972,1,91,237638
1298,246997,1,91,237638
1299,254225,1,92,237645
1300,254229,1,92,237645
1301,254233,1,92,237645
1302,254236,1,0,237645
1303,254465,1,93,237640
1304,254467,1,93,237640
1305,254469,1,93,237640
1306,254475,1,93,237640
1307,276056,1,94,237643
1308,276084,1,94,237643
1309,276117,1,95,237634
1407,289311,1,41,237647
1408,289351,1,41,237647
1410,292848,1,0,237640
1412,304028,1,41,237647
1413,304031,1,41,237647
1414,304034,1,41,237647
1415,304039,1,77,237642
1416,309440,1,0,237647
1419,344336,1,0,237641
1420,344338,1,0,237641
1421,344342,1,0,237641
1423,361721,1,0,237641
1424,365355,1,195,237645
1425,365360,1,195,237645
1426,367387,1,0,237648
1427,367391,1,0,237648
1431,401756,1,0,237645
1432,401773,1,0,237645
1439,413413,1,0,237651
1440,416219,1,0,237636
1441,429140,1,0,237641
1443,440170,1,0,237640
1444,440250,1,0,237645
1445,440251,1,0,237645
1446,440255,1,0,237645
1447,440256,1,0,237645
1448,440286,1,0,237634
1449,440287,1,0,237634
1450,440261,1,0,237642
1451,440262,1,0,237647
1452,440264,1,0,237647
1453,440265,1,0,237640
1454,440267,1,0,237640
1455,440268,1,0,237640
1456,440257,1,0,237645
1457,440270,1,0,237640
1458,440272,1,0,237640
1459,440275,1,0,237640
1460,440276,1,0,237647
1461,440278,1,0,237636
1462,440258,1,0,237652
1463,454885,1,0,237651
1464,468603,1,0,0
1465,470971,1,0,237647
1466,471067,1,0,0
1467,471527,1,0,0
1468,1213556,1,198,237640
1469,1213569,1,198,237640
1471,1213568,1,198,237640
1472,1213567,1,198,237640
1473,1234337,1,0,237642
1012,120479,0,0,237642
1043,125872,1,0,237640
1078,146656,1,0,237633
