Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
"Auctions posted","Auctions posted",,329,-1,-1,0,140,0,0,1,6,136243,0,15895,0,0,0,0
"Auction purchases","Auction purchases",,330,-1,-1,0,140,0,0,1,7,136243,0,2083,0,0,0,0
"Most expensive bid on auction","Most expensive bid on auction",,331,-1,-1,0,140,0,0,1,8,136243,0,264,0,0,0,0
"Most expensive auction sold","Most expensive auction sold",,332,-1,-1,0,140,0,0,1,9,136243,0,2750,0,0,0,0
"Gold looted","Gold looted",,333,-1,-1,0,140,0,0,1,3,136243,0,2753,0,0,0,0
"Most gold ever owned","Most gold ever owned",,334,-1,-1,0,140,0,0,1,14,136243,0,2,0,0,0,0
"Vanity pets owned","Vanity pets owned",,338,-1,-1,0,15219,0,0,1,1,136243,0,5294,0,0,0,0
"Bandages used","Bandages used",,344,-1,-1,0,145,0,0,1,1,136243,0,1930,0,0,0,0
"Health potions consumed","Health potions consumed",,345,-1,-1,0,145,0,0,9,4,136243,0,5882,0,0,0,0
"Beverages consumed","Beverages consumed",,346,-1,-1,0,145,0,0,1,16,136243,0,5924,0,0,0,0
"Food eaten","Food eaten",,347,-1,-1,0,145,0,0,9,19,136243,0,15901,0,0,0,0
"Flight paths taken","Flight paths taken",,349,-1,-1,0,134,0,0,1,1,136243,0,2442,0,0,0,0
"Mage Portals taken","Mage Portals taken",,350,-1,-1,0,134,0,0,1,3,136243,0,921,0,0,0,0
"Number of times hearthed","Number of times hearthed",,353,-1,-1,0,134,0,0,1,5,136243,0,467,0,0,0,0
"5v5 victories","5v5 victories",,362,-1,-1,0,152,0,0,524289,4,136243,0,532,0,0,0,0
"5v5 matches","5v5 matches",,363,-1,-1,0,152,0,0,524289,3,136243,0,6137,0,0,0,0
"3v3 victories","3v3 victories",,364,-1,-1,0,152,0,0,1,6,136243,0,2445,0,0,0,0
"3v3 matches","3v3 matches",,365,-1,-1,0,152,0,0,1,5,136243,0,6144,0,0,0,0
"2v2 victories","2v2 victories",,366,-1,-1,0,152,0,0,1,8,136243,0,6151,0,0,0,0
"2v2 matches","2v2 matches",,367,-1,-1,0,152,0,0,1,7,136243,0,539,0,0,0,0
,"Highest 2v2 personal rating",,370,-1,-1,0,152,0,0,1,43,136243,0,10139,0,0,0,0
,"Highest 2v2 team rating",,374,-1,-1,0,152,0,0,524289,46,136243,0,4040,0,0,0,0
"World Honorable Kills","World Honorable Kills",,381,-1,-1,0,136,0,0,1,2,136243,0,6158,0,0,0,0
"Battleground Honorable Kills","Battleground Honorable Kills",,382,-1,-1,0,136,0,0,1,4,136243,0,973,0,0,0,0
"Arena Honorable Kills","Arena Honorable Kills",,383,-1,-1,0,136,0,0,1,3,136243,0,983,0,0,0,0
"Kill 50 enemy players in any of your home cities.","City Defender",,388,-1,1,0,95,0,10,128,19,236593,0,4372,0,0,0,0
"Loot the Arena Master trinket from the Gurubashi Arena.","Gurubashi Arena Master",,389,-1,-1,0,95,1,10,0,17,133608,0,8047,0,0,0,0
"Alterac Valley towers captured","Alterac Valley towers captured",,394,-1,-1,0,153,0,0,1,29,136243,0,9924,0,0,0,0
"Warsong Gulch flags captured","Warsong Gulch flags captured",,395,-1,-1,0,153,0,0,1,33,136243,0,4043,0,0,0,0
"Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.","Gurubashi Arena Grand Master",,396,-1,-1,0,95,1,10,0,18,133599,0,7014,0,0,0,0
"Win a ranked arena match.","Step Into The Arena",,397,-1,-1,0,165,0,10,0,1,236543,0,2671,0,0,0,0
"Win 100 ranked arena matches.","Mercilessly Dedicated",,398,-1,-1,397,165,0,10,0,2,236534,0,2674,0,0,0,0
"Earn a 1550 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1550",,399,-1,-1,0,165,0,10,0,6,236323,0,3229,0,0,0,0
"Earn a 1750 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1750",,400,-1,-1,399,165,0,10,0,7,236326,0,3251,0,0,0,0
"Earn a 2000 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 2000",,401,-1,-1,400,165,0,10,0,8,236327,0,3744,0,0,0,0
"Earn a 1550 personal rating in the 3v3 bracket of the arena.","Three's Company: 1550",,402,-1,-1,0,165,0,10,0,10,236330,0,2080,0,0,0,0
"Earn a 1750 personal rating in the 3v3 bracket of the arena.","Three's Company: 1750",,403,-1,-1,402,165,0,10,0,11,236333,0,5747,0,0,0,0
"Earn a 2000 personal rating in the 5v5 bracket of the arena.","High Five: 2000",,404,-1,-1,407,15270,0,0,2048,115,236341,0,3349,0,0,0,0
"Earn a 2000 personal rating in the 3v3 bracket of the arena.","Three's Company: 2000",,405,-1,-1,403,165,0,10,0,12,236334,0,7093,0,0,0,0
"Earn a 1550 personal rating in the 5v5 bracket of the arena.","High Five: 1550",,406,-1,-1,0,15270,0,0,2048,113,236337,0,5297,0,0,0,0
"Earn a 1750 personal rating in the 5v5 bracket of the arena.","High Five: 1750",,407,-1,-1,406,15270,0,0,2048,114,236340,0,2464,0,0,0,0
"Win ten ranked matches in a row.","Hot Streak",,408,-1,-1,0,165,0,10,0,16,135805,0,10115,0,0,0,0
"Be the sole survivor at the end of a ranked 5v5 match.","Last Man Standing",,409,-1,-1,0,15270,0,0,2048,117,135981,0,2071,0,0,0,0
"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",Murky,,411,-1,-1,0,15268,1,0,133120,1,132834,0,4398,0,0,0,0
"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.","Murloc Costume",,412,-1,-1,0,15268,1,0,2048,2,134169,0,4046,0,0,0,0
"Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.","Tyrael's Hilt",,414,-1,-1,0,15268,1,0,133120,3,135277,0,1119,0,0,0,0
"Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.","Big Blizzard Bear",,415,-1,-1,0,15268,1,0,133120,4,298586,0,1043,0,0,0,0
"Opened the gates of Ahn'Qiraj.","Scarab Lord",,416,-1,-1,0,15269,0,0,264192,58,236829,0,1735,0,0,0,0
"Achieved Merciless Gladiator title.","Merciless Gladiator",,418,-1,-1,0,15270,0,0,2048,118,236534,0,2936,0,0,0,0
"Achieved Vengeful Gladiator title.","Vengeful Gladiator",,419,-1,-1,0,15270,0,0,2048,119,236535,0,189,0,0,0,0
"Achieved Brutal Gladiator title.","Brutal Gladiator",,420,-1,-1,0,15270,0,0,2048,120,236536,0,4217,0,0,0,0
"Obtain a Red Qiraji Resonating Crystal.","Why? Because It's Red",,424,-1,-1,0,15269,1,0,133120,55,134396,0,3753,0,0,0,0
