ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
316876,0,16,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.10000000149,0,1,447.80474853516,0,0,0,0,13,0,0,0,0,87,16,212262
316916,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42456,0,0,0,0,0,0,0,25,0,213604
317022,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213660
317024,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213661
317025,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213662
317050,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42480,0,0,0,0,0,0,0,25,0,213671
317075,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42482,0,0,0,0,0,0,0,25,0,213684
317128,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213717
317129,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213718
317130,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213719
317131,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,18,8,213720
317304,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,213820
317318,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42507,0,0,0,0,0,0,0,25,0,213827
317473,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42513,0,0,0,0,0,0,0,1,0,213906
317636,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42527,0,0,0,0,0,0,0,1,0,214008
317637,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42528,0,0,0,0,0,0,0,1,0,214009
317638,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42529,0,0,0,0,0,0,0,1,0,214010
317639,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42530,0,0,0,0,0,0,0,1,0,214011
317640,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42531,0,0,0,0,0,0,0,1,0,214012
317641,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42532,0,0,0,0,0,0,0,1,0,214013
317875,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,107816,0,0,0,0,0,0,0,1,0,214084
317990,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42569,0,0,27,0,0,0,0,22,7,214149
317991,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42570,0,0,27,0,0,0,0,22,7,214150
317992,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42571,0,0,27,0,0,0,0,22,7,214151
317993,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42572,0,0,27,0,0,0,0,22,7,214152
317994,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42573,0,0,27,0,0,0,0,22,7,214153
317995,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42574,0,0,27,0,0,0,0,22,7,214154
317996,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42575,0,0,27,0,0,0,0,22,7,214155
317997,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42576,0,0,27,0,0,0,0,22,7,214156
317998,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42577,0,0,27,0,0,0,0,22,7,214157
318000,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42579,0,0,27,0,0,0,0,22,7,214159
318001,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42580,0,0,27,0,0,0,0,22,7,214160
318002,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42581,0,0,27,0,0,0,0,22,7,214161
318139,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,214255,0,0,0,0,12,0,0,0,0,22,15,214254
318248,0,0,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42595,0,0,0,0,0,0,0,25,0,214319
318259,0,0,0,150,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42516,0,0,0,0,0,0,0,1,0,214327
318383,0,0,5,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40701,0,0,0,0,0,0,0,1,0,199649
318393,0,0,1,114,0,0,0,1,1,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,214413
318394,11,0,2,6,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,1,200,0,0,0,0,0,0,0,0,0,6,0,214413
318632,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,214543,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,53,86,214540
319030,0,0,0,267,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2416,0,0,0,0,0,0,0,1,0,214785
319166,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05000000075,0,1,16,0,0,0,0,0,0,0,0,0,1,1,214893
319194,79,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,16,0,0,0,0,0,0,0,1,0,214919
319273,218,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-30,0,5,16,0,0,0,0,0,0,25,0,214975
319595,0,0,0,149,0,0,0,0,1,0,0,0,0,0,0,215088,0,1,0,0,0,1,0,0,0,0,16,0,0,0,0,0,75,138,215082
319607,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,16,0,0,0,0,38,0,215088
319814,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,46,91,215219
320171,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42715,0,0,0,0,0,0,0,25,0,215436
320172,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42716,0,0,0,0,0,0,0,25,0,215437
320173,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42717,0,0,0,0,0,0,0,25,0,215438
320174,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42718,0,0,0,0,0,0,0,25,0,215439
320368,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,946,0,0,0,0,0,0,0,0,0,215490
320409,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42727,0,0,0,0,0,0,0,1,0,215095
320477,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,215536
320481,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,42727,0,0,0,0,0,0,0,1,0,215539
320587,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42741,0,0,0,0,0,0,0,1,0,215608
320601,0,0,0,267,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2516,0,0,0,0,0,0,0,18,0,215617
320698,0,0,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,300,0,0,0,0,0,0,0,1,0,215673
320771,0,0,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,293,0,0,0,0,0,0,0,1,0,215718
320862,218,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,16,0,0,0,0,0,0,1,0,215769
320897,0,0,0,252,0,0,0,0,1,0,0,0,0,5.47946119308,0,0,0,1,0,0,0,1,0,0,1316,0,0,0,0,0,0,0,1,17,215789
321101,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8.39633846283,0,0,0,0,16,0,0,0,0,87,8,215905
321281,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39174,0,0,0,0,0,0,0,1,0,216016
321303,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.00999999978,0,1,125.94508361816,0,0,0,0,32,0,0,0,0,18,16,216034
321320,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,216045
321321,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,216046
321414,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,216100,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,53,91,216098
321580,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.10000000149,0,1,783.65826416016,0,0,0,0,0,0,0,0,0,21,0,216197
321901,395,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6116,0,0,0,0,0,0,0,6,0,216344
321903,395,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6116,0,0,0,0,0,0,0,6,0,216345
321971,0,0,0,267,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2616,0,0,0,0,0,0,0,18,0,216388
322174,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,216516,0,0,0,0,88,0,0,0,0,22,7,216512
322232,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,116,0,0,0,0,0,0,0,1,0,216541
322233,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,115,0,0,0,0,0,0,0,1,0,216542
322234,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,108,0,0,0,0,0,0,0,1,0,216543
322235,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,107,0,0,0,0,0,0,0,1,0,216544
322236,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,120,0,0,0,0,0,0,0,1,0,216545
322237,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,119,0,0,0,0,0,0,0,1,0,216546
322238,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,104,0,0,0,0,0,0,0,1,0,216547
322239,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,103,0,0,0,0,0,0,0,1,0,216548
322240,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,102,0,0,0,0,0,0,0,1,0,216549
322241,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,101,0,0,0,0,0,0,0,1,0,216550
322242,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,106,0,0,0,0,0,0,0,1,0,216551
322243,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,105,0,0,0,0,0,0,0,1,0,216552
322244,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,112,0,0,0,0,0,0,0,1,0,216553
322245,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,111,0,0,0,0,0,0,0,1,0,216554
322246,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,114,0,0,0,0,0,0,0,1,0,216555
322247,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,113,0,0,0,0,0,0,0,1,0,216556
322248,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,122,0,0,0,0,0,0,0,1,0,216557
322249,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,121,0,0,0,0,0,0,0,1,0,216558
322250,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,118,0,0,0,0,0,0,0,1,0,216559
322251,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,117,0,0,0,0,0,0,0,1,0,216560
322252,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,110,0,0,0,0,0,0,0,1,0,216561
322253,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,109,0,0,0,0,0,0,0,1,0,216562
322256,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,58,0,0,0,0,0,0,0,1,0,216565
322257,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57,0,0,0,0,0,0,0,1,0,216566
322258,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,61,0,0,0,0,0,0,0,1,0,216567
322259,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,62,0,0,0,0,0,0,0,1,0,216568
322260,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,67,0,0,0,0,0,0,0,1,0,216569
322261,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,68,0,0,0,0,0,0,0,1,0,216570
322262,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,74,0,0,0,0,0,0,0,1,0,216571
322263,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,73,0,0,0,0,0,0,0,1,0,216572
322264,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,65,0,0,0,0,0,0,0,1,0,216573
322265,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,66,0,0,0,0,0,0,0,1,0,216574
322266,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,64,0,0,0,0,0,0,0,1,0,216575
322267,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63,0,0,0,0,0,0,0,1,0,216576
322268,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,71,0,0,0,0,0,0,0,1,0,216577
322269,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,72,0,0,0,0,0,0,0,1,0,216578
322270,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60,0,0,0,0,0,0,0,1,0,216579
322271,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,59,0,0,0,0,0,0,0,1,0,216580
322272,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,75,0,0,0,0,0,0,0,1,0,216581
322273,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,76,0,0,0,0,0,0,0,1,0,216582
322274,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,70,0,0,0,0,0,0,0,1,0,216583
322275,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,69,0,0,0,0,0,0,0,1,0,216584
322276,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,78,0,0,0,0,0,0,0,1,0,216585
322277,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,77,0,0,0,0,0,0,0,1,0,216586
322278,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,123,0,0,0,0,0,0,0,1,0,216587
322279,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,124,0,0,0,0,0,0,0,1,0,216588
322280,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,125,0,0,0,0,0,0,0,1,0,216589
322281,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,126,0,0,0,0,0,0,0,1,0,216590
322282,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,127,0,0,0,0,0,0,0,1,0,216591
322283,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,128,0,0,0,0,0,0,0,1,0,216592
322284,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,129,0,0,0,0,0,0,0,1,0,216593
322285,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,130,0,0,0,0,0,0,0,1,0,216594
322286,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,132,0,0,0,0,0,0,0,1,0,216595
322287,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,131,0,0,0,0,0,0,0,1,0,216596
322288,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,133,0,0,0,0,0,0,0,1,0,216597
322289,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,134,0,0,0,0,0,0,0,1,0,216598
322290,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,136,0,0,0,0,0,0,0,1,0,216599
322291,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,135,0,0,0,0,0,0,0,1,0,216600
322292,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,138,0,0,0,0,0,0,0,1,0,216601
322293,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,137,0,0,0,0,0,0,0,1,0,216602
322294,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,140,0,0,0,0,0,0,0,1,0,216603
322295,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,139,0,0,0,0,0,0,0,1,0,216604
322296,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,142,0,0,0,0,0,0,0,1,0,216605
322297,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,141,0,0,0,0,0,0,0,1,0,216606
322298,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,143,0,0,0,0,0,0,0,1,0,216607
322299,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,144,0,0,0,0,0,0,0,1,0,216608
322301,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,36,0,0,0,0,0,0,0,1,0,216610
322302,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,0,0,0,0,0,0,0,1,0,216611
322303,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,0,0,0,0,0,0,0,1,0,216612
322304,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,0,0,0,0,0,0,0,1,0,216613
322305,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46,0,0,0,0,0,0,0,1,0,216614
322306,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,45,0,0,0,0,0,0,0,1,0,216615
322307,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55,0,0,0,0,0,0,0,1,0,216616
322308,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,56,0,0,0,0,0,0,0,1,0,216617
322309,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,43,0,0,0,0,0,0,0,1,0,216618
322310,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,44,0,0,0,0,0,0,0,1,0,216619
322311,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,0,0,0,0,0,0,0,1,0,216620
322312,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42,0,0,0,0,0,0,0,1,0,216621
322313,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,49,0,0,0,0,0,0,0,1,0,216622
322314,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50,0,0,0,0,0,0,0,1,0,216623
322315,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37,0,0,0,0,0,0,0,1,0,216624
322316,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,0,0,0,0,0,0,0,1,0,216625
322317,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52,0,0,0,0,0,0,0,1,0,216626
322318,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,51,0,0,0,0,0,0,0,1,0,216627
