Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Deaths in Alterac Valley","Deaths in Alterac Valley",,57,30,-1,0,124,0,0,1,1,136243,123275,0
"Deaths from Drek'Thar","Deaths from Drek'Thar",,58,30,1,0,124,0,0,1,6,136243,124250,0
"Deaths in Arathi Basin","Deaths in Arathi Basin",,59,529,-1,0,124,0,0,1,2,136243,124851,0
"Total deaths","Total deaths",,60,-1,-1,0,122,0,0,1,1,136243,124407,0
"Assault 3 bases in a single Arathi Basin battle.","Disgracin' The Basin",,73,529,-1,0,14802,0,10,0,5,132333,127829,0
"Quests abandoned","Quests abandoned",,94,-1,-1,0,133,0,0,1,5,136243,123283,0
"Average quests completed per day","Average quests completed per day",,95,-1,-1,0,133,0,0,73,2,136243,126005,98
"Daily quests completed","Daily quests completed",,97,-1,-1,0,133,0,0,1,3,136243,127771,0
"Quests completed","Quests completed",,98,-1,-1,0,133,0,0,9,1,136243,122183,0
"Ruins of Lordaeron matches","Ruins of Lordaeron matches",,99,-1,-1,0,152,0,0,1,17,136243,129940,0
"Ring of Trials victories","Ring of Trials victories",,100,-1,-1,0,152,0,0,1,14,136243,123056,0
"Ring of Trials matches","Ring of Trials matches",,101,-1,-1,0,152,0,0,1,13,136243,122986,0
"Ruins of Lordaeron victories","Ruins of Lordaeron victories",,102,-1,-1,0,152,0,0,1,18,136243,127443,0
"Circle of Blood matches","Circle of Blood matches",,103,-1,-1,0,152,0,0,1,9,136243,123285,0
"Circle of Blood victories","Circle of Blood victories",,104,-1,-1,0,152,0,0,1,10,136243,128751,0
"Warsong Gulch victories","Warsong Gulch victories",,105,-1,-1,0,153,0,0,1,33,136243,121932,0
"Creatures killed","Creatures killed",,107,-1,-1,0,135,0,0,9,1,136243,122186,0
"Critters killed","Critters killed",,108,-1,-1,0,135,0,0,1,4,136243,123501,0
"Lich King 5-player boss killed the most","Lich King 5-player boss killed the most",,110,-1,-1,0,14807,0,0,17,21,0,128330,1467
"Deaths from drowning","Deaths from drowning",,112,-1,-1,0,126,0,0,1,1,136243,132274,0
"Deaths from fatigue","Deaths from fatigue",,113,-1,-1,0,126,0,0,1,3,136243,123503,0
"Deaths from falling","Deaths from falling",,114,-1,-1,0,126,0,0,1,4,136243,123075,0
"Deaths from fire and lava","Deaths from fire and lava",,115,-1,-1,0,126,0,0,9,5,136243,123505,0
"Obtain 150 skill points in a profession.","Professional Journeyman",,116,-1,-1,0,169,1,10,0,1,134327,123508,0
"Obtain 150 skill points in cooking.","Journeyman Cook",,121,-1,-1,0,170,0,10,0,1,133971,125873,0
"Obtain 225 skill points in cooking.","Expert Cook",,122,-1,-1,121,170,0,10,0,2,133971,121924,0
"Obtain 300 skill points in cooking.","Artisan Cook",,123,-1,-1,122,170,0,10,0,3,133971,127610,0
"Obtain 375 skill points in cooking.","Master Cook",,124,-1,-1,123,170,0,10,0,4,133971,123077,0
"Obtain 450 skill points in cooking.","Grand Master Cook",,125,-1,-1,124,170,0,10,0,5,133971,123520,0
"Obtain 150 skill points in fishing.","Journeyman Fisherman",,126,-1,-1,0,171,0,10,0,1,136245,123522,0
"Obtain 225 skill points in fishing.","Expert Fisherman",,127,-1,-1,126,171,0,10,0,2,136245,121934,0
"Obtain 300 skill points in fishing.","Artisan Fisherman",,128,-1,-1,127,171,0,10,0,3,136245,123704,0
"Obtain 375 skill points in fishing.","Master Fisherman",,129,-1,-1,128,171,0,10,0,4,136245,126923,0
"Obtain 450 skill points in fishing.","Grand Master Fisherman",,130,-1,-1,129,171,0,10,0,5,136245,121926,0
"Obtain 150 skill points in first aid.","Journeyman in First Aid",,131,-1,-1,0,172,0,10,0,1,135966,123670,0
"Obtain 225 skill points in first aid.","Expert in First Aid",,132,-1,-1,131,172,0,10,0,2,135966,124254,0
"Obtain 300 skill points in first aid.","Artisan in First Aid",,133,-1,-1,132,172,0,10,0,3,135966,124256,0
"Obtain 375 skill points in first aid.","Master in First Aid",,134,-1,-1,133,172,0,10,0,4,135966,123706,0
"Obtain 450 skill points in first aid.","Grand Master in First Aid",,135,-1,-1,134,172,0,10,0,5,135966,123531,0
"Create 500 Heavy Frostweave Bandages.","Stocking Up",,137,-1,-1,0,172,0,10,0,7,133674,122240,0
"Use a Heavy Frostweave Bandage, or any Embersilk Bandage, to heal a player who has less than 5% health.","Ultimate Triage",,141,-1,-1,0,172,1,10,0,9,134470,125433,0
"Fish up The Lurker Below in Serpentshrine Cavern.","The Lurker Above",,144,-1,-1,0,171,0,10,0,15,132107,123014,0
"Fish something up in Orgrimmar and Stormwind.","The Fishing Diplomat",,150,-1,-1,0,171,0,10,0,9,133146,121978,0
"Successfully fish from a school.","The Old Gnome and the Sea",,153,-1,-1,0,171,1,10,0,7,236573,121415,0
"Win Arathi Basin.","Arathi Basin Victory",,154,529,-1,0,14802,0,10,0,1,236385,123277,0
"Complete 100 victories in Arathi Basin.","Arathi Basin Veteran",,155,529,-1,154,14802,0,10,0,2,236381,127324,0
"Win 10 Arathi Basin matches while controlling all 5 flags.","Territorial Dominance",,156,529,-1,0,14802,0,10,0,9,236386,123466,0
"Come to the defense of a base in Arathi Basin 50 times by recapping the flag.","To The Rescue!",,157,529,-1,0,14802,0,10,0,7,132365,126804,0
"Take 50 flags in Arathi Basin.","Me and the Cappin' Makin' it Happen",,158,529,-1,0,14802,0,10,0,4,236373,124099,0
"Win Arathi Basin in 6 minutes.","Let's Get This Done",,159,529,-1,0,14802,0,10,0,10,236387,124101,0
"Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.","Resilient Victory",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Win Arathi Basin by 50 points or less.","We Had It All Along *cough*",,162,529,-1,0,14802,0,10,0,11,136165,124759,0
"Win Arathi Basin with a score of 1600 to 0.","Arathi Basin Perfection",,165,529,-1,0,14802,0,20,0,3,236348,121665,0
"Win Warsong Gulch.","Warsong Gulch Victory",,166,489,-1,0,14804,0,10,0,1,236396,121667,0
"Complete 100 victories in Warsong Gulch.","Warsong Gulch Veteran",,167,489,-1,166,14804,0,10,0,2,236384,122230,0
"Win Warsong Gulch with a score of 3 to 0.","Warsong Gulch Perfection",,168,489,-1,0,14804,0,10,0,8,236397,132664,0
"Enchanting formulae learned","Enchanting formulae learned",,178,-1,-1,0,173,0,0,1,6,136243,121981,0
"Items disenchanted","Items disenchanted",,181,-1,-1,0,173,0,0,1,8,136243,124252,0
"Materials produced from disenchanting","Materials produced from disenchanting",,183,-1,-1,0,173,0,0,1,7,136243,129942,0
"Largest heal cast","Largest heal cast",,189,-1,-1,0,141,0,0,1,5,0,122232,0
"Largest hit dealt","Largest hit dealt",,193,-1,-1,0,141,0,0,1,1,0,122234,0
"Total damage done","Total damage done",,197,-1,-1,0,141,0,0,1,3,0,127441,0
"Total healing done","Total healing done",,198,-1,-1,0,141,0,0,1,7,0,121939,0
"Personally carry and capture the flag in Warsong Gulch.","Capture the Flag",,199,489,-1,0,14804,0,10,0,3,236350,127330,0
"Return 50 flags as a defender in Warsong Gulch.","Persistent Defender",,200,489,-1,0,14804,0,10,0,4,236355,121928,0
"Win Warsong Gulch in under 7 minutes.","Warsong Expedience",,201,489,-1,0,14804,0,10,0,9,236398,128594,0
"Grab the flag and capture it in under 75 seconds.","Quick Cap",,202,489,1,0,14804,0,10,0,16,236353,121915,0
"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.","Not In My House",,203,489,1,0,14804,0,10,0,14,236362,124561,0
"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",Ironman,,204,489,-1,0,14804,0,10,0,10,236344,125153,0
"Kill 100 flag carriers in Warsong Gulch.","Supreme Defender",,206,489,1,0,14804,0,10,0,6,236360,123493,0
"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.","Save The Day",,207,489,-1,0,14804,1,10,0,18,132308,125181,0
"Win Eye of the Storm.","Eye of the Storm Victory",,208,566,-1,0,14803,0,10,0,1,236392,121714,0
"Complete 100 victories in Eye of the Storm.","Eye of the Storm Veteran",,209,566,-1,208,14803,0,10,0,2,236383,121716,0
"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.","Storm Glory",,211,566,-1,0,14803,0,10,0,12,236354,121718,0
"Personally carry and capture the flag in Eye of the Storm.","Storm Capper",,212,566,-1,0,14803,0,10,0,7,236349,126970,0
"Kill 5 flag carriers in a single Eye of the Storm battle.",Stormtrooper,,213,566,-1,0,14803,0,10,0,6,236359,125246,0
"Win Eye of the Storm in under 6 minutes.",Flurry,,214,566,-1,0,14803,0,10,0,5,236393,123380,0
"In a single Eye of the Storm match, capture the flag 3 times without dying.","Bound for Glory",,216,566,-1,0,14803,0,10,0,8,135739,127732,0
"Win Alterac Valley.","Alterac Valley Victory",,218,30,-1,0,14801,0,10,0,1,236388,127320,0
"Complete 100 victories in Alterac Valley.","Alterac Valley Veteran",,219,30,-1,218,14801,0,10,0,2,236382,127322,0
"Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.","Stormpike Perfection",,220,30,1,0,14801,0,20,0,11,133431,124853,0
"Take 50 graveyards in Alterac Valley.","Alterac Grave Robber",,221,30,-1,0,14801,0,10,0,3,236399,121895,0
"Defend 50 towers in Alterac Valley.","Tower Defense",,222,30,-1,0,14801,0,10,0,4,236351,121897,0
"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.","The Sickly Gazelle",,223,30,-1,0,14801,0,10,0,10,236361,123668,0
"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.","Loyal Defender",,224,30,0,0,14801,0,10,0,5,236368,127734,0
"Win Alterac Valley while your team controls both mines.","Everything Counts",,225,30,1,0,14801,0,10,0,7,236389,124864,0
"Win Alterac Valley in 6 minutes.","The Alterac Blitz",,226,30,-1,0,14801,0,20,0,9,236390,126949,0
"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.","Damage Control",,227,-1,-1,0,95,1,10,0,44,236374,122154,0
"Get 30 Honorable Kills in a single battle in any battleground.","The Grim Reaper",,229,-1,-1,0,95,1,10,0,39,136177,124563,0
"Complete the battleground achievements listed below.",Battlemaster,"Title Reward: Battlemaster",230,-1,1,0,95,0,50,143360,48,236591,127514,0
"Get 20 killing blows without dying in a single battle in any battleground.","Wrecking Ball",,231,-1,-1,0,95,1,10,16,45,132364,121323,0
"Get a killing blow while under the effects of the berserker buff in Eye of the Storm.","Bloodthirsty Berserker",,233,566,-1,0,14803,0,10,0,11,136012,124230,0
"Achieve an honorable kill.","An Honorable Kill",,238,-1,-1,0,95,0,10,0,5,236647,124429,0
"Get 25000 honorable kills.","25000 Honorable Kills",,239,-1,-1,509,95,0,10,135168,11,236657,124431,0
"Get an honorable, killing blow on one of each class.","That Takes Class",,245,-1,-1,0,95,0,10,0,16,132092,123851,0
"Get an honorable, killing blow on six different races.","Know Thy Enemy",,246,-1,1,0,95,0,10,0,17,132155,127831,0
"Emote /hug on a dead enemy before they release corpse.","Make Love, Not Warcraft",,247,-1,-1,0,95,0,10,0,19,135767,125261,0
"Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.","Sunday's Finest",,248,-1,-1,0,159,0,10,0,4,135012,126292,0
"Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.","Dressed for the Occasion",,249,-1,-1,0,159,0,10,0,5,132645,126802,0
"Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.","With a Little Helper from My Friends",,252,-1,-1,0,156,0,10,136,2,236703,125839,0
"Kill the Headless Horseman.","Bring Me The Head of... Oh Wait",,255,-1,-1,0,158,0,10,0,3,134015,121889,0
"Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.",Scrooge,,259,-1,0,0,156,1,10,0,3,132387,121371,0
"Create 12 Lovely Charm Bracelets.",Charming,,260,-1,-1,0,187,0,10,0,2,133334,123330,0
"Slay Ahune in the Slave Pens.","Ice the Frost Lord",,263,-1,-1,0,161,1,10,0,1,135861,125253,0
"Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.","Burning Hot Pole Dance",,271,-1,-1,0,161,0,10,0,2,236216,125563,0
"Juggle 40 torches in 15 seconds in Dalaran, Stormwind, Ironforge, Orgrimmar, or Undercity.","Torch Juggler",,272,-1,-1,0,161,0,10,0,28,135433,124592,0
"Save Metzen the Reindeer.","On Metzen!",,273,-1,-1,0,156,1,10,0,1,236707,121351,0
"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.","Veteran Nanny",,275,-1,-1,0,163,0,50,131072,7,134505,126919,0
"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.","'Tis the Season",,277,-1,-1,0,156,0,10,0,6,132934,127794,0
"Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.","Simply Abominable",,279,-1,-1,0,156,1,10,0,8,133170,131941,0
"First Aid skill","First Aid skill",,281,-1,-1,0,178,0,0,1,5,136243,123332,0
"Get transformed by the Hallowed Wands listed below.","The Masquerade",,283,-1,-1,0,158,0,10,0,12,236548,126093,0
"Collect the 24 unique Masks listed below.","A Mask for All Occasions",,284,-1,-1,0,158,0,20,0,6,133567,127773,0
"Eat so many Tricky Treats that you get an upset tummy.","Out With It",,288,-1,-1,0,158,0,10,0,2,136182,128703,0
"Complete one of the quests to save a village from the Headless Horseman.","The Savior of Hallow's End",,289,-1,-1,0,158,1,10,0,4,236545,124872,0
"Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.","Check Your Head",,291,-1,-1,0,158,0,10,0,11,133661,121461,0
"Obtain a Sinister Squashling pet and Hallowed Helm.","Sinister Calling",,292,-1,-1,0,158,0,10,0,13,236547,121878,0
"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.","Disturbing the Peace",,293,571,-1,0,162,0,10,0,10,133696,123066,0
"Kill Coren Direbrew.",Direbrewfest,,295,230,-1,0,162,0,10,0,8,134159,125135,0
"Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.","Have Keg, Will Travel",,303,-1,-1,0,162,1,10,131072,11,132620,126851,0
"Win the Booty Bay fishing contest or the Kalu'ak Fishing Derby.","Master Angler of Azeroth",,306,-1,-1,0,171,1,20,0,10,133892,126797,0
,"Total deaths from opposite faction",,318,-1,-1,0,21,0,0,1,2,136243,125881,0
"Duels won","Duels won",,319,-1,-1,0,154,0,0,1,1,136243,127439,0
"Duels lost","Duels lost",,320,-1,-1,0,154,0,0,1,2,136243,121472,0
"Total raid and dungeon deaths","Total raid and dungeon deaths",,321,-1,-1,0,125,0,0,9,1,0,124571,0
"Total deaths to Lich King dungeon bosses","Total deaths to Lich King dungeon bosses",,322,-1,-1,0,125,0,0,9,6,0,124294,0
"Total deaths to Lich King 10-player raid bosses","Total deaths to Lich King 10-player raid bosses",,323,-1,-1,0,125,0,0,9,8,0,126559,0
"Total deaths to Lich King 25-player raid bosses","Total deaths to Lich King 25-player raid bosses",,324,-1,-1,0,125,0,0,9,10,0,121474,0
"Gold from quest rewards","Gold from quest rewards",,326,-1,-1,0,140,0,0,1,4,136243,128216,0
"Total gold acquired","Total gold acquired",,328,-1,-1,0,140,0,0,9,1,136243,124219,0
"Auctions posted","Auctions posted",,329,-1,-1,0,140,0,0,1,6,136243,128753,0
"Auction purchases","Auction purchases",,330,-1,-1,0,140,0,0,1,7,136243,128930,0
"Most expensive bid on auction","Most expensive bid on auction",,331,-1,-1,0,140,0,0,1,8,136243,129365,0
"Most expensive auction sold","Most expensive auction sold",,332,-1,-1,0,140,0,0,1,9,136243,124224,0
"Gold looted","Gold looted",,333,-1,-1,0,140,0,0,1,3,136243,124226,0
"Most gold ever owned","Most gold ever owned",,334,-1,-1,0,140,0,0,1,15,136243,124228,0
"Legendary items acquired","Legendary items acquired",,336,-1,-1,0,191,0,0,1,4,0,123672,0
"Vanity pets owned","Vanity pets owned",,338,-1,-1,0,191,0,0,1,6,0,124755,0
"Mounts owned","Mounts owned",,339,-1,-1,0,191,0,0,1,5,0,122250,0
"Epic items looted","Epic items looted",,341,-1,-1,0,191,0,0,1,3,0,127612,0
"Epic items acquired","Epic items acquired",,342,-1,-1,0,191,0,0,1,2,0,123114,0
"Bandages used","Bandages used",,344,-1,-1,0,145,0,0,9,1,136243,123428,0
"Health potions consumed","Health potions consumed",,345,-1,-1,0,145,0,0,9,4,136243,128755,0
"Beverages consumed","Beverages consumed",,346,-1,-1,0,145,0,0,9,16,136243,122252,0
"Food eaten","Food eaten",,347,-1,-1,0,145,0,0,9,19,136243,122443,0
"Flight paths taken","Flight paths taken",,349,-1,-1,0,134,0,0,1,1,136243,123675,0
"Mage Portals taken","Mage Portals taken",,350,-1,-1,0,134,0,0,9,3,136243,129855,0
"Number of times hearthed","Number of times hearthed",,353,-1,-1,0,134,0,0,1,5,136243,123802,0
"5v5 victories","5v5 victories",,362,-1,-1,0,152,0,0,9,4,136243,124353,0
"5v5 matches","5v5 matches",,363,-1,-1,0,152,0,0,9,3,136243,121809,0
"3v3 victories","3v3 victories",,364,-1,-1,0,152,0,0,9,6,136243,123677,0
"3v3 matches","3v3 matches",,365,-1,-1,0,152,0,0,9,5,136243,121815,0
"2v2 victories","2v2 victories",,366,-1,-1,0,152,0,0,9,8,136243,121821,0
"2v2 matches","2v2 matches",,367,-1,-1,0,152,0,0,9,7,136243,124359,0
,"Highest 2 man personal rating",,370,-1,-1,0,152,0,0,1,21,136243,121827,0
,"Highest 2 man team rating",,374,-1,-1,0,152,0,0,1,24,136243,127615,0
"Most factions at Exalted","Most factions at Exalted",,377,-1,-1,0,147,0,0,1,1,0,125583,0
"Most factions at Revered or higher","Most factions at Revered or higher",,378,-1,-1,0,147,0,0,1,2,0,124365,0
"World Honorable Kills","World Honorable Kills",,381,-1,-1,0,136,0,0,9,2,136243,121829,0
"Battleground Honorable Kills","Battleground Honorable Kills",,382,-1,-1,0,136,0,0,9,5,136243,132858,0
"Arena Honorable Kills","Arena Honorable Kills",,383,-1,-1,0,136,0,0,9,4,136243,121834,0
"Kill 50 enemy players in any of your home cities.","City Defender",,388,-1,1,0,95,0,10,136,22,236593,126198,0
"Loot the Arena Master trinket from the Gurubashi Arena.","Gurubashi Arena Master",,389,-1,-1,0,95,1,10,0,20,133608,126888,0
"Alterac Valley towers defended","Alterac Valley towers defended",,393,-1,-1,0,153,0,0,1,37,136243,123117,0
"Alterac Valley towers captured","Alterac Valley towers captured",,394,-1,-1,0,153,0,0,1,38,136243,124433,0
"Warsong Gulch flags captured","Warsong Gulch flags captured",,395,-1,-1,0,153,0,0,1,42,136243,125190,0
"Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.","Gurubashi Arena Grand Master",,396,-1,-1,0,95,1,10,0,21,133599,127463,0
"Win a ranked arena match.","Step Into The Arena",,397,-1,-1,0,165,0,10,0,1,236543,121451,0
"Win 100 ranked arena matches.","Mercilessly Dedicated",,398,-1,-1,397,165,0,10,0,2,236534,121453,0
"Earn a 1550 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1550",,399,-1,-1,0,165,0,10,0,6,236323,140616,0
"Earn a 1750 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1750",,400,-1,-1,399,165,0,10,0,7,236326,140618,0
"Earn a 2000 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 2000",,401,-1,-1,400,165,0,10,0,8,236327,140620,0
"Earn a 1550 personal rating in the 3v3 bracket of the arena.","Three's Company: 1550",,402,-1,-1,0,165,0,10,0,10,236330,140624,0
"Earn a 1750 personal rating in the 3v3 bracket of the arena.","Three's Company: 1750",,403,-1,-1,402,165,0,10,0,11,236333,140626,0
"Earn a 2000 personal rating in the 5v5 bracket of the arena.","High Five: 2000",,404,-1,-1,407,165,0,10,0,18,236341,140636,0
"Earn a 2000 personal rating in the 3v3 bracket of the arena.","Three's Company: 2000",,405,-1,-1,403,165,0,10,0,12,236334,140628,0
"Earn a 1550 personal rating in the 5v5 bracket of the arena.","High Five: 1550",,406,-1,-1,0,165,0,10,0,16,236337,140632,0
"Earn a 1750 personal rating in the 5v5 bracket of the arena.","High Five: 1750",,407,-1,-1,406,165,0,10,0,17,236340,140634,0
"Win ten ranked matches in a row.","Hot Streak",,408,-1,-1,0,165,0,10,0,20,135805,128706,0
"Be the sole survivor at the end of a ranked 5v5 match.","Last Man Standing",,409,-1,-1,0,165,0,10,0,22,135981,0,0
"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",Murky,,411,-1,-1,0,81,1,0,131072,108,132834,125487,0
"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.","Murloc Costume",,412,-1,-1,0,81,1,0,0,110,134169,121958,0
"Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.","Tyrael's Hilt",,414,-1,-1,0,81,1,0,131072,113,135277,123634,0
"Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.","Big Blizzard Bear",,415,-1,-1,0,81,1,0,131072,111,298586,124809,0
"Opened the gates of Ahn'Qiraj.","Scarab Lord",,416,-1,-1,0,81,0,0,0,191,236829,124093,0
"Achieved Merciless Gladiator title.","Merciless Gladiator","Title Reward: Merciless Gladiator",418,-1,-1,0,81,0,0,0,184,236534,123064,0
"Achieved Vengeful Gladiator title.","Vengeful Gladiator","Title Reward: Vengeful Gladiator",419,-1,-1,0,81,0,0,0,185,236535,124585,0
"Achieved Brutal Gladiator title.","Brutal Gladiator","Title Reward: Brutal Gladiator",420,-1,-1,0,81,0,0,0,186,236536,126681,0
"Obtain a Red Qiraji Resonating Crystal.","Why? Because It's Red",,424,-1,-1,0,81,1,0,131072,173,134396,127169,0
"Wielder of Atiesh, Greatstaff of the Guardian.","Atiesh, Greatstaff of the Guardian",,425,-1,-1,0,81,1,0,0,178,135226,123975,0
"Wielder of a set of Warglaives of Azzinoth.","Warglaives of Azzinoth",,426,-1,-1,0,81,0,0,0,180,135561,123221,0
"Wielder of Thunderfury, Blessed Blade of the Windseeker.","Thunderfury, Blessed Blade of the Windseeker",,428,-1,-1,0,81,0,0,0,176,135349,127171,0
"Wielder of Sulfuras, Hand of Ragnaros.","Sulfuras, Hand of Ragnaros",,429,-1,-1,0,81,0,0,0,174,133066,123053,0
"Owner of Amani War Bear.","Amani War Bear",,430,-1,-1,0,81,1,0,131072,172,132117,121457,0
"Earned the title, ""Hand of A'dal"".","Hand of A'dal",,431,-1,-1,0,81,0,0,0,145,133502,124694,0
"Earned the title, ""Champion of the Naaru"".","Champion of the Naaru",,432,-1,-1,0,81,0,0,0,144,133531,123867,0
"Earned the title, ""Grand Marshal"".","Grand Marshal",,433,-1,1,0,81,0,0,0,143,236590,122142,0
"Earned the title, ""Field Marshal"".","Field Marshal",,434,-1,1,0,81,0,0,0,142,236589,121881,0
"Earned the title, ""Commander"".",Commander,,435,-1,1,0,81,0,0,0,140,236587,124021,0
"Earned the title, ""Lieutenant Commander"".","Lieutenant Commander",,436,-1,1,0,81,0,0,0,139,236586,122144,0
"Earned the title, ""Knight-Champion"".",Knight-Champion,,437,-1,1,0,81,0,0,0,138,236585,126184,0
"Earned the title, ""Knight-Captain"".",Knight-Captain,,438,-1,1,0,81,0,0,0,137,236584,123119,0
"Earned the title, ""Knight"".",Knight,,439,-1,1,0,81,0,0,0,135,236582,122146,0
"Earned the title, ""Sergeant Major"".","Sergeant Major",,440,-1,1,0,81,0,0,0,134,236581,122148,0
"Earned the title, ""Master Sergeant"".","Master Sergeant",,441,-1,1,0,81,0,0,0,133,236580,123870,0
"Earned the title, ""Private"".",Private,,442,-1,1,0,81,0,0,0,129,236577,124411,0
"Earned the title, ""High Warlord"".","High Warlord",,443,-1,0,0,81,0,0,0,128,236625,122150,0
