ID,SpellID,GlyphType,GlyphExclusiveCategoryID,SpellIconFileDataID,GlyphSlotFlags
561,56416,0,0,237638,0
591,61205,0,0,237647,0
611,115700,0,0,237652,1
612,62132,1,0,237650,1
613,114301,1,0,237634,1
631,116172,0,0,237634,0
651,62210,0,0,237648,0
671,114223,0,0,237632,0
672,62970,0,0,237633,0
673,116238,0,0,237634,0
674,114222,0,0,237635,0
675,48514,0,0,237636,0
676,63057,0,0,237637,0
677,119447,0,0,237638,0
691,119384,0,0,237639,0
692,119462,1,0,237640,0
693,63068,0,0,237641,0
694,63069,0,0,237642,0
695,83495,0,0,237643,0
696,63090,0,0,237644,0
697,86209,0,0,237645,0
698,63092,1,0,237646,0
699,63093,1,0,237647,1
700,115710,0,0,237648,0
701,63218,0,0,237649,0
702,63219,0,0,237650,0
703,63220,0,0,237651,0
704,63222,0,0,237652,0
705,63223,0,0,237632,0
706,63224,0,0,237633,0
707,63225,0,0,237634,0
708,63229,0,0,237635,0
709,119850,0,0,237636,0
710,119866,0,0,237637,0
711,147778,0,0,237638,0
712,33371,0,0,237639,0
713,63248,0,0,237640,0
714,63249,0,0,237641,0
715,63252,1,0,237642,0
716,63253,0,0,237643,0
731,63254,0,0,237644,0
732,63256,1,0,237645,0
733,63268,1,0,237646,0
734,63269,0,0,237647,0
735,63270,0,0,237648,0
736,63271,0,0,237649,0
737,63273,0,0,237650,0
751,63279,1,0,237651,0
752,63280,0,0,237652,0
753,63291,0,0,237632,0
754,63298,0,0,237633,0
755,63302,0,0,237634,0
756,63303,0,0,237635,0
757,63304,0,0,237636,0
758,63309,0,0,237637,0
759,146964,0,0,237638,0
760,63320,0,0,237639,0
761,63312,1,0,237640,0
762,63324,0,0,237641,0
763,63325,0,0,237642,0
764,146965,0,0,237643,0
765,63327,1,0,237644,0
766,63328,0,0,237645,0
767,63329,0,0,237646,0
768,63330,0,0,237647,0
769,63331,0,0,237648,0
771,63333,0,0,237650,0
773,63335,1,0,237652,0
831,67598,0,0,237643,0
851,68164,1,0,237640,1
871,115703,0,0,237641,0
911,148683,0,0,237651,0
920,57927,1,0,237638,0
923,89749,1,0,0,0
924,89758,0,0,237652,0
926,56805,0,0,237648,0
927,89003,0,0,0,0
928,89926,0,0,237651,0
929,91299,0,0,237652,0
930,93466,0,0,237636,0
931,94372,0,0,237648,0
932,94374,0,0,237638,0
933,114237,0,0,237643,0
934,94386,0,0,237643,0
935,114280,1,0,237643,0
936,47180,0,0,237643,0
937,125047,1,0,237634,0
945,96279,0,0,237650,0
948,98397,0,0,237652,0
950,101052,0,0,237641,0
956,0,2,0,237635,1
961,107906,1,0,237645,1
967,111546,2,0,237637,0
970,112104,1,0,0,0
986,115738,1,0,237646,1
987,115931,1,0,237652,0
988,115933,1,0,237652,0
989,115934,1,0,237652,0
990,115943,1,0,237646,1
991,115946,1,0,237646,1
996,119477,0,0,237633,0
997,146951,0,0,237642,0
998,123401,0,0,237642,0
999,120477,0,0,237642,0
1000,120479,0,0,237642,0
1001,120483,0,0,237642,0
1002,120482,0,0,237642,0
1003,120585,0,0,237638,0
1004,120581,1,0,237633,1
1005,120583,0,0,237640,0
1006,120584,0,0,237640,0
1007,120581,1,0,237651,1
1008,122013,0,0,237633,0
1009,122028,0,0,237650,0
1010,122136,0,0,237642,0
1011,123023,0,0,237642,0
1012,120479,0,0,237642,0
1013,123334,0,0,237642,0
1014,123391,0,0,237642,0
1015,123394,0,0,237642,0
1016,123399,0,0,237642,0
1017,123403,1,0,237640,1
1018,123405,1,0,237642,0
1019,123763,0,0,237642,0
1020,123779,1,0,237640,1
1021,125967,0,0,237642,0
1022,125042,1,0,237649,0
1023,109263,0,0,237649,0
1024,58136,1,0,237649,0
1025,146953,0,0,237642,0
1026,124989,0,0,237642,0
1028,125151,1,0,237640,1
1029,125154,1,0,237640,1
1030,124997,0,0,237642,0
1031,146954,0,0,237642,0
1032,146952,0,0,237642,0
1033,125660,1,0,237640,1
1034,146950,0,0,237642,0
1035,125671,0,0,237642,0
1036,125673,0,0,237642,0
1037,125676,0,0,237642,0
1038,125678,0,0,237642,0
1039,125732,1,0,237642,0
1040,125755,0,0,237642,0
1041,125872,1,0,237640,1
1042,125893,1,0,237640,1
1043,125872,1,0,237640,1
1044,125901,1,0,237640,1
1045,125931,1,0,237640,1
1046,126133,0,0,237651,0
1047,126152,1,0,237651,1
1048,126174,1,0,237651,1
1049,126094,1,0,237651,1
1050,126179,1,0,237642,1
1051,126193,1,0,237642,1
1052,126745,1,0,237645,1
1053,126746,1,0,237641,1
1054,131113,1,0,237634,0
1055,132005,1,0,237642,0
1056,134580,1,0,237647,1
1057,135032,0,0,237638,0
1058,135557,1,0,237650,0
1059,62080,1,0,237633,1
1060,145722,1,0,237647,0
1061,147707,1,0,237644,1
1062,145529,0,0,237642,0
1063,146645,0,0,237650,0
1064,146646,0,0,237650,0
1065,146648,0,0,237650,0
1066,146650,0,0,237650,0
1067,146956,0,0,237650,0
1068,146957,0,0,237650,0
1069,147762,0,0,237641,0
1070,147781,0,0,237641,0
1071,146962,0,0,237638,0
1072,146970,0,0,237633,0
1073,146971,0,0,237633,0
1074,146652,1,0,237652,0
1075,146653,1,0,237652,0
1076,146654,1,0,237633,1
1077,146656,1,0,237633,1
1078,146656,1,0,237633,1
1079,146976,1,0,237647,1
1080,146662,1,0,237647,1
1081,147353,1,0,237647,1
1082,146958,1,0,237652,0
1083,146959,1,0,237652,0
1084,145722,1,0,237645,1
1085,147776,1,0,237645,1
1086,147779,1,0,237645,1
1087,147072,1,0,237645,1
1088,146960,1,0,237646,0
1089,146961,1,0,237646,0
1090,147783,1,0,237651,0
1091,147784,1,0,237651,0
1092,147770,1,0,237651,0
1093,147772,1,0,237651,0
1094,147785,1,0,237651,0
1095,147788,1,0,237651,0
1096,147787,1,0,237651,0
1097,147707,1,0,237651,0
1098,146968,1,0,237640,1
1099,146969,1,0,237640,1
1100,146973,1,0,237640,1
1101,146974,1,0,237640,1
1102,146657,0,0,237641,0
1103,148473,1,0,237641,1
1104,148475,0,0,237641,0
1105,148484,1,0,237641,1
