ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
63,Rotface,25,0,0,13304,52,0
64,Icehowl,25,0,0,13292,40,0
65,"Sir Zeliek",25,0,0,7844,8,0
66,Malygos,25,0,0,7847,5,0
67,"Lord Jaraxxus",25,0,0,13293,41,0
68,"Fjola Lightbane",25,0,0,13294,42,0
69,"Lord Marrowgar",25,0,0,13297,45,0
70,"Deathbringer Saurfang",25,0,0,13299,47,0
71,"Blood-Queen Lana'thel",25,0,0,13300,48,0
72,Sindragosa,25,0,0,13301,49,0
73,"The Lich King",25,0,0,13302,50,0
74,Festergut,25,0,0,13303,51,0
75,"Professor Putricide",25,0,0,13305,53,0
76,"Eydis Darkbane",25,0,0,13295,43,0
77,"Runemaster Molgeim",25,0,0,11021,27,0
78,Thorim,25,0,0,11026,32,0
80,"Earned the title, ""Grand Marshal"".",0,0,4,0,0,0
81,"Grand Marshal",80,0,0,707,1,2
83,"Earned the title, ""Lieutenant Commander"".",0,0,4,0,0,0
84,"Lieutenant Commander",83,0,0,711,1,2
86,"Earned the title, ""Knight"".",0,0,4,0,0,0
87,Knight,86,0,0,721,1,2
89,"Vault of Mysteries (Mogu'shan Vaults Second Half)",0,0,4,0,0,0
90,"Four Kings",89,1,0,19113,0,16
91,Elegon,89,1,0,19767,1,16
92,"Will of the Emperor",89,1,0,19115,2,16
97,"Shoot off 10 Festival Firecrackers in 30 seconds or less.",0,0,4,0,0,0
98,"Shoot off 10 Festival Firecrackers in 30 seconds or less",97,10,0,5755,1,1
103,"Honor the flames of Kalimdor.",0,0,4,0,0,0
104,Ashenvale,103,1,0,3076,0,0
105,"Bloodmyst Isle",103,1,0,3078,2,0
106,Desolace,103,1,0,3080,4,0
107,Feralas,103,1,0,3082,6,0
108,Teldrassil,103,1,0,3085,11,0
109,Tanaris,103,1,0,3084,10,0
110,"Dustwallow Marsh",103,1,0,3081,5,0
111,"Azuremyst Isle",103,1,0,3077,1,0
112,Silithus,103,1,0,3083,7,0
113,Winterspring,103,1,0,3087,13,0
114,Darkshore,103,1,0,3079,3,0
115,"Southern Barrens",103,1,0,17016,8,0
117,"Win 10 Arathi Basin matches while controlling all 5 flags.",0,0,4,0,0,0
118,"Win 10 Arathi Basin matches while controlling all 5 flags",117,10,0,1234,1,1
120,"Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.",0,0,4,0,0,0
121,Cyanigosa,120,1,0,5613,1,2
123,"Obtain a Grand Ice Mammoth.",0,1,8,0,0,0
124,"Grand Ice Mammoth",123,0,0,7399,3,2
125,"Grand Ice Mammoth",123,0,0,7400,4,2
126,"Grand Ice Mammoth",123,1,0,7397,1,2
127,"Grand Ice Mammoth",123,1,0,7398,2,2
129,"Win Arathi Basin by 50 points or less.",0,0,4,0,0,0
130,"Win Arathi Basin by 50 points or less.",129,1,0,1235,1,2
132,"Proud owner of the 2007 Vintage Yellow Brewfest Stein.",0,1,8,0,0,0
133,"Filled Yellow Brewfest Stein",132,1,0,4073,2,2
134,"Filled Yellow Brewfest Stein",132,1,0,4075,4,2
135,"Filled Yellow Brewfest Stein",132,1,0,4077,6,2
136,"Filled Yellow Brewfest Stein",132,1,0,4076,5,2
137,"Yellow Brewfest Stein",132,1,0,4072,1,2
138,"Filled Yellow Brewfest Stein",132,1,0,4074,3,2
140,"Deaths in Warsong Gulch",0,0,4,0,0,0
141,"Deaths in Warsong Gulch",140,0,0,107,1,0
143,"Deaths from Drek'Thar",0,0,4,0,0,0
144,"Killed by Drek'Thar",143,0,0,456,1,0
146,"Items disenchanted",0,0,4,0,0,0
147,"Disenchanted items",146,0,0,4991,1,0
149,"Obtain 225 skill points in first aid.",0,0,4,0,0,0
150,"Obtain 225 skill points in first aid.",149,225,0,5592,1,2
152,"Defeat Kil'jaeden in Sunwell Plateau.",0,1,8,0,0,0
153,Kil'jaeden,152,1,0,3261,1,2
154,"Crown of Dath'Remar",152,1,0,4648,24,2
155,"Helm of Arcane Purity",152,1,0,4650,26,2
156,"Mask of the Fury Hunter",152,1,0,4652,28,2
157,"Apolyon, the Soul-Render",152,1,0,4597,2,2
158,"Cloak of Unforgivable Sin",152,1,0,4599,4,2
159,"Coif of Alleria",152,1,0,4600,5,2
160,"Cowl of Gul'dan",152,1,0,4602,7,2
161,"Crown of Anasterian",152,1,0,4604,9,2
162,"Crux of the Apocalypse",152,1,0,4605,10,2
163,"Hammer of Sanctification",152,1,0,4609,14,2
164,"Handguards of the Dawn",152,1,0,4612,17,2
165,"Helm of Burning Righteousness",152,1,0,4613,18,2
166,Sunflare,152,1,0,4614,19,2
167,"Thalassian Ranger Gauntlets",152,1,0,4616,21,2
168,"Helm of Uther's Resolve",152,1,0,4651,27,2
169,"Duplicitous Guise",152,1,0,4607,12,2
170,"Cover of Ursol the Wise",152,1,0,4601,6,2
171,"Dark Conjuror's Collar",152,1,0,4606,11,2
172,"Tattered Cape of Antonidas",152,1,0,4615,20,2
173,"Handguards of Defiled Worlds",152,1,0,4611,16,2
174,"Shroud of Chieftain Ner'zhul",152,1,0,4653,29,2
175,"Golden Staff of the Sin'dorei",152,1,0,4608,13,2
176,"Hand of the Deceiver",152,1,0,4610,15,2
177,"Thori'dal, the Stars' Fury",152,1,0,4617,22,2
178,"Cover of Ursoc the Mighty",152,1,0,4647,23,2
179,"Gloves of Tyri's Power",152,1,0,4649,25,2
180,"Borderland Paingrips",152,1,0,4598,3,2
181,"Cowl of Light's Purity",152,1,0,4603,8,2
183,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",0,0,4,0,0,0
184,"Capture a flag with 4 bases held",183,1,0,3693,1,2
186,"Take 50 graveyards in Alterac Valley.",0,0,4,0,0,0
187,"Take 50 graveyards",186,50,0,419,1,1
189,"Achieved Vengeful Gladiator title.",0,0,4,0,0,0
190,"Vengeful Gladiator",189,1,0,5599,1,2
192,"Receive 5 Coins of Ancestry.",0,0,4,0,0,0
193,"Receive 5 Coins of Ancestry",192,5,0,472,1,1
195,"Revived by druids",0,1,5,0,0,0
196,"Revive (Rank 7)",195,1,0,3815,1,0
197,"Revive (Rank 5)",195,0,0,4979,3,0
198,"Revive (Rank 4)",195,0,0,4980,4,0
199,"Revive (Rank 2)",195,0,0,4982,6,0
200,"Revive (Rank 6)",195,0,0,4978,2,0
201,"Revive (Rank 1)",195,0,0,4983,7,0
202,"Revive (Rank 3)",195,0,0,4981,5,0
204,"Win a greed roll on a superior or better item above level 185 by rolling 100.",0,0,4,0,0,0
205,"Roll greed and get exactly 100 on an item over level 185.",204,1,0,2358,1,2
207,"Talent tree respecs",0,0,4,0,0,0
208,"Talent tree respecs",207,0,0,3359,1,0
210,"Keli'dan the Breaker kills (The Blood Furnace)",0,0,4,0,0,0
211,"Keli'dan the Breaker",210,1,0,3239,1,0
213,"Catch a fish in each of the specific nodes listed below.",0,0,4,0,0,0
214,"Brackish Mixed School",213,1,0,3865,1,0
215,"Bluefish School",213,1,0,3866,2,0
216,"Mudfish School",213,1,0,3867,3,0
217,"School of Darter",213,1,0,3868,4,0
218,"Highland Mixed School",213,1,0,3869,5,0
219,"Sporefish School",213,1,0,3870,6,0
221,"Grand Widow Faerlina kills (Naxxramas 25 player)",0,0,4,0,0,0
222,"Grand Widow Faerlina",221,1,0,5126,1,0
227,"Explore Borean Tundra, revealing the covered areas of the world map.",0,0,4,0,0,0
228,"Temple City of En'kilah",227,0,0,4122,1,0
229,"The Geyser Fields",227,0,0,4134,12,0
230,"Garrosh's Landing",227,0,0,4126,5,0
231,"Bor'gorok Outpost",227,0,0,4129,8,0
232,"Riplash Strand",227,0,0,4124,3,0
233,"The Dens of the Dying",227,0,0,4135,13,0
234,"Steeljaw's Caravan",227,0,0,4123,2,0
235,Kaskala,227,0,0,4125,4,0
236,"Death's Stand",227,0,0,4127,6,0
237,"Amber Ledge",227,0,0,4130,9,0
238,"Warsong Hold",227,0,0,4131,10,0
239,"Valiance Keep",227,0,0,4132,11,0
240,Coldarra,227,0,0,4128,7,0
248,"Defeat Emperor Dagran Thaurissan.",0,1,8,0,0,0
249,"The Fate of the Kingdom",248,1,0,4262,2,2
250,"The Royal Rescue",248,1,0,4263,3,2
251,"Emperor Dagran Thaurissan",248,1,0,3266,1,2
253,"Defeat Darkmaster Gandling",0,0,4,0,0,0
255,"Darkmaster Gandling",253,1,0,19263,0,2
261,"Aeonus kills (Opening of the Dark Portal)",0,0,4,0,0,0
262,Aeonus,261,1,0,3247,1,0
264,"Most expensive bid on auction",0,0,4,0,0,0
265,"Highest Auction Bid",264,0,0,4222,1,8
267,"Win Eye of the Storm with a score of 1600 to 0.",0,0,4,0,0,0
268,"Win 1600 to 0",267,1,0,1238,1,2
270,"Win a need roll on a superior or better item above level 185 by rolling 100.",0,0,4,0,0,0
271,"roll need and get exactly 100 on an item above 185",270,1,0,2412,1,2
273,"Prince Malchezaar kills (Karazhan)",0,0,4,0,0,0
274,"Prince Malchezaar",273,1,0,3254,1,0
276,"Chief Ukorz Sandscalp kills (Zul'Farrak)",0,0,4,0,0,0
277,"Chief Ukorz Sandscalp",276,1,0,3265,1,0
279,"Earned the title, ""Warlord"".",0,0,4,0,0,0
280,Warlord,279,0,0,708,1,2
282,"Earned the title, ""General"".",0,0,4,0,0,0
283,General,282,0,0,729,1,2
285,"Statistic: Elixirs consumed",0,0,5,0,0,0
286,"Elixir of Lion's Strength",285,0,0,4370,42,0
287,"Elixir of Major Agility",285,0,0,4371,43,0
288,"Elixir of Major Defense",285,0,0,4372,44,0
289,"Elixir of Major Mageblood",285,0,0,4376,48,0
290,"Elixir of Major Shadow Power",285,0,0,4377,49,0
291,"Elixir of Mighty Defense",285,0,0,4381,53,0
292,"Greater Arcane Elixir",285,0,0,4402,74,0
293,"Ground Scorpok Assay",285,0,0,4403,75,0
294,"Elixir of Wisdom",285,0,0,4395,67,0
295,"Elixir of the Mongoose",285,0,0,4396,68,0
296,"Fel Strength Elixir",285,0,0,4399,71,0
297,"Gift of Arthas",285,0,0,4400,72,0
298,"Bloodberry Elixir",285,0,0,4342,14,0
299,"Elixir of Detect Undead",285,0,0,4353,25,0
300,"Elixir of Giant Growth",285,0,0,4360,32,0
301,"Elixir of Greater Agility",285,0,0,4362,34,0
302,"Arcane Elixir",285,0,0,4341,13,0
303,"Cerebral Cortex Compound",285,0,0,4344,16,0
304,"Elixir of Mighty Strength",285,0,0,4384,56,0
305,"Elixir of Minor Agility",285,0,0,4385,57,0
306,"Elixir of Shadow Power",285,0,0,4389,61,0
307,"Elixir of Spirit",285,0,0,4390,62,0
308,"Sheen of Zanza",285,0,0,4337,0,0
309,"Swiftness of Zanza",285,0,0,4339,11,0
310,"Earthen Elixir",285,0,0,4345,17,0
311,"Elixir of Brute Force",285,0,0,4347,19,0
312,"Elixir of Defense",285,0,0,4349,21,0
313,"Elixir of Demonslaying",285,0,0,4350,22,0
314,"Elixir of Detect Demon",285,0,0,4351,23,0
315,"Elixir of Fortitude",285,0,0,4358,30,0
316,"Elixir of Frost Power",285,0,0,4359,31,0
317,"Elixir of Greater Firepower",285,0,0,4364,36,0
318,"Elixir of Greater Intellect",285,0,0,4365,37,0
319,"Strong Troll's Blood Elixir",285,0,0,8648,9,0
320,"Elixir of Mighty Defense",285,0,0,8062,80,0
321,"Elixir of Mighty Thoughts",285,0,0,8066,81,0
322,"Adept's Elixir",285,0,0,4340,12,0
323,"Major Troll's Blood Elixir",285,0,0,8074,85,0
324,"Elixir of Mighty Agility",285,0,0,4380,52,0
325,"Weak Troll's Blood Elixir",285,0,0,8076,102,0
326,"Mighty Troll's Blood Elixir",285,0,0,8077,101,0
327,"Wrath Elixir",285,0,0,8078,100,0
328,"Bloodkelp Elixir of Dodging",285,0,0,8082,96,0
329,"Elixir of Shadows",285,0,0,8086,92,0
330,"Drakuru's Elixir",285,0,0,8087,91,0
331,"Zort's Protective Elixir",285,0,0,8089,89,0
332,"Elixir of Draenic Wisdom",285,0,0,4354,26,0
333,"Elixir of Giants",285,0,0,4361,33,0
334,"Elixir of Lesser Agility",285,0,0,4369,41,0
335,"Bloodkelp Elixir of Resistance",285,0,0,8083,95,0
336,"Elixir of Water Walking",285,0,0,4394,66,0
337,"Elixir of Expertise",285,0,0,8063,110,0
338,"Crystal Ward",285,0,0,8068,82,0
339,"Juju Chill",285,0,0,8070,83,0
340,"Juju Escape",285,0,0,8071,105,0
341,"Elixir of Accuracy",285,0,0,8031,87,0
342,"Elixir of Armor Piercing",285,0,0,8064,109,0
343,"Elixir of Lightning Speed",285,0,0,8065,108,0
344,"Juju Ember",285,0,0,8069,106,0
345,"Winterfall Firewater",285,0,0,8073,104,0
346,"Mageblood Elixir",285,0,0,8075,103,0
347,"Spellpower Elixir",285,0,0,8079,99,0
348,"Worg's Blood Elixir",285,0,0,8081,97,0
349,"Videre Elixir",285,0,0,8084,94,0
350,"Ahuurn's Elixir",285,0,0,8085,93,0
351,"Zort's Protective Elixir",285,0,0,8088,90,0
352,"Juju Might",285,0,0,8072,84,0
353,"Elixir of Deadly Strikes",285,0,0,8032,86,0
354,"Elixir of Empowerment",285,0,0,4356,28,0
355,"Elixir of Ironskin",285,0,0,4368,40,0
356,"Elixir of Ogre's Strength",285,0,0,4388,60,0
357,"Lung Juice Cocktail",285,0,0,4404,76,0
358,"Spirit of Zanza",285,0,0,4338,10,0
359,"Elixir of Major Strength",285,0,0,4378,50,0
360,"Crystal Force",285,0,0,8067,107,0
361,"Noggenfogger Elixir",285,0,0,4406,78,0
362,"Murkweed Elixir",285,0,0,8090,88,0
363,"Elixir of Healing Power",285,0,0,4367,39,0
364,"Elixir of Major Firepower",285,0,0,4373,45,0
365,"Elixir of Major Frost Power",285,0,0,4375,47,0
366,"Elixir of Major Fortitude",285,0,0,4374,46,0
367,"Catseye Elixir",285,0,0,4343,15,0
368,"Elixir of Agility",285,0,0,4346,18,0
369,"Elixir of Dream Vision",285,0,0,4355,27,0
370,"Elixir of Firepower",285,0,0,4357,29,0
371,"Elixir of Greater Defense",285,0,0,4363,35,0
372,"Elixir of Greater Water Breathing",285,0,0,4366,38,0
373,"Elixir of Camouflage",285,0,0,4348,20,0
374,"Elixir of Detect Lesser Invisibility",285,0,0,4352,24,0
375,"Elixir of Mastery",285,0,0,4379,51,0
376,"Elixir of Mighty Fortitude",285,0,0,4382,54,0
377,"Elixir of Mighty Mageblood",285,0,0,4383,55,0
378,"Elixir of Minor Defense",285,0,0,4386,58,0
379,"Elixir of Minor Fortitude",285,0,0,4387,59,0
380,"Elixir of Superior Defense",285,0,0,4391,63,0
381,"Elixir of Toughness",285,0,0,4392,64,0
382,"Elixir of Water Breathing",285,0,0,4393,65,0
383,"Elixir of the Sages",285,0,0,4397,69,0
384,"Elixir of the Searching Eye",285,0,0,4398,70,0
385,"Gizzard Gum",285,0,0,4401,73,0
386,R.O.I.D.S.,285,0,0,4405,77,0
387,"Onslaught Elixir",285,0,0,4407,79,0
388,"Guru's Elixir",285,0,0,8080,98,0
389,"Elixir of Deep Earth",285,0,0,19156,1,0
390,"Elixir of the Cobra",285,0,0,19157,2,0
391,"Elixir of Impossible Accuracy",285,0,0,19158,3,0
392,"Elixir of the Master",285,0,0,19159,4,0
393,"Elixir of the Mighty Speed",285,0,0,19160,5,0
394,"Prismatic Elixir",285,0,0,19161,6,0
395,"Ghost Elixir",285,0,0,19162,7,0
396,"Elixir of the Naga",285,0,0,19163,8,0
398,"Total times LOL'd",0,0,5,0,0,0
399,laugh,398,0,0,3238,1,0
400,chuckle,398,0,0,7194,5,0
401,guffaw,398,0,0,7195,2,0
402,rofl,398,0,0,7196,3,0
403,giggle,398,0,0,7197,4,0
405,"Explore Teldrassil, revealing the covered areas of the world map.",0,0,4,0,0,0
406,"Starbreeze Village",405,1,0,1305,8,0
407,"The Oracle Glade",405,1,0,1306,9,0
408,"Wellspring Lake",405,1,0,1307,10,0
409,Darnassus,405,1,0,1308,11,0
410,"Lake Al'Ameth",405,1,0,1303,6,0
411,Shadowglen,405,1,0,1299,1,0
412,"Ban'ethil Hollow",405,1,0,1300,4,0
413,"Gnarlpine Hold",405,1,0,1302,5,0
414,"Rut'theran Village",405,1,0,1309,12,0
415,"Pools of Arlithrien",405,1,0,1304,7,0
416,"The Cleft",405,1,0,14088,2,0
417,Dolanaar,405,1,0,14089,3,0
419,"Win Warsong Gulch.",0,0,4,0,0,0
420,"Win Warsong Gulch",419,1,0,5899,1,2
422,"Complete 100 victories in Warsong Gulch.",0,0,4,0,0,0
423,"Complete 100 victories in Warsong Gulch",422,100,0,5899,1,1
425,"Defeat Pathaleon the Calculator on Heroic Difficulty.",0,0,4,0,0,0
426,"Pathaleon the Calculator",425,1,0,3720,1,2
428,"Kill Lor'themar Theron.",0,0,4,0,0,0
429,"Lor'themar Theron",428,1,0,483,1,2
431,"Raise your reputation level from unfriendly to exalted with Timbermaw Hold, Sporeggar and the Kurenai.",0,0,4,0,0,0
432,"Exalted with the Kurenai",431,42000,0,5337,2,0
433,"Exalted with the Sporeggar",431,42000,0,4757,3,0
434,"Exalted with Timbermaw Hold",431,42000,0,2014,1,0
436,"Obtain The Horseman's Reins from The Headless Horseman in the Scarlet Monastery during Hallow's End.",0,1,8,0,0,0
437,"Headless Horseman's Mount",436,0,0,6160,1,2
439,"Earned the title, ""Legionnaire"".",0,0,4,0,0,0
440,Legionnaire,439,0,0,713,1,2
448,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",0,0,4,0,0,0
449,/dance,448,1,0,4112,1,2
451,"Slay 15 turkeys in 3 minutes.",0,0,4,0,0,0
452,"15 Turkeys in 3 minutes",451,1,0,3821,1,2
454,"Enjoy a Buttermilk Delight with someone in Dalaran at a Romantic Picnic during the Love is in the Air celebration.",0,0,4,0,0,0
455,"Buttermilk Delight at Romantic Picnic",454,1,0,4071,1,2
456,"Romantic Picnic",454,1,0,5787,2,2
458,"First Aid skill",0,0,4,0,0,0
459,"First aid skill",458,525,0,5592,1,1
461,"Visit a Barber Shop and get your hair cut.",0,0,4,0,0,0
462,"Visit a barbershop and pay for using their services.",461,1,0,2341,1,2
464,"Shoot off 10 Love Rockets in 20 seconds or less.",0,0,4,0,0,0
465,"Shoot off 10 Love Rockets in 20 seconds or less",464,10,0,6295,1,1
927,"Portal to Stonard",921,0,0,5000,8,0
472,"Explore Zangarmarsh, revealing the covered areas of the world map.",0,0,4,0,0,0
473,"Quagg Ridge",472,1,0,1648,6,0
474,"The Lagoon",472,1,0,1651,9,0
475,Telredor,472,1,0,1649,7,0
476,"Cenarion Refuge",472,1,0,1611,1,0
477,"Feralfen Village",472,1,0,1612,3,0
478,"Umbrafen Village",472,1,0,1653,11,0
479,Sporeggar,472,1,0,1654,12,0
480,"Orebor Harborage",472,1,0,1657,15,0
481,"The Spawning Glen",472,1,0,1658,16,0
482,"Darkcrest Shore",472,1,0,1667,18,0
483,"The Dead Mire",472,1,0,1650,8,0
484,"Twin Spire Ruins",472,1,0,1652,10,0
485,"Ango'rosh Grounds",472,1,0,1610,2,0
486,"Marshlight Lake",472,1,0,1647,5,0
487,"Ango'rosh Stronghold",472,1,0,1655,13,0
488,"Bloodscale Grounds",472,1,0,1656,14,0
489,Zabra'jin,472,1,0,1659,17,0
490,"Hewn Bog",472,1,0,1613,4,0
492,"Explore Grizzly Hills, revealing the covered areas of the world map.",0,0,4,0,0,0
493,Voldrune,492,0,0,4187,10,0
494,"Granite Springs",492,0,0,4182,5,0
495,"Camp Oneqwah",492,0,0,4190,13,0
496,"Drak'Tharon Keep",492,0,0,4179,2,0
497,"Amberpine Lodge",492,0,0,4188,11,0
498,"Blue Sky Logging Grounds",492,0,0,4189,12,0
499,"Conquest Hold",492,0,0,4178,1,0
500,"Drakil'jin Ruins",492,0,0,4180,3,0
501,"Dun Argol",492,0,0,4181,4,0
502,Grizzlemaw,492,0,0,4183,6,0
503,"Rage Fang Shrine",492,0,0,4184,7,0
504,"Thor Modan",492,0,0,4185,8,0
505,"Venture Bay",492,0,0,4186,9,0
506,"Westfall Brigade Encampment",492,0,0,4191,14,0
509,"2200 rating",140638,2200,0,452,0,2
511,"Win Alterac Valley while your team controls both mines.",0,0,4,0,0,0
512,"Kobold Cave Owned",511,1,0,3388,1,2
513,"Trogg Cave Owned",511,1,0,3389,2,2
515,"Complete the Flame Keeper achievements.",0,0,4,0,0,0
516,"Flame Keeper of Kalimdor",515,0,0,3200,3,0
517,"Flame Keeper of Outland",515,0,0,3201,5,0
518,"Flame Keeper of Eastern Kingdoms",515,0,0,3199,2,0
519,"Flame Keeper of Cataclysm",515,0,0,18216,1,0
520,"Flame Keeper of Northrend",515,0,0,18217,4,0
522,"Wielder of Sulfuras, Hand of Ragnaros.",0,0,4,0,0,0
523,,522,1,0,12478,2,2
524,"Sulfuras, Hand of Ragnaros",522,1,0,318,1,2
526,"Gain exalted reputation with the Warsong Outriders.",0,0,4,0,0,0
527,"Exalted with Warsong Outriders",526,42000,0,5319,1,2
529,"Defeat Keli'dan the Breaker on Heroic Difficulty.",0,0,4,0,0,0
530,"Keli'dan the Breaker",529,1,0,3710,1,2
532,"5v5 victories",0,0,5,0,0,0
533,"Ruins of Lordaeron 5v5 Wins",532,0,0,8601,2,0
534,"Nagrand 5v5 Wins",532,0,0,8600,3,0
535,"Dalaran 5v5 Wins",532,0,0,8599,4,0
536,"Blade's Edge 5v5 Wins",532,0,0,5726,0,0
537,"Ring of Valor 5v5 Wins",532,0,0,8602,1,0
539,"2v2 matches",0,0,5,0,0,0
540,"Ring of Valor 2v2 Matches",539,0,0,8614,3,0
541,"Ruins of Lordaeron 2v2 Matches",539,0,0,8613,2,0
542,"Dalaran 2v2 Matches",539,0,0,8611,4,0
543,"nagrand 2v2 Matches",539,0,0,8612,1,0
544,"Blade's Edge 2v2 Matches",539,0,0,5725,0,0
546,"Most factions at Revered or higher",0,0,4,0,0,0
547,"Factions at revered",546,0,0,5299,1,0
549,"Get 10000 honorable kills.",0,0,4,0,0,0
550,"Get 10000 honorable kills",549,10000,0,13253,1,1
552,"Defeat Nefarian.",0,1,8,0,0,0
553,Nefarian,552,1,0,3273,1,2
554,"Therazane's Link",552,1,0,4564,5,2
555,"Boots of the Shadow Flame",552,1,0,4567,8,2
556,"Breastplate of Wrath",552,1,0,4578,19,2
557,"Archimtiros' Ring of Reckoning",552,1,0,4565,6,2
558,"Judgement Breastplate",552,1,0,4580,21,2
559,"Stormrage Chestguard",552,1,0,4581,22,2
560,"Robes of Transcendence",552,1,0,4584,25,2
561,"Ashkandi, Greatsword of the Brotherhood",552,1,0,4566,7,2
562,"Crul'shorukh, Edge of Chaos",552,1,0,4569,10,2
563,"The Lord of Blackrock",552,1,0,4447,2,2
564,"The Lord of Blackrock",552,1,0,4448,3,2
565,"Cloak of the Brood Lord",552,1,0,4568,9,2
566,"Lok'amir il Romathis",552,1,0,4570,11,2
567,"Neltharion's Tear",552,1,0,4572,13,2
568,"Staff of the Shadow Flame",552,1,0,4575,16,2
569,"Breastplate of Ten Storms",552,1,0,4577,18,2
570,"Dragonstalker's Breastplate",552,1,0,4579,20,2
571,"Nefarius's Corruption",552,1,0,4449,4,2
572,"Bloodfang Chestpiece",552,1,0,4576,17,2
573,"Prestor's Talisman of Connivery",552,1,0,4573,14,2
574,"Pure Elementium Band",552,1,0,4574,15,2
575,"Netherwind Robes",552,1,0,4583,24,2
576,"Mish'undare, Circlet of the Mind Flayer",552,1,0,4571,12,2
577,"Nemesis Robes",552,1,0,4582,23,2
579,"Defeat Ragnaros.",0,1,8,0,0,0
580,Ragnaros,579,1,0,3272,1,2
581,"Onslaught Girdle",579,1,0,4544,4,2
582,"Band of Sulfuras",579,1,0,4545,6,2
583,"Choker of the Fire Lord",579,1,0,4546,7,2
584,"Crown of Destruction",579,1,0,4549,10,2
585,"Leggings of Transcendence",579,1,0,4550,11,2
586,"Legplates of Wrath",579,1,0,4553,14,2
587,"Nemesis Leggings",579,1,0,4556,17,2
588,"Stormrage Legguards",579,1,0,4558,19,2
589,"Bloodfang Pants",579,1,0,4555,16,2
590,"Dragonstalker's Legguards",579,1,0,4551,12,2
591,"Judgement Legplates",579,1,0,4552,13,2
592,"The Only Prescription",579,1,0,4437,3,2
593,"Malistar's Defender",579,1,0,4559,20,2
594,"Cloak of the Shrouded Mists",579,1,0,4561,22,2
595,"Spinal Reaper",579,1,0,4563,24,2
596,"Band of Accuria",579,1,0,4560,21,2
597,"Dragon's Blood Cape",579,1,0,5055,25,2
598,"Essence of the Pure Flame",579,1,0,4547,8,2
599,"Perdition's Blade",579,1,0,4548,9,2
600,"Draconic for Dummies",579,1,0,7364,28,2
601,"Thunderfury, Blessed Blade of the Windseeker",579,1,0,8146,2,2
602,"Shard of the Flame",579,1,0,5056,26,2
603,"Legplates of Ten Storms",579,1,0,4554,15,2
604,"Essence of the Firelord",579,1,0,8893,27,2
605,"Netherwind Pants",579,1,0,4557,18,2
606,"Bonereaver's Edge",579,1,0,4562,23,2
