Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Create 500 Heavy Frostweave Bandages.","Stocking Up",,137,-1,-1,0,172,0,10,0,8,133674,2804,0
"Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.","Ultimate Triage",,141,-1,-1,0,172,1,10,0,10,134470,6753,0
"Fish up The Lurker Below in Serpentshrine Cavern.","The Lurker Above",,144,-1,-1,0,171,0,10,0,16,132107,2813,0
"Fish something up in Orgrimmar and Stormwind.","The Fishing Diplomat",,150,-1,-1,0,171,0,10,0,10,133146,1281,0
"Successfully fish from a school.","The Old Gnome and the Sea",,153,-1,-1,0,171,1,10,0,8,236573,609,0
"Win Arathi Basin.","Arathi Basin Victory",,154,529,-1,0,14802,0,10,0,1,236385,2065,0
"Complete 100 victories in Arathi Basin.","Arathi Basin Veteran",,155,529,-1,154,14802,0,10,0,2,236381,4715,0
"Win 10 Arathi Basin matches while controlling all 5 flags.","Territorial Dominance",,156,529,-1,0,14802,0,10,0,9,236386,117,0
"Come to the defense of a base in Arathi Basin 50 times by recapping the flag.","To The Rescue!",,157,529,-1,0,14802,0,10,0,7,132365,5243,0
"Take 50 flags in Arathi Basin.","Me and the Cappin' Makin' it Happen",,158,529,-1,0,14802,0,10,0,4,236373,1076,0
"Win Arathi Basin in 6 minutes.","Let's Get This Done",,159,529,-1,0,14802,0,10,0,10,236387,1079,0
"Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.","Resilient Victory",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Win Arathi Basin by 50 points or less.","We Had It All Along *cough*",,162,529,-1,0,14802,0,10,0,11,136165,129,0
"Win Arathi Basin with a score of 1600 to 0.","Arathi Basin Perfection",,165,529,-1,0,14802,0,20,0,3,236348,881,0
"Win Warsong Gulch.","Warsong Gulch Victory",,166,489,-1,0,14804,0,10,0,1,236396,419,0
"Complete 100 victories in Warsong Gulch.","Warsong Gulch Veteran",,167,489,-1,166,14804,0,10,0,2,236384,422,0
"Win Warsong Gulch with a score of 3 to 0.","Warsong Gulch Perfection",,168,489,-1,0,14804,0,10,0,8,236397,9102,0
"Enchanting formulae learned","Enchanting formulae learned",,178,-1,-1,0,173,0,0,1,6,136243,1285,0
"Items disenchanted","Items disenchanted",,181,-1,-1,0,173,0,0,1,8,136243,146,0
"Materials produced from disenchanting","Materials produced from disenchanting",,183,-1,-1,0,173,0,0,1,7,136243,2339,0
"Largest heal cast","Largest heal cast",,189,-1,-1,0,141,0,0,1,5,0,2038,0
"Largest hit dealt","Largest hit dealt",,193,-1,-1,0,141,0,0,1,1,0,2041,0
"Total damage done","Total damage done",,197,-1,-1,0,141,0,0,1,3,0,8207,0
"Total healing done","Total healing done",,198,-1,-1,0,141,0,0,1,7,0,14968,0
"Personally carry and capture the flag in Warsong Gulch.","Capture the Flag",,199,489,-1,0,14804,0,10,0,3,236350,3500,0
"Return 50 flags as a defender in Warsong Gulch.","Persistent Defender",,200,489,-1,0,14804,0,10,0,4,236355,2383,0
"Win Warsong Gulch in under 7 minutes.","Warsong Expedience",,201,489,-1,0,14804,0,10,0,9,236398,8437,0
"Grab the flag and capture it in under 75 seconds.","Quick Cap",,202,489,1,0,14804,0,10,0,16,236353,2342,0
"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.","Not In My House",,203,489,1,0,14804,0,10,0,14,236362,2077,0
"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",Ironman,,204,489,-1,0,14804,0,10,0,10,236344,3655,0
"Kill 100 flag carriers in Warsong Gulch.","Supreme Defender",,206,489,1,0,14804,0,10,0,6,236360,3409,0
"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.","Save The Day",,207,489,-1,0,14804,1,10,0,18,132308,13704,0
"Win Eye of the Storm.","Eye of the Storm Victory",,208,566,-1,0,14803,0,10,0,1,236392,1763,0
"Complete 100 victories in Eye of the Storm.","Eye of the Storm Veteran",,209,566,-1,208,14803,0,10,128,2,236383,1766,0
"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.","Storm Glory",,211,566,-1,0,14803,0,10,0,12,236354,183,0
"Personally carry and capture the flag in Eye of the Storm.","Storm Capper",,212,566,-1,0,14803,0,10,0,7,236349,5265,0
"Kill 5 flag carriers in a single Eye of the Storm battle.",Stormtrooper,,213,566,-1,0,14803,0,10,0,6,236359,5778,0
"Win Eye of the Storm in under 6 minutes.",Flurry,,214,566,-1,0,14803,0,10,0,5,236393,3145,0
"In a single Eye of the Storm match, capture the flag 3 times without dying.","Bound for Glory",,216,566,-1,0,14803,0,10,0,8,135739,5268,0
"Win Alterac Valley.","Alterac Valley Victory",,218,30,-1,0,14801,0,10,0,1,236388,6278,0
"Complete 100 victories in Alterac Valley.","Alterac Valley Veteran",,219,30,-1,218,14801,0,10,0,2,236382,3874,0
"Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.","Stormpike Perfection",,220,30,1,0,14801,0,20,0,11,133431,3823,0
"Take 50 graveyards in Alterac Valley.","Alterac Grave Robber",,221,30,-1,0,14801,0,10,0,3,236399,186,0
"Defend 50 towers in Alterac Valley.","Tower Defense",,222,30,-1,0,14801,0,10,0,4,236351,3358,0
"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.","The Sickly Gazelle",,223,30,-1,0,14801,0,10,0,10,236361,3412,0
"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.","Loyal Defender",,224,30,0,0,14801,0,10,0,5,236368,4479,0
"Win Alterac Valley while your team controls both mines.","Everything Counts",,225,30,1,0,14801,0,10,0,7,236389,3835,0
"Win Alterac Valley in 6 minutes.","The Alterac Blitz",,226,30,-1,0,14801,0,20,0,9,236390,7771,0
"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.","Damage Control",,227,-1,-1,0,95,1,10,0,56,236374,990,0
"Get 30 Honorable Kills in a single battle in any battleground.","The Grim Reaper",,229,-1,-1,0,95,1,10,0,51,136177,914,0
"Complete the battleground achievements listed below.",Battlemaster,"Title Reward: Battlemaster",230,-1,1,0,95,0,50,143360,60,236591,4965,0
"Get 20 killing blows without dying in a single battle in any battleground.","Wrecking Ball",,231,-1,-1,0,95,1,10,0,57,132364,3855,0
"Get a killing blow while under the effects of the berserker buff in Eye of the Storm.","Bloodthirsty Berserker",,233,566,-1,0,14803,0,10,0,11,136012,5215,0
"Achieve an honorable kill.","An Honorable Kill",,238,-1,-1,0,95,0,10,0,17,236647,5218,0
"Get 25000 honorable kills.","25000 Honorable Kills",,239,-1,-1,509,95,0,10,135168,23,236657,5221,0
"Get an honorable, killing blow on one of each class.","That Takes Class",,245,-1,-1,0,95,0,10,0,28,132092,6934,0
"Get an honorable, killing blow on seven different races.","Know Thy Enemy",,246,-1,1,0,95,0,10,0,29,132155,6264,0
"Emote /hug on a dead enemy before they release corpse.","Make Love, Not Warcraft",,247,-1,-1,0,95,0,10,0,31,135767,8295,0
"Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.","Sunday's Finest",,248,-1,-1,0,159,0,10,0,4,135012,8291,0
"Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.","Dressed for the Occasion",,249,-1,-1,0,159,0,10,0,5,132645,4669,0
"Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.","With a Little Helper from My Friends",,252,-1,-1,0,156,0,10,128,2,236703,4724,0
"Kill the Headless Horseman.","Bring Me The Head of... Oh Wait",,255,-1,-1,0,158,0,10,0,3,134015,1673,0
"Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.",Scrooge,,259,-1,0,0,156,1,10,0,3,132387,20082,0
"Create 12 Lovely Charm Bracelets.",Charming,,260,-1,-1,0,187,0,10,0,2,133334,2103,0
"Slay Ahune in the Slave Pens.","Ice the Frost Lord",,263,-1,-1,0,161,1,10,0,1,135861,5612,0
"Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.","Burning Hot Pole Dance",,271,-1,-1,0,161,0,10,0,2,236216,7608,0
"Juggle 40 torches in 15 seconds in Dalaran, Stormwind, Ironforge, Orgrimmar, or Undercity.","Torch Juggler",,272,-1,-1,0,161,0,10,0,32,135433,2097,0
"Save Metzen the Reindeer.","On Metzen!",,273,-1,-1,0,156,1,10,0,1,236707,5556,0
"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.","Veteran Nanny",,275,-1,-1,0,163,0,50,131072,7,134505,3662,0
"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.","'Tis the Season",,277,-1,-1,0,156,0,10,0,6,132934,4076,0
"Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.","Simply Abominable",,279,-1,-1,0,156,1,10,0,8,133170,14224,0
"First Aid skill","First Aid skill",,281,-1,-1,0,178,0,0,1,5,136243,458,0
"Get transformed by the Hallowed Wands listed below.","The Masquerade",,283,-1,-1,0,158,0,10,0,12,236548,4423,0
"Collect the 24 unique Masks listed below.","A Mask for All Occasions",,284,-1,-1,0,158,0,20,0,6,133567,3964,0
"Eat so many Tricky Treats that you get an upset tummy.","Out With It",,288,-1,-1,0,158,0,10,0,2,136182,9018,0
"Complete one of the quests to save a village from the Headless Horseman.","The Savior of Hallow's End",,289,-1,-1,0,158,1,10,0,4,236545,3849,0
"Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.","Check Your Head",,291,-1,-1,0,158,0,10,0,11,133661,8,0
"Obtain a Sinister Squashling pet and Hallowed Helm from the Hallow's end world events .","Sinister Calling",,292,-1,-1,0,158,0,10,0,13,236547,5513,0
"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.","Disturbing the Peace",,293,571,-1,0,162,0,10,0,10,133696,448,0
"Kill Coren Direbrew.",Direbrewfest,,295,230,-1,0,162,0,10,0,8,134159,3232,0
"Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.","Have Keg, Will Travel",,303,-1,-1,0,162,1,10,131072,11,132620,842,0
"Win first, second, or third place in the Booty Bay fishing contest.","Master Angler of Azeroth",,306,-1,-1,0,171,1,20,0,11,133892,4432,0
,"Total deaths from opposite faction",,318,-1,-1,0,21,0,0,1,2,136243,4712,0
"Duels won","Duels won",,319,-1,-1,0,154,0,0,1,1,136243,8204,0
"Duels lost","Duels lost",,320,-1,-1,0,154,0,0,1,2,136243,22,0
"Total raid and dungeon deaths","Total raid and dungeon deaths",,321,-1,-1,0,125,0,0,1,1,0,12717,0
"Gold from quest rewards","Gold from quest rewards",,326,-1,-1,0,140,0,0,1,4,136243,10543,0
"Total gold acquired","Total gold acquired",,328,-1,-1,0,140,0,0,9,1,136243,2744,0
"Auctions posted","Auctions posted",,329,-1,-1,0,140,0,0,1,6,136243,15895,0
"Auction purchases","Auction purchases",,330,-1,-1,0,140,0,0,1,7,136243,2083,0
"Most expensive bid on auction","Most expensive bid on auction",,331,-1,-1,0,140,0,0,1,8,136243,264,0
"Most expensive auction sold","Most expensive auction sold",,332,-1,-1,0,140,0,0,1,9,136243,2750,0
"Gold looted","Gold looted",,333,-1,-1,0,140,0,0,1,3,136243,2753,0
"Most gold ever owned","Most gold ever owned",,334,-1,-1,0,140,0,0,1,15,136243,2,0
"Vanity pets owned","Vanity pets owned",,338,-1,-1,0,15219,0,0,1,1,0,5294,0
"Mounts owned","Mounts owned",,339,-1,-1,0,191,0,0,1,4,0,5,0
"Epic items looted","Epic items looted",,341,-1,-1,0,191,0,0,1,3,0,4036,0
"Epic items acquired","Epic items acquired",,342,-1,-1,0,191,0,0,1,2,0,2470,0
"Bandages used","Bandages used",,344,-1,-1,0,145,0,0,9,1,136243,1930,0
"Health potions consumed","Health potions consumed",,345,-1,-1,0,145,0,0,9,4,136243,5882,0
"Beverages consumed","Beverages consumed",,346,-1,-1,0,145,0,0,1,16,136243,5924,0
"Food eaten","Food eaten",,347,-1,-1,0,145,0,0,9,19,136243,15901,0
"Flight paths taken","Flight paths taken",,349,-1,-1,0,134,0,0,1,1,136243,2442,0
"Mage Portals taken","Mage Portals taken",,350,-1,-1,0,134,0,0,1,3,136243,921,0
"Number of times hearthed","Number of times hearthed",,353,-1,-1,0,134,0,0,1,5,136243,123802,0
"5v5 victories","5v5 victories",,362,-1,-1,0,152,0,0,1,4,136243,532,0
"5v5 matches","5v5 matches",,363,-1,-1,0,152,0,0,1,3,136243,6137,0
"3v3 victories","3v3 victories",,364,-1,-1,0,152,0,0,1,6,136243,2445,0
"3v3 matches","3v3 matches",,365,-1,-1,0,152,0,0,1,5,136243,6144,0
"2v2 victories","2v2 victories",,366,-1,-1,0,152,0,0,1,8,136243,6151,0
"2v2 matches","2v2 matches",,367,-1,-1,0,152,0,0,1,7,136243,539,0
,"Highest 2 man personal rating",,370,-1,-1,0,152,0,0,1,25,136243,10139,0
,"Highest 2 man team rating",,374,-1,-1,0,152,0,0,524289,28,136243,4040,0
"Most factions at Exalted","Most factions at Exalted",,377,-1,-1,0,147,0,0,1,1,0,4233,0
"Most factions at Revered or higher","Most factions at Revered or higher",,378,-1,-1,0,147,0,0,1,2,0,546,0
"World Honorable Kills","World Honorable Kills",,381,-1,-1,0,136,0,0,9,2,136243,6158,0
"Battleground Honorable Kills","Battleground Honorable Kills",,382,-1,-1,0,136,0,0,1,5,136243,973,0
"Arena Honorable Kills","Arena Honorable Kills",,383,-1,-1,0,136,0,0,1,4,136243,983,0
"Kill 50 enemy players in any of your home cities.","City Defender",,388,-1,1,0,95,0,10,128,34,236593,4372,0
"Loot the Arena Master trinket from the Gurubashi Arena.","Gurubashi Arena Master",,389,-1,-1,0,95,1,10,0,32,133608,8047,0
"Alterac Valley towers defended","Alterac Valley towers defended",,393,-1,-1,0,153,0,0,1,28,136243,2474,0
"Alterac Valley towers captured","Alterac Valley towers captured",,394,-1,-1,0,153,0,0,1,29,136243,9924,0
"Warsong Gulch flags captured","Warsong Gulch flags captured",,395,-1,-1,0,153,0,0,1,32,136243,4043,0
"Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.","Gurubashi Arena Grand Master",,396,-1,-1,0,95,1,10,0,33,133599,7014,0
"Win a ranked arena match.","Step Into The Arena",,397,-1,-1,0,165,0,10,0,1,236543,2671,0
"Win 100 ranked arena matches.","Mercilessly Dedicated",,398,-1,-1,397,165,0,10,0,2,236534,2674,0
"Earn a 1550 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1550",,399,-1,-1,0,165,0,10,0,6,236323,140616,0
"Earn a 1750 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 1750",,400,-1,-1,399,165,0,10,0,7,236326,140618,0
"Earn a 2000 personal rating in the 2v2 bracket of the arena.","Just the Two of Us: 2000",,401,-1,-1,400,165,0,10,0,8,236327,140620,0
"Earn a 1550 personal rating in the 3v3 bracket of the arena.","Three's Company: 1550",,402,-1,-1,0,165,0,10,0,10,236330,140624,0
"Earn a 1750 personal rating in the 3v3 bracket of the arena.","Three's Company: 1750",,403,-1,-1,402,165,0,10,0,11,236333,140626,0
"Earn a 2000 personal rating in the 5v5 bracket of the arena.","High Five: 2000",,404,-1,-1,407,165,0,10,0,18,236341,140636,0
"Earn a 2000 personal rating in the 3v3 bracket of the arena.","Three's Company: 2000",,405,-1,-1,403,165,0,10,0,12,236334,140628,0
"Earn a 1550 personal rating in the 5v5 bracket of the arena.","High Five: 1550",,406,-1,-1,0,165,0,10,0,16,236337,140632,0
"Earn a 1750 personal rating in the 5v5 bracket of the arena.","High Five: 1750",,407,-1,-1,406,165,0,10,0,17,236340,140634,0
"Win ten ranked matches in a row.","Hot Streak",,408,-1,-1,0,165,0,10,0,20,135805,10115,0
"Be the sole survivor at the end of a ranked 5v5 match.","Last Man Standing",,409,-1,-1,0,165,0,10,0,22,135981,0,0
"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",Murky,,411,-1,-1,0,81,1,0,131072,134,132834,4398,0
"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.","Murloc Costume",,412,-1,-1,0,81,1,0,0,136,134169,4046,0
"Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.","Tyrael's Hilt",,414,-1,-1,0,81,1,0,131072,139,135277,1119,0
"Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.","Big Blizzard Bear",,415,-1,-1,0,81,1,0,131072,137,298586,1043,0
"Opened the gates of Ahn'Qiraj.","Scarab Lord",,416,-1,-1,0,81,0,0,0,248,236829,1735,0
"Achieved Merciless Gladiator title.","Merciless Gladiator: Season 2","Title Reward: Merciless Gladiator",418,-1,-1,15199,81,0,0,2048,383,236534,2936,0
"Achieved Vengeful Gladiator title.","Vengeful Gladiator: Season 3","Title Reward: Vengeful Gladiator",419,-1,-1,15204,81,0,0,2048,388,236535,189,0
"Achieved Brutal Gladiator title.","Brutal Gladiator: Season 4","Title Reward: Brutal Gladiator",420,-1,-1,15200,81,0,0,2048,393,236536,4217,0
"Obtain a Red Qiraji Resonating Crystal.","Why? Because It's Red",,424,-1,-1,0,81,1,0,131072,213,134396,3753,0
"Wielder of Atiesh, Greatstaff of the Guardian.","Atiesh, Greatstaff of the Guardian",,425,-1,-1,0,81,1,0,0,220,135226,3394,0
"Wielder of a set of Warglaives of Azzinoth.","Warglaives of Azzinoth",,426,-1,-1,0,81,0,0,0,224,135561,1875,0
"Wielder of Thunderfury, Blessed Blade of the Windseeker.","Thunderfury, Blessed Blade of the Windseeker",,428,-1,-1,0,81,0,0,0,218,135349,3756,0
"Wielder of Sulfuras, Hand of Ragnaros.","Sulfuras, Hand of Ragnaros",,429,-1,-1,0,81,0,0,0,215,133066,522,0
"Owner of Amani War Bear.","Amani War Bear",,430,-1,-1,0,81,1,0,131072,211,132117,3254,0
"Earned the title, ""Hand of A'dal"".","Hand of A'dal",,431,-1,-1,0,81,0,0,0,180,133502,2243,0
"Earned the title, ""Champion of the Naaru"".","Champion of the Naaru",,432,-1,-1,0,81,0,0,0,179,133531,6551,0
"Earned the title, ""Grand Marshal"".","Grand Marshal",,433,-1,1,0,81,0,0,0,178,236590,80,0
"Earned the title, ""Field Marshal"".","Field Marshal",,434,-1,1,0,81,0,0,0,177,236589,5517,0
"Earned the title, ""Commander"".",Commander,,435,-1,1,0,81,0,0,0,175,236587,3142,0
"Earned the title, ""Lieutenant Commander"".","Lieutenant Commander",,436,-1,1,0,81,0,0,0,174,236586,83,0
"Earned the title, ""Knight-Champion"".",Knight-Champion,,437,-1,1,0,81,0,0,0,173,236585,6353,0
"Earned the title, ""Knight-Captain"".",Knight-Captain,,438,-1,1,0,81,0,0,0,172,236584,2477,0
"Earned the title, ""Knight"".",Knight,,439,-1,1,0,81,0,0,0,170,236582,86,0
"Earned the title, ""Sergeant Major"".","Sergeant Major",,440,-1,1,0,81,0,0,0,169,236581,2226,0
"Earned the title, ""Master Sergeant"".","Master Sergeant",,441,-1,1,0,81,0,0,0,168,236580,3699,0
"Earned the title, ""Private"".",Private,,442,-1,1,0,81,0,0,0,164,236577,6659,0
"Earned the title, ""High Warlord"".","High Warlord",,443,-1,0,0,81,0,0,0,163,236625,2229,0
"Earned the title, ""Lieutenant General"".","Lieutenant General",,444,-1,0,0,81,0,0,0,160,236622,5649,0
"Earned the title, ""Warlord"".",Warlord,,445,-1,0,0,81,0,0,0,162,236624,279,0
"Earned the title, ""General"".",General,,446,-1,0,0,81,0,0,0,161,236623,282,0
"Earned the title, ""Champion"".",Champion,,447,-1,0,0,81,0,0,0,159,236621,6350,0
"Earned the title, ""Centurion"".",Centurion,,448,-1,0,0,81,0,0,0,157,236620,2232,0
