ID,ConduitType,CovenantID,SpecSetID,Flags
107,1,0,33,1
108,2,0,43,1
109,1,0,12,1
110,1,0,12,1
111,1,0,12,1
112,1,0,12,1
113,1,0,33,1
114,1,0,33,1
115,1,0,33,1
116,1,0,32,1
117,1,0,4,1
118,1,0,4,1
119,1,0,4,1
120,1,0,4,1
121,2,0,5,1
122,1,0,6,1
123,1,0,5,1
124,1,0,7,1
125,1,0,7,1
126,1,2,43,1
127,1,4,43,1
128,1,1,43,1
129,2,0,30,1
130,2,0,8,1
131,2,0,8,1
132,2,0,8,1
133,2,0,30,1
134,0,0,8,1
135,0,0,8,1
137,1,1,163,1
138,0,0,8,1
139,1,2,163,1
140,1,3,163,1
141,2,0,30,1
142,0,0,30,1
143,1,4,163,1
144,0,0,167,1
145,0,0,8,1
146,1,1,13,1
147,1,4,13,1
148,1,3,13,1
149,1,2,13,1
150,1,0,9,1
151,1,0,9,1
152,1,0,9,1
153,1,0,8,1
154,1,1,168,1
157,2,0,163,1
158,1,4,168,1
159,0,0,30,1
160,2,0,167,1
161,0,0,30,1
162,2,0,167,1
163,0,0,30,1
164,1,0,29,1
165,1,2,168,1
166,2,0,163,1
167,1,0,29,1
168,0,0,167,1
169,1,0,40,1
170,2,0,163,1
171,0,0,167,1
172,1,0,10,1
173,2,0,163,1
174,1,0,37,1
175,0,0,163,1
176,1,0,29,1
177,1,0,27,1
178,0,0,163,1
179,2,0,10,1
180,2,0,10,1
181,0,0,163,1
182,1,0,29,1
183,1,0,44,1
184,1,0,27,1
185,1,0,44,1
186,1,0,42,1
187,1,1,8,1
188,1,0,14,1
189,1,0,14,1
190,1,3,168,1
191,0,0,168,1
192,1,0,14,1
193,1,0,27,1
194,1,0,27,1
195,1,0,28,1
196,1,0,28,1
197,2,0,28,1
198,1,2,8,1
199,1,0,14,1
200,1,4,8,1
201,1,0,37,1
202,1,0,37,1
203,1,0,37,1
204,1,0,39,1
205,1,0,39,1
206,1,0,39,1
207,1,0,39,1
208,1,0,38,1
209,2,0,28,1
210,1,3,30,1
211,1,0,38,1
212,1,0,38,1
213,1,4,30,1
214,1,0,38,1
215,1,2,30,1
216,1,1,30,1
217,1,1,167,1
218,1,4,167,1
219,1,2,167,1
220,1,3,167,1
221,0,0,167,1
222,2,0,167,1
223,1,0,44,1
224,1,0,20,1
225,1,1,165,1
226,1,0,20,1
227,1,4,165,1
228,1,3,165,1
229,1,2,165,1
230,2,0,165,1
231,2,0,165,1
232,2,0,165,1
233,0,0,165,1
234,0,0,165,1
235,0,0,165,1
236,0,0,165,1
237,1,0,34,1
238,1,0,34,1
239,1,0,34,1
240,1,0,34,1
241,1,0,35,1
242,1,0,35,1
243,1,0,35,1
244,1,0,35,1
245,1,0,36,1
246,1,0,36,1
247,1,0,36,1
248,1,0,36,1
249,1,0,23,1
250,1,3,43,1
251,1,0,20,1
252,1,0,20,1
253,1,0,44,1
254,2,0,48,1
255,2,0,48,1
256,2,0,48,1
257,0,0,48,1
258,0,0,48,1
259,0,0,48,1
260,0,0,48,1
261,1,0,15,1
262,1,0,15,1
263,1,0,15,1
264,1,0,15,1
265,1,0,16,1
266,1,0,16,1
267,1,0,16,1
268,1,0,16,1
269,1,0,17,1
270,1,0,17,1
271,2,0,48,1
272,2,0,17,1
273,1,0,18,1
274,1,0,18,1
275,1,0,18,1
276,1,0,18,1
277,1,1,48,1
278,1,4,48,1
279,1,3,48,1
280,1,2,48,1
281,1,3,8,1
282,0,0,163,1
283,2,0,2,1
284,1,0,1,1
285,0,0,170,1
286,0,0,170,1
287,0,0,170,1
288,2,0,170,1
289,2,0,170,1
290,2,0,170,1
291,1,0,170,1
292,1,0,170,1
293,1,0,170,1
294,1,0,170,1
