q(1, 1.12.1.10772)
q(120, 1.11.1.10772)
q(121, 1.11.1.10772)
q(122, 1.11.1.10958)
q(123, 1.11.1.10772)
q(124, 1.11.1.10958)
q(125, 1.11.1.10958)
q(126, 1.11.1.10958)
q(127, 1.11.1.10958)
q(128, 1.11.1.10958)
q(129, 1.11.1.10772)
q(130, 1.11.1.10772)
q(131, 1.11.1.10772)
q(132, 1.11.1.10772)
q(133, 1.11.1.10958)
q(134, 1.11.1.10958)
q(135, 1.11.1.10772)
q(136, 1.11.1.10772)
q(137, 1.12.1.10772)
q(138, 1.11.1.10772)
q(139, 1.11.1.10772)
q(140, 1.11.1.10772)
q(141, 1.11.1.10772)
q(142, 1.11.1.10958)
q(143, 1.11.1.10772)
q(144, 1.11.1.10772)
q(145, 1.11.1.10772)
q(146, 1.11.1.10772)
q(147, 1.11.1.10958)
q(148, 1.11.1.10772)
q(149, 1.11.1.10772)
q(150, 1.11.1.10958)
q(151, 1.11.1.10958)
q(152, 1.11.1.10958)
q(153, 1.11.1.10958)
q(154, 1.11.1.10772)
q(155, 1.11.1.10958)
q(156, 1.11.1.10772)
q(157, 1.11.1.10772)
q(158, 1.11.1.10772)
q(159, 1.11.1.10772)
q(160, 1.11.1.10772)
q(161, 1.11.1.10958)
q(162, 1.11.1.10772)
q(163, 1.11.1.10772)
q(164, 1.11.1.10772)
q(165, 1.11.1.10772)
q(166, 1.11.1.10958)
q(167, 1.11.1.10772)
q(168, 1.11.1.10772)
q(169, 1.11.1.10958)
q(170, 1.11.1.10676)
q(171, 1.11.1.10772)
q(172, 1.11.1.10772)
q(173, 1.11.1.10772)
q(174, 1.11.1.10772)
q(175, 1.11.1.10772)
q(176, 1.11.1.10958)
q(177, 1.11.1.10772)
q(178, 1.11.1.10958)
q(179, 1.11.1.10676)
q(180, 1.11.1.10958)
q(181, 1.11.1.10772)
q(182, 1.11.1.10676)
q(183, 1.11.1.10676)
q(184, 1.11.1.10772)
q(185, 1.11.1.10772)
q(186, 1.11.1.10772)
q(187, 1.11.1.10623)
q(188, 1.11.1.10676)
q(189, 1.11.1.10958)
q(190, 1.11.1.10772)
q(191, 1.11.1.10772)
q(192, 1.11.1.10623)
q(193, 1.11.1.10676)
q(194, 1.11.1.10623)
q(195, 1.11.1.10676)
q(196, 1.11.1.10676)
q(197, 1.11.1.10676)
q(198, 1.11.1.10958)
q(199, 1.11.1.10772)
q(200, 1.11.1.10958)
q(201, 1.11.1.10958)
q(202, 1.11.1.10958)
q(203, 1.11.1.10958)
q(204, 1.11.1.10958)
q(205, 1.11.1.10958)
q(206, 1.11.1.10958)
q(207, 1.11.1.10958)
q(208, 1.11.1.10676)
q(209, 1.11.1.10958)
q(210, 1.11.1.10958)
q(211, 1.11.1.10772)
q(212, 1.11.1.10772)
q(213, 1.11.1.10958)
q(214, 1.11.1.10772)
q(215, 1.11.1.10958)
q(216, 1.11.1.10958)
q(217, 1.11.1.10958)
q(218, 1.11.1.10676)
q(219, 1.11.1.10958)
q(220, 1.11.1.11403)
q(221, 1.11.1.10772)
q(222, 1.11.1.10772)
q(223, 1.11.1.10772)
q(224, 1.11.1.10772)
q(225, 1.11.1.10772)
q(226, 1.11.1.10958)
q(227, 1.11.1.10772)
q(228, 1.11.1.10772)
q(229, 1.11.1.10772)
q(230, 1.11.1.10772)
q(231, 1.11.1.10772)
q(232, 1.11.1.10772)
q(233, 1.11.1.10958)
q(234, 1.11.1.10958)
q(235, 1.11.1.10772)
q(236, 1.12.1.11573)
q(237, 1.11.1.10772)
q(238, 1.11.1.10772)
q(239, 1.11.1.10772)
q(240, 1.11.1.10772)
q(241, 1.12.1.10772)
q(242, 1.12.1.10772)
q(243, 1.11.1.10772)
q(244, 1.11.1.10958)
q(245, 1.11.1.10772)
q(246, 1.11.1.10958)
q(247, 1.11.1.10772)
q(248, 1.11.1.10958)
q(249, 1.11.1.10958)
q(250, 1.11.1.10772)
q(251, 1.11.1.10772)
q(252, 1.11.1.10772)
q(253, 1.11.1.10772)
q(254, 1.11.1.10772)
q(255, 1.11.1.10772)
q(256, 1.11.1.10772)
q(257, 1.11.1.10958)
q(258, 1.11.1.10958)
q(259, 1.12.1.9183)
q(260, 1.12.1.10772)
q(261, 1.11.1.10958)
q(262, 1.11.1.10772)
q(263, 1.11.1.10958)
q(264, 1.11.1.25864)
q(265, 1.11.1.10772)
q(266, 1.11.1.10772)
q(267, 1.11.1.10772)
q(268, 1.11.1.10772)
q(269, 1.11.1.10772)
q(270, 1.11.1.10772)
q(271, 1.11.1.10958)
q(272, 1.11.1.10772)
q(273, 1.11.1.10958)
q(274, 1.11.1.10958)
q(275, 1.11.1.10958)
q(276, 1.11.1.10958)
q(277, 1.11.1.10958)
q(278, 1.11.1.10772)
q(279, 1.11.1.10958)
q(280, 1.11.1.10772)
q(281, 1.11.1.10772)
q(282, 1.11.1.10772)
q(283, 1.11.1.10772)
q(284, 1.11.1.10772)
q(285, 1.11.1.10772)
q(286, 1.11.1.10958)
q(287, 1.11.1.10676)
q(288, 1.11.1.10958)
q(289, 1.11.1.10958)
q(290, 1.11.1.10958)
q(291, 1.11.1.10772)
q(292, 1.11.1.10958)
q(293, 1.11.1.10772)
q(294, 1.11.1.10772)
q(295, 1.11.1.10772)
q(296, 1.11.1.10772)
q(297, 1.11.1.10772)
q(298, 1.11.1.10772)
q(299, 1.11.1.10772)
q(301, 1.11.1.10772)
q(302, 1.11.1.10958)
q(303, 1.11.1.10958)
q(304, 1.11.1.10958)
q(305, 1.11.1.10772)
q(306, 1.11.1.10958)
q(307, 1.11.1.10958)
q(308, 1.11.1.10772)
q(309, 1.11.1.10772)
q(310, 1.11.1.10772)
q(311, 1.11.1.10772)
q(312, 1.11.1.10772)
q(313, 1.11.1.10958)
q(314, 1.11.1.10772)
q(315, 1.11.1.10772)
q(316, 1.12.1.10772)
q(317, 1.11.1.10676)
q(318, 1.11.1.10772)
q(319, 1.11.1.10772)
q(320, 1.11.1.10772)
q(321, 1.11.1.10772)
q(322, 1.11.1.10772)
q(323, 1.11.1.10958)
q(324, 1.11.1.10958)
q(325, 1.11.1.10772)
q(326, 1.12.1.10772)
q(327, 1.12.1.10772)
q(328, 1.11.1.10958)
q(329, 1.11.1.10958)
q(330, 1.11.1.10958)
q(331, 1.11.1.10958)
q(332, 1.11.1.25860)
q(333, 1.11.1.10772)
q(334, 1.11.1.25864)
q(335, 1.11.1.10772)
q(336, 1.11.1.10772)
q(337, 1.11.1.10772)
q(338, 1.11.1.10623)
q(339, 1.11.1.10623)
q(340, 1.11.1.10772)
q(341, 1.11.1.10623)
q(342, 1.11.1.10623)
q(343, 1.11.1.10772)
q(344, 1.11.1.10772)
q(345, 1.11.1.10772)
q(346, 1.11.1.10772)
q(347, 1.11.1.10772)
q(348, 1.11.1.10958)
q(349, 1.11.1.10676)
q(350, 1.11.1.10772)
q(351, 1.11.1.10772)
q(352, 1.12.1.10772)
q(353, 1.11.1.10772)
q(354, 1.11.1.10772)
q(355, 1.11.1.10772)
q(356, 1.11.1.10772)
q(357, 1.11.1.10772)
q(358, 1.11.1.10772)
q(359, 1.11.1.10772)
q(360, 1.11.1.10772)
q(361, 1.11.1.10772)
q(362, 1.11.1.10772)
q(363, 1.11.1.10772)
q(364, 1.11.1.10772)
q(365, 1.11.1.10772)
q(366, 1.11.1.10772)
q(367, 1.11.1.10772)
q(368, 1.11.1.10772)
q(369, 1.11.1.10772)
q(370, 1.11.1.10772)
q(371, 1.11.1.10772)
q(372, 1.11.1.10772)
q(373, 1.11.1.10772)
q(374, 1.11.1.10772)
q(375, 1.11.1.10772)
q(376, 1.11.1.10772)
q(377, 1.11.1.10772)
q(378, 1.11.1.10958)
q(379, 1.11.1.10958)
q(380, 1.11.1.10772)
q(381, 1.11.1.10772)
q(382, 1.11.1.10958)
q(383, 1.11.1.10772)
q(384, 1.11.1.10958)
q(385, 1.11.1.10772)
q(386, 1.11.1.10958)
q(387, 1.11.1.10772)
q(388, 1.11.1.11403)
q(389, 1.11.1.10772)
q(390, 1.12.1.10772)
q(391, 1.11.1.10772)
q(392, 1.11.1.10772)
q(393, 1.11.1.10772)
q(394, 1.11.1.10772)
q(395, 1.11.1.10772)
q(396, 1.11.1.10772)
q(397, 1.11.1.10772)
q(398, 1.11.1.10772)
q(399, 1.11.1.10772)
q(400, 1.11.1.10772)
q(401, 1.11.1.10772)
q(402, 1.12.1.10772)
q(403, 1.11.1.10772)
q(404, 1.11.1.10772)
q(405, 1.11.1.10772)
q(406, 1.12.1.10772)
q(407, 1.11.1.10772)
q(408, 1.11.1.10772)
q(409, 1.11.1.10772)
q(410, 1.11.1.10772)
q(411, 1.11.1.10772)
q(412, 1.11.1.10772)
q(413, 1.11.1.10772)
q(414, 1.11.1.10958)
q(415, 1.11.1.10772)
q(416, 1.11.1.10772)
q(417, 1.11.1.10772)
q(418, 1.11.1.10772)
q(419, 1.11.1.10772)
q(420, 1.11.1.10772)
q(421, 1.11.1.10772)
q(422, 1.11.1.10772)
q(423, 1.11.1.10772)
q(424, 1.11.1.10772)
q(425, 1.11.1.10772)
q(426, 1.11.1.10772)
q(427, 1.11.1.10772)
q(428, 1.11.1.10772)
q(429, 1.11.1.10772)
q(430, 1.11.1.10772)
q(431, 1.11.1.10772)
q(432, 1.11.1.10772)
q(433, 1.11.1.10772)
q(434, 1.11.1.10772)
q(435, 1.11.1.10772)
q(436, 1.11.1.10772)
q(437, 1.11.1.10772)
q(438, 1.11.1.10772)
q(439, 1.11.1.10772)
q(440, 1.11.1.10772)
q(441, 1.11.1.10772)
q(442, 1.11.1.10772)
q(443, 1.11.1.10772)
q(444, 1.11.1.10772)
q(445, 1.11.1.10772)
q(446, 1.11.1.10772)
q(447, 1.11.1.10958)
q(448, 1.11.1.10772)
q(449, 1.11.1.10772)
q(450, 1.11.1.10772)
q(451, 1.11.1.10958)
q(452, 1.11.1.10772)
q(453, 1.11.1.10772)
q(454, 1.11.1.10772)
q(455, 1.11.1.10958)
q(456, 1.11.1.10676)
q(457, 1.11.1.10676)
q(458, 1.11.1.10772)
q(459, 1.11.1.10676)
q(460, 1.11.1.10772)
q(461, 1.11.1.10772)
q(462, 1.12.1.10772)
q(463, 1.11.1.10772)
q(464, 1.11.1.10958)
q(465, 1.11.1.10772)
q(466, 1.11.1.10958)
q(467, 1.11.1.10772)
q(468, 1.11.1.10772)
q(469, 1.11.1.10772)
q(470, 1.11.1.10958)
q(471, 1.11.1.10958)
q(472, 1.11.1.10772)
q(473, 1.11.1.10772)
q(474, 1.11.1.10958)
q(475, 1.11.1.10772)
q(476, 1.11.1.10772)
q(477, 1.11.1.10772)
q(478, 1.11.1.10772)
q(479, 1.11.1.10772)
q(480, 1.11.1.10772)
q(481, 1.11.1.10772)
q(482, 1.11.1.10772)
q(483, 1.11.1.10676)
q(484, 1.11.1.10958)
q(485, 1.11.1.10772)
q(486, 1.11.1.10772)
q(487, 1.11.1.10676)
q(488, 1.11.1.10772)
q(489, 1.11.1.10772)
q(490, 1.12.1.10772)
q(491, 1.11.1.10772)
q(492, 1.11.1.10772)
q(493, 1.11.1.10772)
q(494, 1.11.1.10772)
q(495, 1.11.1.10772)
q(496, 1.11.1.10772)
q(497, 1.12.1.10772)
q(498, 1.11.1.10772)
q(499, 1.11.1.10772)
q(500, 1.11.1.10958)
q(501, 1.11.1.10772)
q(502, 1.11.1.10772)
q(503, 1.11.1.10958)
q(504, 1.11.1.10958)
q(505, 1.11.1.10958)
q(506, 1.11.1.10772)
q(507, 1.11.1.10958)
q(508, 1.11.1.10958)
q(509, 1.11.1.10772)
q(510, 1.11.1.10772)
q(511, 1.11.1.10772)
q(512, 1.11.1.10958)
q(513, 1.11.1.10772)
q(514, 1.11.1.10772)
q(515, 1.11.1.10958)
q(516, 1.11.1.10772)
q(517, 1.11.1.10772)
q(518, 1.11.1.10772)
q(519, 1.11.1.10772)
q(520, 1.11.1.10772)
q(521, 1.11.1.10772)
q(522, 1.11.1.10772)
q(523, 1.11.1.10958)
q(524, 1.11.1.10772)
q(525, 1.11.1.10772)
q(526, 1.11.1.10958)
q(527, 1.11.1.10772)
q(528, 1.11.1.10772)
q(529, 1.11.1.10772)
q(530, 1.11.1.10772)
q(531, 1.11.1.10772)
q(532, 1.11.1.10772)
q(533, 1.11.1.10772)
q(534, 1.12.1.10772)
q(535, 1.11.1.10772)
q(536, 1.11.1.10958)
q(537, 1.11.1.10958)
q(538, 1.11.1.10772)
q(539, 1.11.1.10772)
q(540, 1.11.1.10958)
q(541, 1.11.1.10772)
q(542, 1.11.1.10772)
q(543, 1.11.1.10623)
q(544, 1.11.1.10772)
q(545, 1.11.1.10772)
q(546, 1.11.1.10772)
q(547, 1.11.1.10772)
q(548, 1.12.1.10772)
q(549, 1.11.1.10772)
q(550, 1.11.1.10958)
q(551, 1.11.1.10958)
q(552, 1.11.1.10772)
q(553, 1.11.1.10958)
q(554, 1.11.1.10772)
q(555, 1.11.1.10958)
q(556, 1.11.1.10772)
q(557, 1.11.1.10772)
q(558, 1.11.1.10772)
q(559, 1.11.1.10958)
q(560, 1.11.1.10772)
q(561, 1.11.1.10772)
q(562, 1.11.1.10958)
q(563, 1.11.1.10772)
q(564, 1.11.1.10958)
q(565, 1.11.1.10958)
q(566, 1.11.1.10772)
q(567, 1.11.1.10772)
q(568, 1.11.1.10772)
q(569, 1.11.1.10772)
q(570, 1.11.1.10772)
q(571, 1.11.1.10772)
q(572, 1.11.1.10772)
q(573, 1.11.1.10772)
q(574, 1.11.1.10958)
q(575, 1.11.1.10958)
q(576, 1.11.1.10676)
q(577, 1.11.1.10958)
q(578, 1.11.1.10958)
q(579, 1.11.1.10676)
q(580, 1.11.1.10958)
q(581, 1.11.1.10772)
q(582, 1.11.1.10772)
q(583, 1.11.1.10958)
q(584, 1.11.1.10772)
q(585, 1.11.1.10772)
q(586, 1.11.1.10772)
q(587, 1.11.1.10958)
q(588, 1.11.1.10958)
q(589, 1.11.1.10772)
q(590, 1.11.1.10958)
q(591, 1.11.1.10772)
q(592, 1.11.1.10772)
q(593, 1.11.1.10772)
q(594, 1.11.1.10958)
q(595, 1.11.1.10772)
q(596, 1.11.1.10772)
q(597, 1.11.1.10958)
q(598, 1.11.1.10772)
q(599, 1.11.1.10958)
q(600, 1.11.1.10958)
q(601, 1.11.1.10958)
q(602, 1.11.1.10958)
q(603, 1.11.1.10958)
q(604, 1.11.1.10958)
q(605, 1.11.1.10958)
q(606, 1.11.1.10676)
q(607, 1.11.1.10958)
q(608, 1.11.1.10958)
q(609, 1.11.1.10958)
q(610, 1.11.1.10958)
q(611, 1.11.1.10958)
q(612, 1.12.1.10772)
q(613, 1.11.1.10958)
q(614, 1.11.1.10772)
q(615, 1.12.1.10958)
q(616, 1.11.1.10958)
q(617, 1.11.1.10958)
q(618, 1.11.1.10772)
q(619, 1.11.1.10772)
q(620, 1.12.1.10958)
q(621, 1.11.1.10676)
q(622, 1.11.1.10958)
q(623, 1.11.1.10772)
q(624, 1.11.1.10958)
q(625, 1.11.1.10958)
q(626, 1.11.1.10958)
q(627, 1.11.1.10958)
q(628, 1.11.1.10958)
q(629, 1.11.1.10772)
q(630, 1.11.1.10772)
q(631, 1.11.1.10772)
q(632, 1.11.1.10958)
q(633, 1.11.1.10958)
q(634, 1.11.1.10958)
q(635, 1.11.1.10772)
q(636, 1.12.1.10772)
q(637, 1.11.1.10772)
q(638, 1.11.1.10772)
q(639, 1.11.1.10958)
q(640, 1.11.1.10958)
q(641, 1.11.1.10772)
q(642, 1.11.1.10958)
q(643, 1.11.1.10958)
q(644, 1.11.1.10958)
q(645, 1.11.1.10772)
q(646, 1.11.1.10772)
q(647, 1.11.1.10772)
q(648, 1.11.1.10958)
q(649, 1.11.1.10772)
q(650, 1.11.1.10772)
q(651, 1.11.1.10958)
q(652, 1.11.1.10772)
q(653, 1.11.1.10772)
q(654, 1.11.1.10958)
q(655, 1.11.1.10772)
q(656, 1.11.1.10772)
q(657, 1.11.1.10958)
q(658, 1.11.1.10772)
q(659, 1.11.1.10772)
q(660, 1.11.1.10772)
q(661, 1.11.1.10958)
q(662, 1.11.1.10958)
q(663, 1.11.1.10958)
q(664, 1.11.1.10772)
q(665, 1.11.1.10958)
q(666, 1.11.1.10958)
q(667, 1.11.1.10958)
q(668, 1.11.1.10958)
q(669, 1.11.1.10958)
q(670, 1.11.1.10958)
q(671, 1.11.1.10958)
q(672, 1.11.1.10958)
q(673, 1.11.1.10958)
q(674, 1.11.1.10958)
q(675, 1.11.1.10958)
q(676, 1.11.1.10958)
q(677, 1.11.1.10958)
q(678, 1.11.1.10958)
q(679, 1.11.1.10958)
q(680, 1.11.1.10958)
q(681, 1.11.1.10772)
q(682, 1.11.1.10772)
q(683, 1.11.1.10772)
q(684, 1.11.1.10772)
q(685, 1.11.1.10772)
q(686, 1.11.1.10772)
q(687, 1.11.1.10772)
q(688, 1.11.1.10958)
q(689, 1.11.1.10772)
q(690, 1.11.1.10772)
q(691, 1.11.1.10772)
q(692, 1.11.1.10772)
q(693, 1.11.1.10772)
q(694, 1.11.1.10772)
q(695, 1.11.1.10958)
q(696, 1.11.1.10772)
q(697, 1.11.1.10772)
q(698, 1.11.1.10772)
q(699, 1.11.1.10772)
q(700, 1.11.1.10772)
q(701, 1.11.1.10958)
q(702, 1.11.1.10958)
q(703, 1.11.1.10958)
q(704, 1.11.1.10772)
q(705, 1.11.1.10958)
q(706, 1.11.1.10676)
q(707, 1.11.1.10772)
q(708, 1.12.1.10772)
q(709, 1.11.1.10958)
q(710, 1.11.1.10772)
q(711, 1.11.1.10772)
q(712, 1.11.1.10772)
q(713, 1.11.1.10772)
q(714, 1.11.1.10772)
q(715, 1.11.1.10772)
q(716, 1.11.1.10772)
q(717, 1.11.1.10772)
q(718, 1.11.1.10676)
q(719, 1.11.1.10772)
q(720, 1.11.1.10958)
q(721, 1.11.1.10772)
q(722, 1.11.1.10958)
q(723, 1.11.1.10772)
q(724, 1.11.1.10772)
q(725, 1.11.1.10958)
q(726, 1.11.1.10958)
q(727, 1.11.1.10772)
q(728, 1.11.1.10772)
q(729, 1.11.1.10772)
q(730, 1.11.1.10772)
q(731, 1.11.1.10772)
q(732, 1.11.1.10772)
q(733, 1.11.1.10772)
q(734, 1.11.1.10772)
q(735, 1.11.1.11403)
q(736, 1.11.1.10772)
q(737, 1.11.1.10772)
q(738, 1.11.1.10772)
q(739, 1.11.1.10772)
q(740, 1.12.1.9183)
q(741, 1.11.1.10772)
q(742, 1.11.1.10772)
q(743, 1.11.1.10772)
q(744, 1.11.1.10772)
q(745, 1.11.1.10772)
q(746, 1.11.1.25881)
q(747, 1.11.1.10772)
q(748, 1.11.1.10772)
q(749, 1.11.1.10772)
q(750, 1.11.1.10772)
q(751, 1.11.1.10772)
q(752, 1.11.1.10772)
q(753, 1.11.1.10958)
q(754, 1.11.1.10772)
q(755, 1.11.1.10772)
q(756, 1.11.1.10772)
q(757, 1.11.1.10958)
q(758, 1.11.1.10772)
q(759, 1.11.1.10772)
q(760, 1.11.1.10772)
q(761, 1.11.1.10772)
q(762, 1.11.1.10958)
q(763, 1.11.1.10772)
q(764, 1.11.1.10772)
q(765, 1.11.1.25860)
q(766, 1.11.1.10772)
q(767, 1.11.1.10772)
q(768, 1.11.1.10772)
q(769, 1.11.1.10772)
q(770, 1.11.1.10772)
q(771, 1.11.1.10772)
q(772, 1.11.1.10772)
q(773, 1.11.1.10772)
q(774, 1.12.1.10772)
q(775, 1.11.1.10772)
q(776, 1.11.1.10772)
q(777, 1.11.1.10958)
q(778, 1.11.1.10772)
q(779, 1.11.1.10772)
q(780, 1.11.1.10772)
q(781, 1.11.1.10772)
q(782, 1.11.1.10958)
q(783, 1.11.1.10772)
q(784, 1.11.1.10772)
q(785, 1.12.1.10772)
q(786, 1.11.1.10958)
q(787, 1.12.1.10772)
q(788, 1.11.1.10676)
q(789, 1.11.1.10772)
q(790, 1.11.1.10772)
q(791, 1.11.1.10772)
q(792, 1.11.1.10772)
q(793, 1.11.1.10772)
q(794, 1.11.1.10772)
q(795, 1.11.1.10772)
q(796, 1.12.1.10772)
q(797, 1.12.1.10772)
q(798, 1.12.1.10772)
q(799, 1.12.1.10772)
q(800, 1.12.1.10772)
q(801, 1.12.1.10772)
q(802, 1.12.1.10772)
q(803, 1.12.1.10772)
q(804, 1.11.1.10772)
q(805, 1.11.1.10772)
q(806, 1.11.1.10772)
q(807, 1.12.1.10772)
q(808, 1.11.1.10958)
q(809, 1.11.1.10958)
q(810, 1.12.1.10772)
q(811, 1.12.1.10772)
q(812, 1.11.1.10772)
q(813, 1.11.1.10958)
q(814, 1.12.1.10772)
q(815, 1.11.1.10772)
q(816, 1.11.1.10958)
q(817, 1.11.1.10958)
q(818, 1.11.1.10958)
q(819, 1.11.1.10772)
q(820, 1.12.1.10772)
q(821, 1.11.1.10772)
q(822, 1.11.1.10958)
q(823, 1.11.1.10772)
q(824, 1.11.1.10772)
q(825, 1.11.1.10772)
q(826, 1.11.1.10958)
q(827, 1.11.1.10772)
q(828, 1.11.1.10772)
q(829, 1.11.1.10772)
q(830, 1.11.1.10772)
q(831, 1.11.1.10772)
q(832, 1.11.1.10958)
q(833, 1.11.1.10772)
q(834, 1.11.1.10772)
q(835, 1.11.1.10772)
q(836, 1.11.1.10958)
q(837, 1.11.1.10772)
q(838, 1.11.1.10772)
q(839, 1.12.1.10772)
q(840, 1.11.1.25864)
q(841, 1.11.1.10958)
q(842, 1.11.1.10772)
q(843, 1.11.1.10958)
q(844, 1.11.1.10772)
q(845, 1.11.1.10772)
q(846, 1.11.1.10958)
q(847, 1.11.1.10958)
q(848, 1.11.1.10772)
q(849, 1.11.1.10958)
q(850, 1.11.1.10772)
q(851, 1.11.1.10772)
q(852, 1.11.1.10772)
q(853, 1.11.1.10772)
q(854, 1.11.1.10772)
q(855, 1.11.1.25881)
q(856, 1.12.1.10772)
q(857, 1.11.1.10772)
q(858, 1.11.1.10958)
q(859, 1.12.1.10772)
q(860, 1.11.1.10958)
q(861, 1.11.1.10772)
q(862, 1.11.1.10772)
q(863, 1.11.1.10958)
q(864, 1.11.1.10772)
q(865, 1.11.1.25864)
q(866, 1.11.1.10772)
q(867, 1.11.1.10772)
q(868, 1.11.1.10772)
q(869, 1.11.1.10958)
q(870, 1.11.1.10772)
q(871, 1.11.1.10772)
q(872, 1.11.1.10772)
q(873, 1.11.1.10772)
q(874, 1.11.1.10772)
q(875, 1.11.1.10772)
q(876, 1.11.1.10772)
q(877, 1.11.1.10772)
q(878, 1.11.1.10772)
q(879, 1.11.1.10772)
q(880, 1.11.1.10772)
q(881, 1.11.1.10772)
q(882, 1.11.1.10772)
q(883, 1.11.1.10772)
q(884, 1.11.1.10772)
q(885, 1.11.1.10772)
q(886, 1.11.1.10958)
q(887, 1.11.1.10772)
q(888, 1.11.1.10772)
q(889, 1.11.1.10772)
q(890, 1.11.1.10772)
q(891, 1.11.1.10772)
q(892, 1.11.1.10772)
q(893, 1.11.1.10772)
q(894, 1.11.1.10772)
q(895, 1.11.1.10772)
q(896, 1.11.1.10772)
q(897, 1.11.1.10772)
q(898, 1.11.1.10958)
q(899, 1.11.1.25860)
q(900, 1.11.1.10772)
q(901, 1.11.1.10772)
q(902, 1.11.1.10772)
q(903, 1.11.1.10772)
q(904, 1.12.1.10772)
q(905, 1.11.1.10958)
q(906, 1.11.1.10772)
q(907, 1.11.1.10772)
q(908, 1.12.1.10772)
q(909, 1.12.1.10772)
q(910, 1.11.1.10958)
q(911, 1.11.1.10958)
q(912, 1.12.1.10772)
q(913, 1.11.1.10772)
q(914, 1.11.1.10772)
q(915, 1.11.1.10772)
q(916, 1.11.1.10676)
q(917, 1.11.1.10676)
q(918, 1.11.1.10772)
q(919, 1.11.1.10772)
q(920, 1.11.1.10772)
q(921, 1.11.1.10772)
q(922, 1.11.1.10772)
q(923, 1.11.1.10772)
q(924, 1.11.1.10772)
q(925, 1.11.1.10772)
q(926, 1.11.1.10772)
q(927, 1.11.1.10772)
q(928, 1.11.1.10772)
q(929, 1.11.1.10676)
q(930, 1.11.1.10772)
q(931, 1.11.1.10772)
q(932, 1.11.1.10676)
q(933, 1.11.1.10676)
q(934, 1.11.1.10772)
q(935, 1.11.1.10772)
q(936, 1.11.1.10772)
q(937, 1.11.1.10772)
q(938, 1.11.1.10958)
q(939, 1.11.1.10958)
